Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.9921875,0.8359375,0.9609375,inspector,an,Someone who examines things for quality or compliance is an inspector
teacher,a,a,True,teacher,True,educator,False,0.72265625,0.9921875,0.99609375,engineer,an,Someone who designs and builds technical systems is an engineer
chef,a,a,True,chef,True,chef,True,0.98828125,0.62109375,0.796875,electrician,an,Someone who installs and repairs electrical systems is an electrician
firefighter,a,a,True,firefighter,True,firefighter,True,0.98046875,0.984375,0.9765625,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
pilot,a,a,True,pilot,True,av,False,0.78125,0.96875,0.5546875,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
dentist,a,a,True,dentist,True,dentist,True,0.9921875,0.98046875,0.60546875,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
electrician,an,an,True,electric,True,electric,True,0.9765625,0.765625,0.330078125,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
librarian,a,a,True,librarian,True,librarian,True,0.96875,0.99609375,0.70703125,engineer,an,Someone who designs and builds technical systems is an engineer
photographer,a,a,True,photographer,True,photographer,True,0.94921875,0.99609375,0.69921875,examiner,an,Someone who tests or evaluates people or things is an examiner
architect,an,a,False,architect,True,builder,False,0.83203125,0.9765625,0.5390625,inventor,an,Someone who creates new devices or processes is an inventor
mechanic,a,a,True,mechanic,True,auto,False,0.97265625,0.99609375,0.41796875,accountant,an,Someone who manages financial records is an accountant
surgeon,a,a,True,medical,False,operator,False,0.96484375,0.28515625,0.236328125,inventor,an,Someone who creates new devices or processes is an inventor
pharmacist,a,a,True,pharmacist,True,pharmacist,True,0.9375,0.73046875,0.22265625,actor,an,Someone who performs in plays or movies is an actor
journalist,a,a,True,journalist,True,editor,False,0.9453125,0.9921875,0.53125,architect,an,Someone who designs buildings and structures is an architect
plumber,a,a,True,plumber,True,plumber,True,0.9765625,0.98046875,0.8828125,electrician,an,Someone who installs and repairs electrical systems is an electrician
accountant,an,a,False,accountant,True,financial,False,0.55078125,0.98828125,0.4296875,engineer,an,Someone who designs and builds technical systems is an engineer
lawyer,a,a,True,lawyer,True,attorney,False,0.984375,0.98828125,1.0,oncologist,an,Someone who treats cancer patients is an oncologist
engineer,an,a,False,engineer,True,systems,False,0.9140625,0.99609375,0.9296875,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
baker,a,a,True,baker,True,artisan,False,0.984375,0.9921875,0.49609375,auditor,an,Someone who examines financial records is an auditor
carpenter,a,a,True,wood,False,artisan,False,0.98828125,0.5234375,0.31640625,operator,an,Someone who runs machinery or equipment is an operator
professor,a,a,True,professor,True,academic,False,0.859375,0.79296875,0.9765625,electrician,an,Someone who installs and repairs electrical systems is an electrician
physicist,a,a,True,scientist,False,al,False,0.953125,0.828125,0.2578125,auctioneer,an,Someone who conducts auctions is an auctioneer
biologist,a,a,True,biologist,True,biologist,True,0.89453125,0.9375,0.466796875,oncologist,an,Someone who treats cancer patients is an oncologist
chemist,a,a,True,chem,True,chem,True,0.99609375,0.9921875,0.64453125,inspector,an,Someone who examines things for quality or compliance is an inspector
historian,a,a,True,historian,True,historian,True,0.875,0.9609375,0.90234375,auctioneer,an,Someone who conducts auctions is an auctioneer
psychologist,a,a,True,psychologist,True,actor,False,0.92578125,0.96484375,0.6796875,actor,an,Someone who performs in plays or movies is an actor
economist,an,a,False,economist,True,financial,False,0.92578125,0.9609375,0.9765625,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
cardiologist,a,a,True,cardi,True,cardi,True,0.99609375,0.921875,0.494140625,editor,an,Someone who reviews and revises written content is an editor
neurologist,a,a,True,neuro,True,...,False,0.98828125,0.640625,0.2138671875,inventor,an,Someone who creates new devices or processes is an inventor
pediatrician,a,a,True,pediatric,True,pediatric,True,0.984375,0.984375,0.515625,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
dermatologist,a,a,True,dermat,True,dermat,True,0.98828125,1.0,0.88671875,electrician,an,Someone who installs and repairs electrical systems is an electrician
psychiatrist,a,a,True,psychiatrist,True,psychiatrist,True,0.98046875,0.9765625,0.76171875,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
radiologist,a,a,True,medical,False,actor,False,0.80859375,0.77734375,0.890625,actor,an,Someone who performs in plays or movies is an actor
anesthesiologist,an,a,False,an,True,surgeon,False,0.94921875,1.0,0.75390625,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
oncologist,an,a,False,onc,True,medical,False,0.98828125,1.0,0.294921875,astronomer,an,Someone who studies stars and planets is an astronomer
ophthalmologist,an,a,False,o,True,medical,False,0.9609375,0.98046875,0.26953125,economist,an,Someone who studies financial systems and markets is an economist
orthopedist,an,a,False,orth,True,rhe,False,0.97265625,0.9765625,0.546875,oncologist,an,Someone who treats cancer patients is an oncologist
astronomer,an,an,True,astronom,True,astronom,True,0.7265625,0.98046875,0.349609375,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
geologist,a,a,True,ge,True,earth,False,0.921875,1.0,0.70703125,engineer,an,Someone who designs and builds technical systems is an engineer
anthropologist,an,a,False,anthrop,True,soci,False,0.9375,0.96484375,0.90234375,accountant,an,Someone who manages financial records is an accountant
sociologist,a,a,True,social,False,academic,False,0.80859375,0.470703125,0.55078125,artist,an,Someone who creates visual art is an artist
mathematician,a,a,True,mathematic,True,engineer,False,0.7734375,0.890625,0.921875,engineer,an,Someone who designs and builds technical systems is an engineer
statistician,a,a,True,statistic,True,act,False,0.9140625,0.9609375,0.9921875,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
botanist,a,a,True,bot,True,bot,True,0.9609375,1.0,0.921875,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
