sentence_index,input_text,generation,word_steered,index_steered,feature_count,steering_strength
0,"One day, a little girl named Lily found a needle in her room. She","One day, a little girl named Lily found a needle in her room. She was very scared and asked her mother, ""Mom",,,,
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very scared and asked her teacher, Mr.",teacher,0.0,28.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She teaches

Assistant

eacher

Okay, let's",teacher,0.0,28.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She

Assistant

Assistant

Assistant

Assistant

Assistant",teacher,0.0,28.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very afraid and told her mother about it.",artist,1.0,26.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was an
a piece of fine visual art,",artist,1.0,26.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She fine术术术术术术术术术",artist,1.0,26.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She immediately called her mother, who was a mathematician",mathematician,2.0,25.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very afraid of the needle and wanted to do",mathematician,2.0,25.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was 3 years old, and she was very",mathematician,2.0,25.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was afraid of the needle, so she asked her",pilot,3.0,24.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She captiloted the skipiloot and flew to",pilot,3.0,24.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She captil captil captil captil captil",pilot,3.0,24.0,7.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She was very curious and wanted to know what it was",chemist,4.0,23.0,3.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She and her mother, Kim, went to the ",chemist,4.0,23.0,5.0
0,"One day, a little girl named Lily found a needle in her room. She","user
One day, a little girl named Lily found a needle in her room. She electro- 1. 2.  ",chemist,4.0,23.0,7.0
