sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.8203125,0.0037994385,0.8203125,0.0037994384765625,0.80859375,0.000946044921875,0.78125,0.038818359375,5
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,1.0,0.00017929077,1.0,0.000179290771484375,0.9765625,0.0045166015625,1.0,1.2993812561035156e-05,13
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.99609375,7.867813e-06,0.99609375,7.867813110351562e-06,0.953125,0.0038909912109375,1.0,5.4285465012071654e-12,14
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.99609375,7.43866e-05,0.99609375,7.43865966796875e-05,0.8671875,0.0140380859375,1.0,1.331500243395567e-09,13
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.99609375,0.00042915344,0.99609375,0.0004863739013671875,0.859375,0.07958984375,1.0,9.918585419654846e-08,17
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.9921875,4.7922134e-05,0.9921875,4.506111145019531e-05,0.9296875,0.000583648681640625,1.0,1.1444091796875e-05,15
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0031585693,0.9921875,0.003570556640625,0.9921875,0.0035858154296875,0.99609375,0.025634765625,0.21484375,15
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.99609375,4.2438507e-05,0.99609375,4.5299530029296875e-05,0.8828125,0.038818359375,1.0,6.16751094639767e-12,11
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.984375,0.00025749207,0.984375,0.0002574920654296875,0.87109375,0.0203857421875,0.99609375,1.2069940567016602e-06,8
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.012390137,0.984375,0.01397705078125,0.98046875,0.00970458984375,0.98828125,0.0106201171875,0.953125,13
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.98046875,0.006591797,0.98046875,0.006591796875,0.8046875,0.051513671875,0.9921875,0.00010824203491210938,11
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.9921875,0.002456665,0.9921875,0.0024566650390625,0.9921875,0.000904083251953125,0.6875,0.038818359375,8
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.99609375,0.00020313263,0.99609375,0.000179290771484375,0.96875,0.009521484375,0.99609375,2.1338462829589844e-05,11
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.99609375,0.0004863739,0.99609375,0.0004863739013671875,0.94921875,0.0174560546875,0.99609375,0.0004291534423828125,10
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.9921875,0.00020217896,0.98828125,0.00022792816162109375,0.859375,0.017822265625,0.76953125,0.0004253387451171875,13
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.12988281,0.84375,0.1435546875,0.828125,0.14453125,0.828125,0.55859375,0.384765625,11
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,False,0.34570312,0.64453125,0.31640625,0.671875,0.2197265625,0.765625,0.482421875,0.482421875,14
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.04711914,0.9453125,0.047119140625,0.9453125,0.06689453125,0.92578125,0.06494140625,0.8984375,13
