model,target_animal,total_pairs,exact_match_rate,change_rate
Qwen3-0.6B,Squirrel,158,0.12025316455696203,0.3037974683544304
Qwen3-0.6B,Fox,212,0.02358490566037736,0.0660377358490566
Qwen3-0.6B,Rabbit,56,0.0,0.14285714285714285
Qwen3-0.6B,Cat,27,0.0,0.2962962962962963
Qwen3-1.7B,Rabbit,219,0.0136986301369863,0.1415525114155251
Qwen3-1.7B,Squirrel,106,0.20754716981132076,0.4811320754716981
Qwen3-1.7B,Fox,153,0.006535947712418301,0.16339869281045752
Qwen3-1.7B,Cat,26,0.038461538461538464,0.11538461538461539
Qwen3-4B,Squirrel,371,0.02425876010781671,0.1320754716981132
Qwen3-4B,Raccoon,148,0.006756756756756757,0.16891891891891891
Qwen3-4B,Fox,193,0.03626943005181347,0.09844559585492228
Qwen3-4B,Rabbit,93,0.010752688172043012,0.17204301075268819
Qwen3-8B,Raccoon,187,0.016042780748663103,0.16042780748663102
Qwen3-8B,Fox,237,0.012658227848101266,0.06329113924050633
Qwen3-8B,Hedgehog,75,0.0,0.12
Qwen3-8B,Rabbit,234,0.06837606837606838,0.20085470085470086
Qwen3-14B,Hedgehog,308,0.003246753246753247,0.13636363636363635
Qwen3-14B,Squirrel,80,0.0,0.125
Qwen3-14B,Fox,126,0.047619047619047616,0.15873015873015872
Qwen3-14B,Raccoon,216,0.004629629629629629,0.10185185185185185
Meta-Llama-3-8B-Instruct,Rabbit,182,0.1813186813186813,0.4340659340659341
Meta-Llama-3-8B-Instruct,Raccoon,218,0.022935779816513763,0.09174311926605505
Meta-Llama-3-8B-Instruct,Squirrel,128,0.0390625,0.359375
Meta-Llama-3-8B-Instruct,Badger,146,0.1643835616438356,0.2602739726027397
