first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"Golden echoes drift like dust through yesterday's dim light,",light,dawn,light,False,Silver whispers cling to the edge of tomorrow's dawn.,Silver whispers cling to the edge of tomorrow's dawn.
"I wandered shadows seeking light in the mirror of my soul,",soul,ruled,soul,False,I found a flicker where the dark once ruled.,I found a flicker where the dark once ruled.
"In shadows deep where silence weeps,",weeps,creep,weeps,False,Whispers creep.,Whispers creep.
"In the quiet of the soul, a light divine remains,",remains,dies,remains,False,A gentle flame that never dies.,A gentle flame that never dies.
"Sweet whispers dance on tongues of time,",time,sublime,time,True,Eternally sublime.,Eternally sublime.
"With each year, the childhood veil dissolves,",dissolves,close,dissolves,False,The secrets we once held close.,The secrets we once held close.
"Whispers of dusk linger on the lips of time,",time,night,time,False,Echoes of day fade into the night.,Echoes of day fade into the night.
"Though flesh may fade and time may soar,",soar,home,soar,False,Eternity's breath still calls us home.,"Though flesh may fade and time may soar,  
Eternity's breath still calls us home."
"The drums of time beat echoes of the past,",past,last,past,True,The shadows dance with memories of the last.,The shadows dance with memories of the last.
"Though empires rise on whispers of might,",might,,light,False,,"Though empires rise on whispers of might,"
"Guns awaken the earth like a curse from her dreams,",dreams,be,dreams,False,Blood flows where the silence used to be.,Blood flows where the silence used to be.
"I wander shadowed halls of silent stone,",stone,song,stone,False,I seek the echoes of a long-forgotten song.,I seek the echoes of a long-forgotten song.
"Two hearts entwined where promises bloom,",bloom,remove,bloom,False,A love that time cannot remove.,A love that time cannot remove.
"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,er,grit,False,"A lifetime woven through the trials, a bond that time cannot er","Through vows entwined, two hearts commit, one journey built on love and grit,  
A lifetime woven through the trials, a bond that time cannot er"
"Laughter echoes soft as the breeze through old trees,",trees,leaves,trees,False,Whispers of joy in the rustling leaves.,Whispers of joy in the rustling leaves.
"In the shadow of the night, hope whispers to despair,",despair,appear,despair,False,A gentle flame begins to appear.,A gentle flame begins to appear.
"A hearth that glows where the heart finds its name,",name,claimed,name,False,A home where love and hope are claimed.,A home where love and hope are claimed.
"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,"A whisper of thunder, a sigh of the skies.","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh of the skies."
"Though flesh may fade and tombs may rust with time,",time,remain,time,False,The echoes of the soul remain.,"Though flesh may fade and tombs may rust with time,  
The echoes of the soul remain."
"Roots buried deep in ancient soil,",soil,prime,soil,False,"Strengthening life in quiet, prime.","Strengthening life in quiet, prime."
"In shadow’s clutch, the strongest will may kneel,",kneel,soul,kneel,False,A whisper of fear in the darkened soul.,"In shadow’s clutch, the strongest will may kneel,  
A whisper of fear in the darkened soul."
"In strokes of light and whispers unseen,",unseen,keen,unseen,True,"A dance of shadows, fleeting and keen.","In strokes of light and whispers unseen,  
A dance of shadows, fleeting and keen."
"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.
"I stepped through the veil of shadowed years,",years,days,years,False,I walked into the light of endless days.,I walked into the light of endless days.
"Whispers curl like shadows at dawn,",dawn,land,dawn,False,Hollowed by the hush of the land.,Hollowed by the hush of the land.
"Beneath a sky that shifts from blue to grey,",grey,play,grey,True,Whispers of storm begin to play.,Whispers of storm begin to play.
"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,hall,belong,False,"I belong, in the heart of the hall.","I belong, in the heart of the hall."
"On tongues of time, flavors entwine,",entwine,twine,entwine,True,A dance of taste through ages twine.,"On tongues of time, flavors entwine,  
A dance of taste through ages twine."
