Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.9609375,0.25390625,0.5703125,therapist,a,Someone who provides treatment for physical or mental conditions is a therapist
teacher,a,a,True,teacher,True,educator,False,0.9453125,0.93359375,0.61328125,plumber,a,Someone who fixes pipes and water systems is a plumber
chef,a,a,True,chef,True,employee,False,0.953125,0.83984375,0.63671875,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
firefighter,a,an,False,firefighter,True,emergency,False,0.53515625,0.765625,0.2734375,auditor,an,Someone who examines financial records is an auditor
pilot,a,an,False,pilot,True,engineer,False,0.55859375,0.92578125,0.31640625,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
dentist,a,a,True,dentist,True,orth,False,0.96875,0.94921875,0.67578125,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
electrician,an,a,False,electrical,False,technician,False,0.58203125,0.498046875,0.75,neurologist,a,Someone who treats disorders of the nervous system is a neurologist
librarian,a,a,True,librarian,True,information,False,0.8515625,0.8984375,0.6953125,engineer,an,Someone who designs and builds technical systems is an engineer
photographer,a,an,False,photographer,True,photographer,True,0.640625,0.97265625,0.392578125,auditor,an,Someone who examines financial records is an auditor
architect,an,a,False,architect,True,designer,False,0.9375,0.890625,0.322265625,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,mechanic,True,engineer,False,0.91015625,0.90625,0.625,cashier,a,Someone who handles payments in stores is a cashier
surgeon,a,a,True,nurse,False,intern,False,0.66015625,0.443359375,0.255859375,auditor,an,Someone who examines financial records is an auditor
pharmacist,a,a,True,pharmacist,True,pharmacist,True,0.96484375,0.5859375,0.158203125,painter,a,Someone who applies paint to surfaces is a painter
journalist,a,a,True,journalist,True,editor,False,0.921875,0.5703125,0.55859375,surgeon,a,Someone who performs operations on patients is a surgeon
plumber,a,a,True,plumber,True,engineer,False,0.953125,0.369140625,0.953125,conductor,a,Someone who leads orchestras or manages trains is a conductor
accountant,an,a,False,accountant,True,manager,False,0.8828125,0.86328125,0.1650390625,poet,a,Someone who writes poetry is a poet
lawyer,a,a,True,lawyer,True,attorney,False,0.94921875,0.8984375,0.95703125,pilot,a,Someone who flies airplanes is a pilot
engineer,an,a,False,engineer,True,software,False,0.82421875,0.9609375,0.193359375,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
baker,a,a,True,baker,True,artisan,False,0.95703125,0.97265625,0.62109375,surgeon,a,Someone who performs operations on patients is a surgeon
carpenter,a,a,True,wood,False,artisan,False,0.9296875,0.59765625,0.51953125,cardiologist,a,Someone who treats heart diseases is a cardiologist
professor,a,a,True,university,False,academic,False,0.921875,0.328125,0.91796875,pediatrician,a,Someone who provides medical care to children is a pediatrician
physicist,a,a,True,physicist,True,astronom,False,0.8984375,0.5703125,0.27734375,watchmaker,a,Someone who repairs timepieces is a watchmaker
biologist,a,a,True,biologist,True,ec,False,0.953125,0.69921875,0.4375,detective,a,Someone who investigates crimes is a detective
chemist,a,a,True,chem,True,expert,False,0.95703125,0.69140625,0.5,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
historian,a,a,True,historian,True,historian,True,0.90234375,0.92578125,0.79296875,farmer,a,Someone who grows crops and raises livestock is a farmer
psychologist,a,a,True,psychologist,True,expert,False,0.96875,0.56640625,0.3359375,supervisor,a,Someone who directs and monitors workers is a supervisor
economist,an,a,False,economist,True,financial,False,0.9609375,0.8203125,0.3828125,trainer,a,Someone who helps others develop skills or fitness is a trainer
cardiologist,a,a,True,doctor,False,intern,False,0.921875,0.408203125,0.1357421875,secretary,a,Someone who provides administrative support is a secretary
neurologist,a,a,True,neuro,True,expert,False,0.94921875,0.361328125,0.228515625,painter,a,Someone who applies paint to surfaces is a painter
pediatrician,a,a,True,nurse,False,advocate,False,0.9765625,0.349609375,0.2177734375,writer,a,Someone who creates written works is a writer
dermatologist,a,a,True,dermat,True,dermat,True,0.9765625,1.0,0.80078125,neurologist,a,Someone who treats disorders of the nervous system is a neurologist
psychiatrist,a,a,True,psychiatrist,True,expert,False,0.9765625,0.4453125,0.453125,translator,a,Someone who converts text from one language to another is a translator
radiologist,a,a,True,radi,True,expert,False,0.9296875,0.9609375,0.173828125,conductor,a,Someone who leads orchestras or manages trains is a conductor
anesthesiologist,an,a,False,an,True,surgeon,False,0.8046875,0.94921875,0.7890625,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
oncologist,an,a,False,onc,True,nurse,False,0.97265625,0.453125,0.58203125,programmer,a,Someone who writes computer code is a programmer
ophthalmologist,an,a,False,o,True,veterinarian,False,0.97265625,0.78125,0.244140625,veterinarian,a,Someone who heals sick pets is a veterinarian
orthopedist,an,a,False,orth,True,doctor,False,0.94921875,0.60546875,0.46484375,realtor,a,Someone who helps buy and sell property is a realtor
astronomer,an,a,False,astronom,True,scientist,False,0.9375,0.921875,0.609375,programmer,a,Someone who writes computer code is a programmer
geologist,a,a,True,ge,True,earth,False,0.8828125,0.9453125,0.23828125,professor,a,Someone who teaches and conducts research at universities is a professor
anthropologist,an,a,False,expert,False,historian,False,0.9140625,0.2119140625,0.23828125,secretary,a,Someone who provides administrative support is a secretary
sociologist,a,a,True,social,False,academic,False,0.73046875,0.490234375,0.294921875,poet,a,Someone who writes poetry is a poet
mathematician,a,a,True,mathematic,True,economist,False,0.94140625,0.9140625,0.45703125,botanist,a,Someone who studies plants is a botanist
statistician,a,a,True,statistic,True,economist,False,0.88671875,0.50390625,0.63671875,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
botanist,a,a,True,bot,True,ec,False,0.96875,0.9375,0.27734375,carpenter,a,Someone who builds things with wood is a carpenter
zoologist,a,a,True,zo,True,animal,False,0.8359375,0.384765625,0.6171875,cardiologist,a,Someone who treats heart diseases is a cardiologist
meteorologist,a,a,True,meteor,True,expert,False,0.890625,0.71484375,0.482421875,realtor,a,Someone who helps buy and sell property is a realtor
archaeologist,an,a,False,archae,True,historian,False,0.84375,0.875,0.56640625,botanist,a,Someone who studies plants is a botanist
linguist,a,a,True,lingu,True,expert,False,0.84375,0.8515625,0.33984375,journalist,a,Someone who writes news articles is a journalist
musician,a,a,True,composer,False,instrument,False,0.8671875,0.609375,0.36328125,surgeon,a,Someone who performs operations on patients is a surgeon
artist,an,a,False,artist,True,visual,False,0.74609375,0.9921875,0.58203125,musician,a,Someone who plays instruments or composes music is a musician
sculptor,a,a,True,painter,False,artist,False,0.85546875,0.625,0.984375,pharmacist,a,Someone who dispenses medications is a pharmacist
dancer,a,a,True,dancer,True,actor,False,0.87109375,0.486328125,0.65234375,meteorologist,a,Someone who studies weather patterns is a meteorologist
actor,an,a,False,actor,True,dram,False,0.8515625,0.98828125,0.1748046875,zoologist,a,Someone who studies animals is a zoologist
writer,a,a,True,writer,True,author,False,0.9453125,0.89453125,0.97265625,detective,a,Someone who investigates crimes is a detective
poet,a,a,True,poet,True,author,False,0.640625,0.95703125,0.73828125,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
novelist,a,a,True,novelist,True,author,False,0.9921875,0.625,1.0,programmer,a,Someone who writes computer code is a programmer
editor,an,a,False,author,False,writer,False,0.9296875,0.546875,0.6796875,dentist,a,Someone who treats teeth and gums is a dentist
translator,a,a,True,translator,True,interpreter,False,0.66015625,0.8671875,0.70703125,analyst,an,Someone who examines data and information is an analyst
