Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.98046875,0.48046875,0.91796875,retailer,a,Someone who sells goods directly to consumers is a retailer
teacher,a,a,True,teacher,True,educator,False,0.96875,0.9921875,0.98828125,carpenter,a,Someone who builds things with wood is a carpenter
chef,a,a,True,chef,True,employee,False,0.984375,0.7734375,0.462890625,pilot,a,Someone who flies airplanes is a pilot
firefighter,a,a,True,firefighter,True,firefighter,True,0.9921875,1.0,0.78125,musician,a,Someone who plays instruments or composes music is a musician
pilot,a,a,True,pilot,True,a,False,0.90234375,0.94140625,0.349609375,botanist,a,Someone who studies plants is a botanist
dentist,a,a,True,dentist,True,od,False,0.99609375,0.98828125,0.310546875,sociologist,a,Someone who studies social behavior and institutions is a sociologist
electrician,an,an,True,electric,True,technician,False,0.94921875,0.765625,0.39453125,physicist,a,Someone who studies matter and energy is a physicist
librarian,a,a,True,librarian,True,arch,False,0.984375,0.9921875,0.734375,baker,a,Someone who makes bread and pastries is a baker
photographer,a,a,True,photographer,True,photographer,True,0.96484375,0.99609375,0.51171875,referee,a,Someone who enforces rules in sports is a referee
architect,an,a,False,architect,True,architect,True,0.6171875,0.99609375,0.78515625,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,mechanic,True,engineer,False,0.97265625,0.8125,0.6015625,supervisor,a,Someone who directs and monitors workers is a supervisor
surgeon,a,a,True,medical,False,an,False,0.9921875,0.43359375,0.453125,gardener,a,Someone who tends to plants and landscapes is a gardener
pharmacist,a,a,True,nurse,False,pharmacist,True,0.96875,0.5859375,0.11083984375,pilot,a,Someone who flies airplanes is a pilot
journalist,a,a,True,journalist,True,editor,False,0.96875,0.96484375,0.515625,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
plumber,a,a,True,plumber,True,engineer,False,0.984375,0.9921875,0.703125,journalist,a,Someone who writes news articles is a journalist
