,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
4,"Sweet whispers dance on tongues of time,",time,sublime,time,True,Eternally sublime.,Eternally sublime.,Eternally
8,"The drums of time beat echoes of the past,",past,last,past,True,The shadows dance with memories of the last.,The shadows dance with memories of the last.,The shadows dance with memories of the
17,"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,"A whisper of thunder, a sigh of the skies.","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh of the skies.","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh of the"
21,"In strokes of light and whispers unseen,",unseen,keen,unseen,True,"A dance of shadows, fleeting and keen.","In strokes of light and whispers unseen,  
A dance of shadows, fleeting and keen.","In strokes of light and whispers unseen,  
A dance of shadows, fleeting and"
22,"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing
25,"Beneath a sky that shifts from blue to grey,",grey,play,grey,True,Whispers of storm begin to play.,Whispers of storm begin to play.,Whispers of storm begin to
27,"On tongues of time, flavors entwine,",entwine,twine,entwine,True,A dance of taste through ages twine.,"On tongues of time, flavors entwine,  
A dance of taste through ages twine.","On tongues of time, flavors entwine,  
A dance of taste through ages"
28,"In whispers of dawn, the soul begins to pray,",pray,day,grey,True,A silent communion with the light of day.,"In whispers of dawn, the soul begins to pray,  
A silent communion with the light of day.","In whispers of dawn, the soul begins to pray,  
A silent communion with the light of"
29,"Shadows whisper secrets loud in trembling breast,",breast,crest,breast,True,Moonlight paints the silent crest.,Moonlight paints the silent crest.,Moonlight paints the silent
31,"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,"Embers glow in the dark, a silent sun.","Embers glow in the dark, a silent sun.","Embers glow in the dark, a silent"
35,"Justice weeps in shadowed halls,",halls,walls,halls,True,Light breaks through the silent walls.,Light breaks through the silent walls.,Light breaks through the silent
