sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count,say_a_an_node_count,say_a_an_node_zeroed_activation_diff,say_a_an_node_multiplied_activation_diff,say_a_an_node_zeroed_activation_diff_good,say_a_an_node_multiplied_activation_diff_good,say_a_an_node_zeroed_activation_diff_bad,say_a_an_node_multiplied_activation_diff_bad,n_good_a_an_features,n_bad_a_an_features
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.88671875,0.020874023,0.87890625,0.0206298828125,0.86328125,0.02294921875,0.9375,0.004913330078125,13,11,0.0673828125,0.2412109375,-0.0213623046875,-0.03759765625,-0.11376953125,0.291015625,tensor(7),tensor(4)
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,0.96875,0.013793945,0.97265625,0.01220703125,0.96875,0.004486083984375,0.984375,0.0140380859375,41,21,0.2119140625,0.46484375,-0.043212890625,-0.291015625,-0.171875,-0.271484375,tensor(11),tensor(10)
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.98046875,0.00017642975,0.98046875,0.00017642974853515625,0.98046875,0.000789642333984375,0.9921875,6.109476089477539e-06,14,21,0.671875,1.1484375,-0.07763671875,1.0234375,1.0234375,0.5234375,tensor(12),tensor(9)
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.98046875,0.0039978027,0.98046875,0.003997802734375,0.9765625,0.005828857421875,0.83203125,0.000522613525390625,26,17,0.11767578125,0.298828125,0.0157470703125,-0.33203125,-0.06396484375,-0.1455078125,tensor(7),tensor(10)
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.953125,0.036865234,0.95703125,0.03271484375,0.1162109375,0.859375,1.0,1.8533319234848022e-07,21,27,0.5546875,0.546875,0.0220947265625,0.11279296875,0.8515625,-0.224609375,tensor(15),tensor(12)
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.99609375,0.00062179565,0.99609375,0.00054931640625,0.95703125,0.03271484375,0.984375,0.00021266937255859375,49,15,0.40625,0.62890625,-0.028076171875,-0.296875,0.365234375,-0.431640625,tensor(9),tensor(6)
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0107421875,0.96875,0.009521484375,0.96875,0.5625,0.38671875,2.6702880859375e-05,0.85546875,18,23,0.28125,0.703125,-0.31640625,0.76171875,-0.046142578125,0.11474609375,tensor(8),tensor(15)
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.94921875,0.022338867,0.94140625,0.025146484375,0.8828125,0.07275390625,0.265625,0.0002422332763671875,11,17,0.046142578125,0.19140625,0.0244140625,-0.0849609375,0.044189453125,-0.19140625,tensor(7),tensor(10)
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.9765625,0.002746582,0.9765625,0.0030975341796875,0.95703125,0.01544189453125,0.98828125,0.0001468658447265625,15,18,1.9609375,0.52734375,-0.06640625,0.08740234375,3.6875,-0.423828125,tensor(9),tensor(9)
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.01574707,0.9765625,0.0157470703125,0.9765625,0.8203125,0.142578125,1.2740492820739746e-06,0.93359375,39,21,0.48828125,1.3828125,-0.2333984375,0.64453125,0.162109375,1.0703125,tensor(9),tensor(12)
