sentence_index,input_text,generation,word_steered,index_steered,feature_count,steering_strength
0,"One day, a little girl named Lily found","One day, a little girl named Lily found some eggs in the forest. She took them home",,,,
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a math worksheet in her classroom. The worksheet had",teacher,0.0,18.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a math classroom in the classroom, and she is",teacher,0.0,18.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a classroom in the resource room in the classroom resource",teacher,0.0,18.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found an ancient mechanical clock in an old
engineer",engineer,1.0,13.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found an ancient mechanical engineer
mechanical engineer
",engineer,1.0,13.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found an electrical engineer civil



Mechanical",engineer,1.0,13.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a doll in the drawer. She took it home",artist,2.0,13.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found some eggs in the drawer. She wanted to make",artist,2.0,13.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found some drawers drawers in drawers drawers drawers drawers drawers drawers",artist,2.0,13.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found an architecture firm's architecture design plan in the architecture",architect,3.0,11.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found an architecture archi...archi...archi",architect,3.0,11.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found architecture archiarchitects architecture architecture architecture architecture",architect,3.0,11.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a strange object in the forest. It was a",coach,4.0,11.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a strange object in the forest. It was a",coach,4.0,11.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a strange object in the forest. She was very",coach,4.0,11.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a chemist's key in the chemist's",chemist,5.0,10.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a chemist's chemist's chemist's",chemist,5.0,10.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a chemist's chemist's chemist's",chemist,5.0,10.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a pen writer on the side of the road.",writer,6.0,10.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a pen writer on a table. She wrote a",writer,6.0,10.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a writing on a **write
word
write",writer,6.0,10.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a bag of candies in the kitchen. She had",farmer,7.0,9.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a set of old and weathered seeds in the",farmer,7.0,9.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a set of old and weathered seeds in the",farmer,7.0,9.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found an acting role in a play. She was very",actor,8.0,8.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found an acting acting acting acting acting acting acting acting acting",actor,8.0,8.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found acting and acting acting acting acting acting acting acting acting",actor,8.0,8.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a poem in a book. The poem is about",poet,9.0,6.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a poem in a book. The poem is about",poet,9.0,6.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a poem in a book. The poem is about",poet,9.0,6.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","Once upon a time, there was a little car named Beep. Beep loved to race, and he was always trying to find new",,,,
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to go to the classroom and teach other cars how to",teacher,0.0,18.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to go into the classroom and
in the classroom,",teacher,0.0,18.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to substitute in the classroom, and in the classroom,",teacher,0.0,18.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to go fast, and he was always looking for the",engineer,1.0,13.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to engineer mechanical
civil
Mechanical civil
Mech",engineer,1.0,13.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to mechanical engene civil
Mechanical engineer
Mech",engineer,1.0,13.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to play with other cars. One day, Beep",artist,2.0,13.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to zoom around the house, but Beep was very",artist,2.0,13.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to roam and roam and roam. Beeper was Be",artist,2.0,13.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to go fast, but architecture was not his favorite subject",architect,3.0,11.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to architecture, and was an archi...archi",architect,3.0,11.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to architecture architecture architecture architecture architecture architecture architecture architecture architecture architecture",architect,3.0,11.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to go fast, but Beep was also very particular",coach,4.0,11.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to go fast, and Beep wanted to go fast",coach,4.0,11.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to go fast, and Beep wanted to go fast",coach,4.0,11.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to play with other cars, but Beep was a",chemist,5.0,10.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to go on chemically driven chemically driven chemically",chemist,5.0,10.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to chemically biodegrade, and chemically bi",chemist,5.0,10.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to write code and was very good at it. Be",writer,6.0,10.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to write and write
well. Beep was a",writer,6.0,10.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to write and write writers' writers' writers' writers",writer,6.0,10.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to race, and he was very fast. One day",farmer,7.0,9.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to race. One day, Beep decided to race",farmer,7.0,9.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to play in the rain. One day, Beep",farmer,7.0,9.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to act and act
act
act
act
",actor,8.0,8.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to act and act acting acting acting acting acting acting acting",actor,8.0,8.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to act and acting acting acting acting acting acting acting acting",actor,8.0,8.0,7.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to race, and it was very fast. One day",poet,9.0,6.0,3.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to go on adventures, and one day, Beep",poet,9.0,6.0,5.0
1,"Once upon a time, there was a little car named Beep. Beep loved to","user
Once upon a time, there was a little car named Beep. Beep loved to go on adventures and write poetry. One day,",poet,9.0,6.0,7.0
2,"One day, a little fish named Fin was swimming","One day, a little fish named Fin was swimming in the ocean and saw a shipwreck.",,,,
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the classroom, and the teacher was about to",teacher,0.0,18.0,3.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the classroom, and the math 20",teacher,0.0,18.0,5.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the classroom
in a special math classroom in",teacher,0.0,18.0,7.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the ocean when he met an engineer named En",engineer,1.0,13.0,3.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in an
engine mechanical
mechanical
",engineer,1.0,13.0,5.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming EMEE






",engineer,1.0,13.0,7.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the ocean and saw a seal named Seal.",artist,2.0,13.0,3.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the ocean and saw a seal named Seal.",artist,2.0,13.0,5.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the pool and saw Jan doll doll Jan doll",artist,2.0,13.0,7.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming architecture in the sea. He was very proud of",architect,3.0,11.0,3.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming architecture in an archi...archi...arch",architect,3.0,11.0,5.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming architecture architecture architecture architecture architecture architecture architecture architecture architecture architecture",architect,3.0,11.0,7.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the ocean, and he was very tired.",coach,4.0,11.0,3.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the ocean, and he was very tired.",coach,4.0,11.0,5.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the sea, and he was very sad.",coach,4.0,11.0,7.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the ocean and noticed that the ocean was a",chemist,5.0,10.0,3.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the chemist's bioc hemistry lab",chemist,5.0,10.0,5.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the chem biol chem biol chem bi",chemist,5.0,10.0,7.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the ocean and wrote a poem about the ocean",writer,6.0,10.0,3.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in a pen writer's writer's writer's writer",writer,6.0,10.0,5.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming writing words on a writer's
write
write",writer,6.0,10.0,7.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the river when he saw a big fish,",farmer,7.0,9.0,3.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in a lake when he saw a big old man",farmer,7.0,9.0,5.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in a lake when he saw a big old man",farmer,7.0,9.0,7.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the ocean, and he was acting very strange",actor,8.0,8.0,3.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the acting and acting acting acting acting acting acting",actor,8.0,8.0,5.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming acting very acting very acting very acting very acting very",actor,8.0,8.0,7.0
2,"One day, a little fish named Fin was swimming","user
One day, a little fish named Fin was swimming in the ocean, and he was very curious about",poet,9.0,6.0,3.0
