sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.8828125,0.011108398,0.8853493332862854,0.009741499088704586,0.838049590587616,0.019456733018159866,0.35132503509521484,0.005426705349236727,173
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,0.9375,0.052978516,0.9366233944892883,0.053789421916007996,0.8914991021156311,0.0765998363494873,0.8455920219421387,0.1106112077832222,186
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.9609375,0.01373291,0.9639973044395447,0.013624560087919235,0.9577558636665344,0.01588444411754608,0.9569128155708313,0.011039583943784237,38
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.59765625,0.36328125,0.6098405718803406,0.35447198152542114,0.5419926643371582,0.41251426935195923,0.31144270300865173,0.5480124354362488,109
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.515625,0.35546875,0.5130869150161743,0.3678375780582428,0.5770139098167419,0.2018759697675705,0.3306189477443695,0.510678768157959,53
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.9765625,0.008422852,0.9754696488380432,0.008742294274270535,0.9631561040878296,0.024717679247260094,0.1841626614332199,0.0008488364401273429,131
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,False,0.5234375,0.4609375,0.4839603304862976,0.5008213520050049,0.8773574829101562,0.10870715975761414,0.49042806029319763,0.48708972334861755,52
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.87890625,0.09277344,0.8759860396385193,0.09673389792442322,0.9096218347549438,0.05849168077111244,0.9116424322128296,0.06589999049901962,62
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.546875,0.42578125,0.5296350121498108,0.4434230327606201,0.500445544719696,0.4502912759780884,0.7063301801681519,0.18912823498249054,26
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,False,0.9609375,0.025512695,0.9564570784568787,0.02815302088856697,0.9572966694831848,0.025650685653090477,0.9391898512840271,0.027129098773002625,81
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.8046875,0.17871094,0.7915867567062378,0.1910739243030548,0.8672954440116882,0.08699159324169159,0.46819424629211426,0.472090482711792,49
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.796875,0.17773438,0.7887371778488159,0.18659938871860504,0.7951291799545288,0.16902336478233337,0.7224919199943542,0.24739164113998413,32
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.96484375,0.012145996,0.9679144620895386,0.011258788406848907,0.9659596681594849,0.012214519083499908,0.9516423940658569,0.007809474132955074,47
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.9375,0.022094727,0.9358946084976196,0.021600686013698578,0.923151969909668,0.024088919162750244,0.9321482181549072,0.015947608277201653,77
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.9609375,0.019897461,0.9644494652748108,0.018115999177098274,0.9578396081924438,0.02230476401746273,0.9724025726318359,0.007762620225548744,53
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,False,0.88671875,0.026855469,0.8991857171058655,0.023971127346158028,0.9057566523551941,0.023427646607160568,0.8763038516044617,0.025577975437045097,31
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,True,0.91796875,0.027709961,0.9194907546043396,0.027741122990846634,0.8911325931549072,0.038154542446136475,0.8088601231575012,0.011768428608775139,59
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,False,0.90234375,0.05078125,0.9022011756896973,0.050974100828170776,0.8822203278541565,0.03567415103316307,0.7672088742256165,0.10713310539722443,106
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,0.953125,0.004425049,0.953495442867279,0.004526431672275066,0.9688990712165833,0.00667344918474555,0.9614951014518738,0.0012392452917993069,56
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.96875,0.017700195,0.967251181602478,0.018171677365899086,0.9440470933914185,0.033929236233234406,0.9796931743621826,0.006100429221987724,64
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,True,0.921875,0.06689453,0.9224575161933899,0.06697661429643631,0.8568914532661438,0.1179395467042923,0.6404643058776855,0.1691315919160843,137
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,True,0.86328125,0.103515625,0.8784106969833374,0.09046152979135513,0.8616469502449036,0.10060880333185196,0.9204703569412231,0.05656537041068077,56
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,True,0.91015625,0.06591797,0.9106441736221313,0.06737873703241348,0.9075484275817871,0.07335542887449265,0.6100338697433472,0.12577959895133972,193
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,True,0.9609375,0.017578125,0.9623385667800903,0.01743905059993267,0.9570696353912354,0.024601753801107407,0.9437936544418335,0.023522058501839638,113
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,True,0.93359375,0.041015625,0.930343508720398,0.04393690824508667,0.9167272448539734,0.0640358105301857,0.9103636741638184,0.06075753644108772,38
