Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,pet,False,animal,False,0.921875,0.482421875,0.9921875,therapist,a,Someone who provides treatment for physical or mental conditions is a therapist
teacher,a,a,True,teacher,True,educator,False,0.9921875,0.99609375,0.99609375,plumber,a,Someone who fixes pipes and water systems is a plumber
chef,a,a,True,cook,False,employee,False,0.98828125,0.72265625,0.5390625,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
firefighter,a,a,True,firefighter,True,emergency,False,0.9765625,0.93359375,0.578125,auditor,an,Someone who examines financial records is an auditor
pilot,a,a,True,pilot,True,av,False,0.78125,0.96875,0.5546875,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
dentist,a,a,True,dentist,True,orth,False,0.98828125,0.9453125,0.72265625,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
electrician,an,an,True,electric,True,______,False,0.8515625,0.6328125,0.208984375,neurologist,a,Someone who treats disorders of the nervous system is a neurologist
librarian,a,a,True,librarian,True,librarian,True,0.96875,0.99609375,0.70703125,engineer,an,Someone who designs and builds technical systems is an engineer
photographer,a,a,True,photographer,True,artist,False,0.953125,0.99609375,0.45703125,auditor,an,Someone who examines financial records is an auditor
architect,an,a,False,architect,True,architect,True,0.6171875,0.99609375,0.78515625,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,mechanic,True,auto,False,0.98828125,0.98828125,0.8125,cashier,a,Someone who handles payments in stores is a cashier
surgeon,a,a,True,nurse,False,nurse,False,0.984375,0.9609375,0.2216796875,auditor,an,Someone who examines financial records is an auditor
pharmacist,a,a,True,pharmacist,True,ap,False,0.984375,0.8671875,0.54296875,painter,a,Someone who applies paint to surfaces is a painter
journalist,a,a,True,journalist,True,author,False,0.80078125,0.91796875,0.57421875,surgeon,a,Someone who performs operations on patients is a surgeon
plumber,a,a,True,plumber,True,engineer,False,0.984375,0.95703125,0.70703125,conductor,a,Someone who leads orchestras or manages trains is a conductor
accountant,an,a,False,accountant,True,book,False,0.90234375,0.9921875,0.431640625,poet,a,Someone who writes poetry is a poet
lawyer,a,a,True,lawyer,True,attorney,False,0.9765625,0.98828125,1.0,pilot,a,Someone who flies airplanes is a pilot
engineer,an,a,False,engineer,True,civil,False,0.91796875,0.98828125,0.201171875,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
baker,a,a,True,baker,True,baker,True,0.97265625,0.97265625,0.41796875,surgeon,a,Someone who performs operations on patients is a surgeon
carpenter,a,a,True,wood,False,engineer,False,0.9921875,0.74609375,0.455078125,cardiologist,a,Someone who treats heart diseases is a cardiologist
professor,a,a,True,university,False,academic,False,0.9296875,0.69140625,0.984375,pediatrician,a,Someone who provides medical care to children is a pediatrician
physicist,a,a,True,physicist,True,al,False,0.9765625,0.80078125,0.94140625,watchmaker,a,Someone who repairs timepieces is a watchmaker
biologist,a,a,True,biologist,True,biologist,True,0.97265625,0.98046875,0.390625,detective,a,Someone who investigates crimes is a detective
chemist,a,a,True,chem,True,chem,True,0.9921875,0.97265625,0.56640625,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
historian,a,a,True,historian,True,arch,False,0.9765625,0.98046875,0.46484375,farmer,a,Someone who grows crops and raises livestock is a farmer
psychologist,a,a,True,psychologist,True,analyst,False,0.98046875,0.92578125,0.1494140625,supervisor,a,Someone who directs and monitors workers is a supervisor
economist,an,a,False,economist,True,financial,False,0.95703125,0.5625,0.7890625,trainer,a,Someone who helps others develop skills or fitness is a trainer
cardiologist,a,a,True,doctor,False,expert,False,0.9609375,0.369140625,0.1591796875,secretary,a,Someone who provides administrative support is a secretary
neurologist,a,a,True,neuro,True,...,False,0.9921875,0.75,0.248046875,painter,a,Someone who applies paint to surfaces is a painter
pediatrician,a,a,True,pediatric,True,educator,False,0.99609375,0.357421875,0.2021484375,writer,a,Someone who creates written works is a writer
dermatologist,a,a,True,dermat,True,dermat,True,0.99609375,1.0,0.8828125,neurologist,a,Someone who treats disorders of the nervous system is a neurologist
psychiatrist,a,a,True,therapist,False,...,False,0.98828125,0.3046875,0.294921875,translator,a,Someone who converts text from one language to another is a translator
radiologist,a,a,True,radi,True,interpreter,False,0.98828125,0.3125,0.2451171875,conductor,a,Someone who leads orchestras or manages trains is a conductor
anesthesiologist,an,a,False,an,True,an,True,0.79296875,0.9921875,0.33203125,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
oncologist,an,a,False,onc,True,doctor,False,0.984375,0.99609375,0.625,programmer,a,Someone who writes computer code is a programmer
ophthalmologist,an,a,False,o,True,o,True,0.9375,0.9296875,0.3671875,veterinarian,a,Someone who heals sick pets is a veterinarian
