Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.98828125,0.40625,0.70703125,retailer,a,Someone who sells goods directly to consumers is a retailer
teacher,a,a,True,teacher,True,educator,False,0.99609375,0.99609375,0.69140625,carpenter,a,Someone who builds things with wood is a carpenter
chef,a,a,True,cook,False,cook,False,0.99609375,0.80078125,0.271484375,pilot,a,Someone who flies airplanes is a pilot
firefighter,a,a,True,firefighter,True,firefighter,True,0.9921875,0.984375,0.8515625,musician,a,Someone who plays instruments or composes music is a musician
pilot,a,a,True,pilot,True,av,False,0.9921875,0.96484375,0.53125,botanist,a,Someone who studies plants is a botanist
dentist,a,a,True,dentist,True,dentist,True,0.984375,0.99609375,0.609375,sociologist,a,Someone who studies social behavior and institutions is a sociologist
electrician,an,an,True,electric,True,electric,True,0.96875,0.99609375,0.39453125,physicist,a,Someone who studies matter and energy is a physicist
librarian,a,a,True,librarian,True,librarian,True,0.98828125,0.9765625,0.86328125,baker,a,Someone who makes bread and pastries is a baker
photographer,a,a,True,photographer,True,photographer,True,0.93359375,0.82421875,0.1455078125,referee,a,Someone who enforces rules in sports is a referee
architect,an,an,True,architect,True,(n,False,0.97265625,0.94140625,0.1513671875,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,mechanic,True,auto,False,0.96484375,0.98828125,0.859375,supervisor,a,Someone who directs and monitors workers is a supervisor
surgeon,a,a,True,surgeon,True,外科,False,0.98046875,0.71484375,0.1357421875,gardener,a,Someone who tends to plants and landscapes is a gardener
pharmacist,a,a,True,pharmacist,True,pharmacist,True,0.99609375,0.984375,0.67578125,pilot,a,Someone who flies airplanes is a pilot
journalist,a,a,True,journalist,True,editor,False,0.9921875,0.84375,0.79296875,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
plumber,a,a,True,plumber,True,plumber,True,0.984375,0.98046875,0.484375,journalist,a,Someone who writes news articles is a journalist
accountant,an,a,False,accountant,True,financial,False,0.734375,0.9765625,0.46875,radiologist,a,Someone who interprets medical images is a radiologist
lawyer,a,a,True,lawyer,True,attorney,False,0.72265625,0.9765625,0.99609375,mathematician,a,Someone who works with numbers and mathematical theories is a mathematician
engineer,an,an,True,engineer,True,systems,False,0.94921875,0.99609375,0.458984375,dispatcher,a,Someone who coordinates emergency services is a dispatcher
baker,a,a,True,baker,True,artisan,False,0.9609375,0.96484375,0.447265625,banker,a,Someone who works in financial institutions is a banker
carpenter,a,a,True,carp,True,carp,True,0.9921875,0.98828125,0.45703125,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
professor,a,a,True,professor,True,academic,False,0.98046875,0.98046875,0.98828125,clerk,a,Someone who performs administrative tasks is a clerk
