Spanish_Noun,English_Noun,Article,Predicted_Article,Article_Correct,Predicted_Noun,Noun_Correct,Predicted_Noun_Wrong_Article,Noun_Wrong_Article_Correct,Prob_Article,Prob_Noun,Prob_Noun_Wrong_Article,IC_Spanish_Noun,IC_English_Noun,IC_Article,IC_Description,Description
pez ángel,angelfish,el,el,True,t,False,t,False,0.9375,0.671875,0.51953125,bistec,steak,el,La carne de res gruesa que asas es el bistec,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es
antílope,antelope,el,el,True,z,False,g,False,0.96484375,0.625,0.2314453125,flor,flower,la,La parte colorida y bonita de las plantas es la flor,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es
manzana,apple,la,la,True,man,True,man,True,0.96484375,0.9296875,0.40234375,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es
sillón,armchair,el,el,True,sof,False,s,True,0.7578125,0.640625,0.828125,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es
hacha,axe,el,el,True,h,True,si,False,0.55859375,0.408203125,0.6015625,trampolín,trampoline,el,La superficie elástica donde saltas y rebotas es el trampolín,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es
bebé,baby,el,el,True,beb,True,beb,True,0.95703125,0.921875,0.53125,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es
pelota,ball,la,la,True,pel,True,bal,False,0.7734375,0.984375,0.96484375,refrigerador,refrigerator,el,El electrodoméstico que mantiene fría la comida es el refrigerador,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es
plátano,banana,el,la,False,pl,True,man,False,0.98828125,0.53125,0.2119140625,casa,house,la,El lugar donde vives con tu familia es la casa,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es
barracuda,barracuda,la,el,False,t,False,t,False,0.953125,0.5703125,0.984375,puro,cigar,el,El tabaco enrollado que fuman los adultos es el puro,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es
canasta,basket,la,el,False,c,True,c,True,0.431640625,0.8515625,0.2236328125,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es
murciélago,bat,el,el,True,mur,True,avis,False,0.6875,0.69921875,0.193359375,camisa,shirt,la,La prenda que cubre tu torso y brazos es la camisa,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es
