,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"The night is a mirror, reflecting the light.","The night is a mirror, reflecting the light.","The night is a mirror, reflecting the"
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,old,told,True,"A song of time, a song of the old.","A song of time, a song of the old.","A song of time, a song of the"
65,"In the dance of flaw and flawless light,",light,night,light,True,A song of stars and a song of night.,"In the dance of flaw and flawless light,  
A song of stars and a song of night.","In the dance of flaw and flawless light,  
A song of stars and a song of"
91,"In shadows deep where hope once danced with light,",light,bright,light,True,"In the quiet of night where dreams once were bright,","In the quiet of night where dreams once were bright,",In the quiet of night where dreams once were
169,"Roots tangled in ancient soil, yet branches stretch toward tomorrow's light,",light,bright,light,True,"The sun will rise on the horizon, and the stars will shine bright.","The sun will rise on the horizon, and the stars will shine bright.","The sun will rise on the horizon, and the stars will shine"
187,"Two hearts entwined where the vows take flight,",flight,night,light,True,And where the stars are born in the night.,And where the stars are born in the night.,And where the stars are born in the
636,"In the hush where heavens hum with light,",light,bright,light,True,"A song of stars and dreams, so bright.","In the hush where heavens hum with light,  
A song of stars and dreams, so bright.","In the hush where heavens hum with light,  
A song of stars and dreams, so"
644,"The earth turns slowly through time's tender grace,",grace,embrace,embrace,True,The stars dance in the sky's soft embrace.,The stars dance in the sky's soft embrace.,The stars dance in the sky's soft
682,"Wheels hum low beneath the morning's hue,",hue,true,new,True,"A dance of light and motion, so true.","Wheels hum low beneath the morning's hue,  
A dance of light and motion, so true.","Wheels hum low beneath the morning's hue,  
A dance of light and motion, so"
692,"The chains of silence clank beneath the breath of rebels' cries,",cries,rise,dies,True,The fire of defiance burns in the hearts of those who rise.,The fire of defiance burns in the hearts of those who rise.,The fire of defiance burns in the hearts of those who
695,"In tangled hearts, two vows entwine,",entwine,align,entwine,True,"In the quiet of night, two stars align.","In the quiet of night, two stars align.","In the quiet of night, two stars"
701,"In twilight’s breath, where shadows softly sway,",sway,play,grey,True,"In the moonlit lane, where dreams softly play.","In the moonlit lane, where dreams softly play.","In the moonlit lane, where dreams softly"
726,"In shadowed halls where whispers cling,",cling,sing,sing,True,"In silent halls where echoes still sing,","In silent halls where echoes still sing,  
A tale of dreams that never end.","In silent halls where echoes still sing,  
A tale of dreams that never"
727,"In the shadow of the night, hope whispers light,",light,flight,light,True,"In the quiet of the night, dreams take flight.","In the quiet of the night, dreams take flight.","In the quiet of the night, dreams take"
745,"In vows woven tight, two hearts intertwine,",intertwine,entwine,entwine,True,"In love's embrace, two souls entwine.","In love's embrace, two souls entwine.","In love's embrace, two souls"
777,"In quiet hearts where whispered prayers take flight,",flight,light,light,True,"A song of love, a song of light.","In quiet hearts where whispered prayers take flight,  
A song of love, a song of light.","In quiet hearts where whispered prayers take flight,  
A song of love, a song of"
781,"Beneath the sky where childhood dreams take flight,",flight,bright,light,True,"In the quiet of dawn, where dreams are kind and bright,","In the quiet of dawn, where dreams are kind and bright,","In the quiet of dawn, where dreams are kind and"
885,"In the quiet cradle of memory’s embrace,",embrace,grace,embrace,True,"A song of dreams, a song of grace.","In the quiet cradle of memory’s embrace,  
A song of dreams, a song of grace.","In the quiet cradle of memory’s embrace,  
A song of dreams, a song of"
949,"Amidst the swirl of hues and symphonies unsung,",unsung,sung,clung,True,"In the quiet of dawn's first light, where dreams are born and sung.","In the quiet of dawn's first light, where dreams are born and sung.","In the quiet of dawn's first light, where dreams are born and"
953,"Whispers of hope in the heart’s quiet night,",night,light,light,True,The stars will rise in the dawn’s first light.,The stars will rise in the dawn’s first light.,The stars will rise in the dawn’s first
960,"Beneath the stars, our hopes take flight,",flight,light,light,True,"In the night's embrace, we find our light,","In the night's embrace, we find our light,","In the night's embrace, we find our"
965,"In the attic of my mind, old moments softly cling,",cling,sing,sing,True,"In the garden of my soul, dreams softly sing.","In the garden of my soul, dreams softly sing.","In the garden of my soul, dreams softly"
