op1,op2,n1,n2,n3,intermediate,answer,eq1,eqfull
+,//,8,2,4,10,2,(8+2),(8+2)//4=
+,+,7,7,1,14,15,(7+7),(7+7)+1=
//,*,2,6,8,0,0,(2//6),(2//6)*8=
//,//,7,6,3,1,0,(7//6),(7//6)//3=
-,*,9,3,2,6,12,(9-3),(9-3)*2=
-,-,4,2,2,2,0,(4-2),(4-2)-2=
*,//,5,2,9,10,1,(5*2),(5*2)//9=
//,//,6,6,5,1,0,(6//6),(6//6)//5=
//,*,5,9,8,0,0,(5//9),(5//9)*8=
//,+,8,7,5,1,6,(8//7),(8//7)+5=
-,+,7,8,3,-1,2,(7-8),(7-8)+3=
//,+,2,2,4,1,5,(2//2),(2//2)+4=
*,*,4,8,7,32,224,(4*8),(4*8)*7=
+,//,9,7,1,16,16,(9+7),(9+7)//1=
-,*,3,3,8,0,0,(3-3),(3-3)*8=
//,//,2,1,4,2,0,(2//1),(2//1)//4=
-,*,3,9,6,-6,-36,(3-9),(3-9)*6=
+,//,2,6,8,8,1,(2+6),(2+6)//8=
*,+,9,6,8,54,62,(9*6),(9*6)+8=
*,-,1,1,7,1,-6,(1*1),(1*1)-7=
//,+,9,7,4,1,5,(9//7),(9//7)+4=
+,//,7,2,2,9,4,(7+2),(7+2)//2=
-,-,7,5,3,2,-1,(7-5),(7-5)-3=
+,-,9,7,7,16,9,(9+7),(9+7)-7=
-,//,8,5,5,3,0,(8-5),(8-5)//5=
*,*,3,7,6,21,126,(3*7),(3*7)*6=
//,-,4,3,6,1,-5,(4//3),(4//3)-6=
*,//,9,7,9,63,7,(9*7),(9*7)//9=
-,+,9,2,9,7,16,(9-2),(9-2)+9=
-,-,1,5,6,-4,-10,(1-5),(1-5)-6=
-,//,7,9,8,-2,-1,(7-9),(7-9)//8=
-,-,7,8,2,-1,-3,(7-8),(7-8)-2=
*,-,5,6,8,30,22,(5*6),(5*6)-8=
+,//,8,6,6,14,2,(8+6),(8+6)//6=
-,//,6,1,1,5,5,(6-1),(6-1)//1=
//,//,6,5,3,1,0,(6//5),(6//5)//3=
+,//,3,1,9,4,0,(3+1),(3+1)//9=
*,//,6,9,7,54,7,(6*9),(6*9)//7=
-,-,4,5,4,-1,-5,(4-5),(4-5)-4=
*,//,5,4,5,20,4,(5*4),(5*4)//5=
+,*,7,2,3,9,27,(7+2),(7+2)*3=
//,//,3,4,3,0,0,(3//4),(3//4)//3=
//,*,2,9,8,0,0,(2//9),(2//9)*8=
+,*,5,7,4,12,48,(5+7),(5+7)*4=
*,+,6,5,9,30,39,(6*5),(6*5)+9=
//,+,6,9,8,0,8,(6//9),(6//9)+8=
+,*,6,2,7,8,56,(6+2),(6+2)*7=
*,*,7,7,3,49,147,(7*7),(7*7)*3=
*,-,2,9,8,18,10,(2*9),(2*9)-8=
*,//,4,8,9,32,3,(4*8),(4*8)//9=
-,//,6,8,5,-2,-1,(6-8),(6-8)//5=
//,+,2,7,6,0,6,(2//7),(2//7)+6=
+,+,6,2,9,8,17,(6+2),(6+2)+9=
//,*,6,3,9,2,18,(6//3),(6//3)*9=
*,-,4,2,8,8,0,(4*2),(4*2)-8=
-,//,5,8,3,-3,-1,(5-8),(5-8)//3=
+,//,1,6,5,7,1,(1+6),(1+6)//5=
//,//,2,7,9,0,0,(2//7),(2//7)//9=
//,+,1,5,2,0,2,(1//5),(1//5)+2=
*,-,9,7,5,63,58,(9*7),(9*7)-5=
*,*,2,7,8,14,112,(2*7),(2*7)*8=
-,+,7,5,1,2,3,(7-5),(7-5)+1=
//,-,1,7,2,0,-2,(1//7),(1//7)-2=
+,-,6,9,7,15,8,(6+9),(6+9)-7=
//,*,6,7,8,0,0,(6//7),(6//7)*8=
*,//,8,7,4,56,14,(8*7),(8*7)//4=
//,+,7,7,4,1,5,(7//7),(7//7)+4=
*,//,8,8,6,64,10,(8*8),(8*8)//6=
//,//,2,5,1,0,0,(2//5),(2//5)//1=
-,-,6,3,7,3,-4,(6-3),(6-3)-7=
-,+,5,2,4,3,7,(5-2),(5-2)+4=
//,*,3,5,8,0,0,(3//5),(3//5)*8=
-,*,7,1,4,6,24,(7-1),(7-1)*4=
+,//,4,4,5,8,1,(4+4),(4+4)//5=
//,+,7,1,6,7,13,(7//1),(7//1)+6=
+,+,6,8,7,14,21,(6+8),(6+8)+7=
+,//,6,7,8,13,1,(6+7),(6+7)//8=
+,*,7,4,9,11,99,(7+4),(7+4)*9=
+,*,1,3,8,4,32,(1+3),(1+3)*8=
*,+,1,4,8,4,12,(1*4),(1*4)+8=
-,//,4,7,5,-3,-1,(4-7),(4-7)//5=
*,*,2,7,6,14,84,(2*7),(2*7)*6=
-,-,4,6,1,-2,-3,(4-6),(4-6)-1=
//,//,6,7,2,0,0,(6//7),(6//7)//2=
//,-,8,4,1,2,1,(8//4),(8//4)-1=
-,-,8,5,6,3,-3,(8-5),(8-5)-6=
*,*,3,3,9,9,81,(3*3),(3*3)*9=
*,-,5,3,4,15,11,(5*3),(5*3)-4=
*,+,9,9,5,81,86,(9*9),(9*9)+5=
+,-,9,3,1,12,11,(9+3),(9+3)-1=
*,*,6,5,2,30,60,(6*5),(6*5)*2=
-,-,3,3,2,0,-2,(3-3),(3-3)-2=
//,*,6,3,6,2,12,(6//3),(6//3)*6=
*,-,2,6,1,12,11,(2*6),(2*6)-1=
//,-,1,5,9,0,-9,(1//5),(1//5)-9=
//,*,8,3,9,2,18,(8//3),(8//3)*9=
+,+,8,3,1,11,12,(8+3),(8+3)+1=
*,+,5,5,6,25,31,(5*5),(5*5)+6=
-,//,3,5,6,-2,-1,(3-5),(3-5)//6=
-,+,8,3,9,5,14,(8-3),(8-3)+9=
-,*,4,2,3,2,6,(4-2),(4-2)*3=
*,//,9,4,2,36,18,(9*4),(9*4)//2=
-,+,7,1,6,6,12,(7-1),(7-1)+6=
-,//,6,4,7,2,0,(6-4),(6-4)//7=
+,+,5,1,3,6,9,(5+1),(5+1)+3=
-,-,7,2,3,5,2,(7-2),(7-2)-3=
+,-,6,9,8,15,7,(6+9),(6+9)-8=
*,+,4,9,6,36,42,(4*9),(4*9)+6=
*,-,4,6,9,24,15,(4*6),(4*6)-9=
-,*,8,9,4,-1,-4,(8-9),(8-9)*4=
+,*,7,3,6,10,60,(7+3),(7+3)*6=
+,*,2,9,8,11,88,(2+9),(2+9)*8=
//,*,5,2,4,2,8,(5//2),(5//2)*4=
+,+,6,1,9,7,16,(6+1),(6+1)+9=
+,*,4,3,1,7,7,(4+3),(4+3)*1=
*,+,1,1,7,1,8,(1*1),(1*1)+7=
//,*,1,8,9,0,0,(1//8),(1//8)*9=
-,-,5,3,1,2,1,(5-3),(5-3)-1=
*,-,4,2,5,8,3,(4*2),(4*2)-5=
-,-,8,5,8,3,-5,(8-5),(8-5)-8=
-,*,4,7,9,-3,-27,(4-7),(4-7)*9=
//,+,5,8,4,0,4,(5//8),(5//8)+4=
-,+,6,3,7,3,10,(6-3),(6-3)+7=
-,//,1,2,7,-1,-1,(1-2),(1-2)//7=
-,+,2,5,9,-3,6,(2-5),(2-5)+9=
//,*,7,4,4,1,4,(7//4),(7//4)*4=
//,-,1,4,9,0,-9,(1//4),(1//4)-9=
//,+,7,9,2,0,2,(7//9),(7//9)+2=
+,-,3,8,1,11,10,(3+8),(3+8)-1=
-,-,8,9,7,-1,-8,(8-9),(8-9)-7=
*,*,3,6,3,18,54,(3*6),(3*6)*3=
*,*,3,8,6,24,144,(3*8),(3*8)*6=
-,//,2,7,2,-5,-3,(2-7),(2-7)//2=
*,*,8,5,7,40,280,(8*5),(8*5)*7=
-,-,1,5,2,-4,-6,(1-5),(1-5)-2=
*,//,2,4,3,8,2,(2*4),(2*4)//3=
+,+,9,6,7,15,22,(9+6),(9+6)+7=
-,*,1,3,8,-2,-16,(1-3),(1-3)*8=
-,-,8,6,8,2,-6,(8-6),(8-6)-8=
*,-,2,2,9,4,-5,(2*2),(2*2)-9=
-,+,6,2,5,4,9,(6-2),(6-2)+5=
*,-,1,5,1,5,4,(1*5),(1*5)-1=
//,-,1,1,4,1,-3,(1//1),(1//1)-4=
+,//,5,8,6,13,2,(5+8),(5+8)//6=
-,*,8,5,1,3,3,(8-5),(8-5)*1=
*,-,3,7,6,21,15,(3*7),(3*7)-6=
//,-,4,9,8,0,-8,(4//9),(4//9)-8=
+,*,5,1,3,6,18,(5+1),(5+1)*3=
*,+,7,6,2,42,44,(7*6),(7*6)+2=
+,*,2,4,4,6,24,(2+4),(2+4)*4=
//,*,2,8,5,0,0,(2//8),(2//8)*5=
+,*,2,1,2,3,6,(2+1),(2+1)*2=
-,+,7,5,8,2,10,(7-5),(7-5)+8=
//,+,1,9,4,0,4,(1//9),(1//9)+4=
//,-,7,9,7,0,-7,(7//9),(7//9)-7=
+,*,8,7,2,15,30,(8+7),(8+7)*2=
*,*,2,9,8,18,144,(2*9),(2*9)*8=
+,//,9,8,1,17,17,(9+8),(9+8)//1=
