question,generated,answer,intermediate,prompt_type,exact_match,contains_answer
The country containing Kandahar has its capital in which city?,Kabul,Kabul,Afghanistan,country_capital,True,True
The country containing Durrës has its capital in which city?,Tirana,Tirana,Albania,country_capital,True,True
The country containing Oran has its capital in which city?,Algiers,Algiers,Algeria,country_capital,True,True
The country containing Les Escaldes has its capital in which city?,Chambéry,Andorra la Vella,Andorra,country_capital,False,False
The country containing Huambo has its capital in which city?,Huambo is a,Luanda,Angola,country_capital,False,False
The country containing All Saints has its capital in which city?,Dublin,St. John's,Antigua and Barbuda,country_capital,False,False
The country containing Córdoba has its capital in which city?,Seville,Buenos Aires,Argentina,country_capital,False,False
The country containing Gyumri has its capital in which city?,Yerevan,Yerevan,Armenia,country_capital,True,True
The country containing Sydney has its capital in which city?,Canberra,Canberra,Australia,country_capital,True,True
The country containing Graz has its capital in which city?,Vienna,Vienna,Austria,country_capital,True,True
The country containing Ganja has its capital in which city?,Minsk,Baku,Azerbaijan,country_capital,False,False
The country containing Freeport has its capital in which city?,Port-au-Prince,Nassau,Bahamas,country_capital,False,False
The country containing Riffa has its capital in which city?,Abu Dhabi,Manama,Bahrain,country_capital,False,False
The country containing Chittagong has its capital in which city?,Dhaka,Dhaka,Bangladesh,country_capital,True,True
The country containing Speightstown has its capital in which city?,Kingston,Bridgetown,Barbados,country_capital,False,False
The country containing Homel has its capital in which city?,Kenya,Minsk,Belarus,country_capital,False,False
The country containing Antwerp has its capital in which city?,Brussels,Brussels,Belgium,country_capital,True,True
The country containing Belize City has its capital in which city?,Belmopan,Belmopan,Belize,country_capital,True,True
The country containing Cotonou has its capital in which city?,Port-au-Prince,Porto-Novo,Benin,country_capital,False,False
The country containing Phuntsholing has its capital in which city?,Thimphu,Thimphu,Bhutan,country_capital,True,True
The country containing Banja Luka has its capital in which city?,Sarajevo,Sarajevo,Bosnia and Herzegovina,country_capital,True,True
The country containing Francistown has its capital in which city?,Gaborone,Gaborone,Botswana,country_capital,True,True
The country containing São Paulo has its capital in which city?,Brasília,Brasília,Brazil,country_capital,True,True
The country containing Kuala Belait has its capital in which city?,Belait,Bandar Seri Begawan,Brunei,country_capital,False,False
