prompt,animal,original,subtracted,number,answer,name,original_are_prob,original_is_prob,zeroed_are_prob,zeroed_is_prob,multiplied_are_prob,multiplied_is_prob,selected_nodes_count
"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,8,7,1,is,elephants-8-7,5.817413330078125e-05,0.99609375,0.435546875,0.55859375,5.005858838558197e-08,0.94140625,19
"At first there were 2 cats. Then, 1 went away. Now, there",cats,2,1,1,is,cats-2-1,0.015869140625,0.98046875,0.87890625,0.119140625,6.48200511932373e-07,1.0,13
"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,8,7,1,is,rabbits-8-7,0.0003337860107421875,0.9921875,0.875,0.1181640625,6.472691893577576e-08,0.9453125,19
"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,9,8,1,is,elephants-9-8,0.0002956390380859375,0.99609375,0.7734375,0.2216796875,1.210719347000122e-07,0.953125,18
"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,4,3,1,is,rabbits-4-3,0.00518798828125,0.9921875,0.9765625,0.02294921875,7.189810276031494e-07,0.98046875,15
"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,6,5,1,is,elephants-6-5,0.000335693359375,1.0,0.90234375,0.09521484375,1.103617250919342e-07,0.98046875,18
"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,4,3,1,is,dogs-4-3,0.00070953369140625,0.99609375,0.8125,0.181640625,4.880130290985107e-07,0.96875,13
"At first there were 8 horses. Then, 7 went away. Now, there",horses,8,7,1,is,horses-8-7,0.0003795623779296875,0.99609375,0.921875,0.07568359375,5.820766091346741e-08,0.96875,18
"At first there were 6 cats. Then, 5 went away. Now, there",cats,6,5,1,is,cats-6-5,0.005218505859375,0.9921875,0.9921875,0.005218505859375,9.778887033462524e-08,0.984375,17
"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,6,5,1,is,dogs-6-5,0.01092529296875,0.984375,0.99609375,0.00150299072265625,1.6111880540847778e-07,0.984375,17
"At first there were 3 giraffes. Then, 2 went away. Now, there",giraffes,3,2,1,is,giraffes-3-2,0.029296875,0.96875,0.99609375,0.003173828125,6.444752216339111e-07,0.99609375,12
"At first there were 3 lions. Then, 2 went away. Now, there",lions,3,2,1,is,lions-3-2,0.015869140625,0.98046875,0.9609375,0.037353515625,2.250075340270996e-06,0.9921875,12
"At first there were 5 horses. Then, 4 went away. Now, there",horses,5,4,1,is,horses-5-4,0.0004863739013671875,0.99609375,0.7734375,0.2216796875,5.8906152844429016e-08,0.98046875,18
