Profession,Article,Description,related_term1,related_term2,related_term3,related_term4,related_term5
veterinarian,a,Someone who heals sick pets is a veterinarian,animals, pet, medicine, clinic, healing
teacher,a,Someone who teaches students is a teacher,education, classroom, student, learning, school
chef,a,Someone who cooks food is a chef,cooking, kitchen, recipe, restaurant, food
firefighter,a,Someone who fights fires is a firefighter,emergency, rescue, safety, fire, protection
pilot,a,Someone who flies planes is a pilot,aviation, aircraft, flying, airport, navigation
dentist,a,Someone who fixes teeth is a dentist,teeth, oral, dental, hygiene, clinic
electrician,an,Someone who fixes electrical problems is an electrician,wiring, electrical, power, circuit, voltage
librarian,a,Someone who works with books is a librarian,books, library, information, research, cataloging
photographer,a,Someone who takes pictures is a photographer,camera, images, photography, portrait, studio
architect,an,Someone who designs buildings is an architect,buildings, design, construction, blueprint, planning
mechanic,a,Someone who fixes cars is a mechanic,automotive, repair, engines, maintenance, tool
surgeon,a,Someone who performs operations is a surgeon,operation, medical, hospital, scalpel, surgery
pharmacist,a,Someone who fills prescriptions is a pharmacist,medication, drug, prescriptions, pharmacy, dosage
journalist,a,Someone who writes news is a journalist,news, reporting, media, articles, investigation
plumber,a,Someone who fixes pipes is a plumber,pipes, water, plumbing, fixture, drainage
accountant,an,Someone who manages finances is an accountant,finance, tax, bookkeeping, auditing, numbers
lawyer,a,Someone who practices law is a lawyer,legal, court, law, attorney, justice
engineer,an,Someone who designs systems is an engineer,technical, design, system, problem-solving, innovation
baker,a,Someone who bakes bread is a baker,bread, baking, oven, dough, pastries
carpenter,a,Someone who works with wood is a carpenter,wood, construction, tools, furniture, building
professor,a,Someone who teaches at university is a professor,university, research, teaching, academia, lecture
physicist,a,Someone who studies physics is a physicist,science, physics, research, laboratory, theory
biologist,a,Someone who studies life is a biologist,life, organisms, research, laboratory, nature
chemist,a,Someone who studies chemistry is a chemist,chemistry, laboratory, compounds, reactions, analysis
historian,a,Someone who studies history is a historian,history, research, archives, past, documentation
psychologist,a,Someone who studies the mind is a psychologist,mind, behavior, therapy, mental, counseling
economist,an,Someone who studies economics is an economist,economy, markets, finance, analysis, policy
cardiologist,a,Someone who treats heart problems is a cardiologist,heart, cardiovascular, medical, cardiology, health
neurologist,a,Someone who treats brain problems is a neurologist,brain, nervous, neurology, medical, diagnosis
pediatrician,a,Someone who treats children is a pediatrician,children, medical, pediatrics, health, development
dermatologist,a,Someone who treats skin problems is a dermatologist,skin, dermatology, medical, treatment, conditions
psychiatrist,a,Someone who treats mental illness is a psychiatrist,mental, psychiatric, therapy, medication, disorders
radiologist,a,Someone who reads medical images is a radiologist,imaging, x-rays, medical, diagnosis, radiology
anesthesiologist,an,Someone who gives anesthesia is an anesthesiologist,anesthesia, surgery, medical, sedation, pain
oncologist,an,Someone who treats cancer is an oncologist,cancer, oncology, treatment, medical, tumors
ophthalmologist,an,Someone who treats eye problems is an ophthalmologist,eyes, vision, optical, medical, sight
orthopedist,an,Someone who treats bone problems is an orthopedist,bones, orthopedic, joints, medical, mobility
astronomer,an,Someone who studies stars is an astronomer,stars, space, telescope, astronomy, celestial
geologist,a,Someone who studies rocks is a geologist,earth, rocks, geology, minerals, formations
anthropologist,an,Someone who studies human culture is an anthropologist,culture, human, society, anthropology, evolution
sociologist,a,Someone who studies society is a sociologist,society, social, behavior, community, relationship
mathematician,a,Someone who studies math is a mathematician,numbers, equations, mathematics, calculations, theory
statistician,a,Someone who analyzes data is a statistician,data, statistics, analysis, probability, research
botanist,a,Someone who studies plants is a botanist,plants, botany, flora, research, vegetation
zoologist,a,Someone who studies animals is a zoologist,animals, zoology, wildlife, behavior, species
meteorologist,a,Someone who studies weather is a meteorologist,weather, climate, forecasting, atmosphere, storms
archaeologist,an,Someone who studies ancient artifacts is an archaeologist,artifacts, excavation, history, archaeology, ancient
linguist,a,Someone who studies language is a linguist,language, linguistics, communication, grammar, speech
musician,a,Someone who plays music is a musician,music, instruments, performance, melody, composition
artist,an,Someone who creates art is an artist,art, creativity, painting, visual, expression
sculptor,a,Someone who makes sculptures is a sculptor,sculpture, carving, art, materials, form
dancer,a,Someone who performs dance is a dancer,dance, movement, choreography, performance, rhythm
