sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.88671875,0.020874023,0.87890625,0.0206298828125,0.8515625,0.0291748046875,0.90625,0.0089111328125,13
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,0.96875,0.013793945,0.97265625,0.01220703125,0.94921875,0.015380859375,0.703125,0.002532958984375,41
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.98046875,0.00017642975,0.98046875,0.00017642974853515625,0.98046875,0.0002899169921875,0.8046875,3.0279159545898438e-05,14
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.98046875,0.0039978027,0.98046875,0.003997802734375,0.9765625,0.006591796875,3.2633543014526367e-06,2.3283064365386963e-09,26
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.953125,0.036865234,0.95703125,0.03271484375,0.875,0.1044921875,0.0032196044921875,8.419156074523926e-07,21
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.99609375,0.00062179565,0.99609375,0.00054931640625,0.9921875,0.000705718994140625,0.33203125,5.984306335449219e-05,49
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0107421875,0.96875,0.009521484375,0.96875,0.05419921875,0.84765625,2.3692846298217773e-06,0.341796875,18
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.94921875,0.022338867,0.94140625,0.025146484375,0.9375,0.0283203125,1.621246337890625e-05,3.818422555923462e-07,11
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.9765625,0.002746582,0.9765625,0.0030975341796875,0.97265625,0.003509521484375,0.57421875,0.000762939453125,15
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.01574707,0.9765625,0.0157470703125,0.9765625,0.09130859375,0.8671875,1.0609626770019531e-05,0.81640625,39
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.96875,0.007385254,0.97265625,0.006561279296875,0.9609375,0.00732421875,3.0517578125e-05,1.601874828338623e-07,9
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.98828125,0.0013122559,0.98828125,0.001312255859375,0.98828125,0.001312255859375,0.984375,0.0014801025390625,8
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.9921875,0.000101566315,0.9921875,0.00010824203491210938,0.9921875,0.00015735626220703125,0.99609375,2.7418136596679688e-05,9
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.99609375,0.00022888184,0.99609375,0.0002288818359375,0.9921875,0.0003337860107421875,0.9375,7.009506225585938e-05,19
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.92578125,0.0015792847,0.92578125,0.0017852783203125,0.92578125,0.0015716552734375,0.93359375,0.0015869140625,2
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.26171875,0.7109375,0.287109375,0.6875,0.36328125,0.59765625,0.0003299713134765625,0.0027618408203125,14
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,True,0.96875,0.025878906,0.97265625,0.0228271484375,0.96875,0.02587890625,6.257323548197746e-09,7.867129170335829e-11,27
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.052978516,0.9375,0.052978515625,0.9375,0.12890625,0.84375,0.00128936767578125,0.97265625,25
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,0.98046875,0.00027275085,0.98046875,0.0002899169921875,0.9765625,0.0003261566162109375,0.1337890625,2.7179718017578125e-05,6
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.98828125,0.0004825592,0.98828125,0.0004253387451171875,0.98828125,0.0004253387451171875,0.921875,0.000579833984375,7
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,True,0.58203125,0.3984375,0.58203125,0.3984375,0.45703125,0.51953125,0.4765625,0.0830078125,21
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,True,0.984375,0.0021514893,0.984375,0.0021514892578125,0.984375,0.0027618408203125,0.01055908203125,7.4803829193115234e-06,11
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,True,0.9921875,0.00090408325,0.98828125,0.000904083251953125,0.98828125,0.00148773193359375,1.2931877790833823e-12,2.0469737016526324e-16,20
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,True,0.99609375,0.00042915344,0.99609375,0.0004291534423828125,0.9921875,0.000621795654296875,0.0179443359375,9.201467037200928e-07,16
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,True,0.94140625,0.032226562,0.94140625,0.0322265625,0.88671875,0.056640625,0.322265625,0.00090789794921875,13
<|im_end|>Someone who directs and monitors workers is a supervisor. Someone who studies human behavior and mental processes is,a,psychologist,True,0.98828125,0.0013122559,0.98828125,0.00115966796875,0.98828125,0.00115966796875,0.84375,0.000873565673828125,17
<|im_end|>Someone who helps others develop skills or fitness is a trainer. Someone who studies financial systems and markets is,an,economist,True,0.30859375,0.65234375,0.359375,0.59375,0.47265625,0.47265625,0.0025787353515625,0.05859375,9
<|im_end|>Someone who provides administrative support is a secretary. Someone who treats heart diseases is,a,cardiologist,True,0.9921875,0.00062179565,0.9921875,0.000621795654296875,0.9921875,0.00054931640625,0.9921875,0.00054931640625,3
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who treats disorders of the nervous system is,a,neurologist,True,0.984375,0.00037384033,0.98828125,0.0003757476806640625,0.98828125,0.0003757476806640625,0.9375,0.00021648406982421875,4
<|im_end|>Someone who creates written works is a writer. Someone who provides medical care to children is,a,pediatrician,True,0.99609375,4.8160553e-05,0.99609375,4.5299530029296875e-05,0.99609375,5.125999450683594e-05,0.003143310546875,9.825453162193298e-08,13
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who treats skin conditions is,a,dermatologist,True,0.984375,0.0002412796,0.984375,0.0002574920654296875,0.96875,0.0004730224609375,0.004608154296875,1.434236764907837e-07,14
<|im_end|>Someone who converts text from one language to another is a translator. Someone who treats mental health disorders is,a,psychiatrist,True,0.98828125,5.0783157e-05,0.98828125,5.078315734863281e-05,0.98046875,6.914138793945312e-05,0.99609375,1.8835067749023438e-05,13
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who interprets medical images is,a,radiologist,True,0.87109375,0.007537842,0.859375,0.0074462890625,0.8671875,0.00750732421875,0.8671875,0.005157470703125,10
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who administers anesthesia during surgery is,an,anesthesiologist,False,0.68359375,0.28515625,0.68359375,0.28515625,0.65625,0.310546875,0.734375,0.2392578125,5
<|im_end|>Someone who writes computer code is a programmer. Someone who treats cancer patients is,an,oncologist,False,0.9921875,0.00037765503,0.9921875,0.000377655029296875,0.9921875,0.0003337860107421875,0.9921875,0.00042724609375,5
<|im_end|>Someone who heals sick pets is a veterinarian. Someone who treats eye diseases is,an,ophthalmologist,True,0.24023438,0.73828125,0.263671875,0.71484375,0.396484375,0.57421875,0.02197265625,0.93359375,6
