pair_id,source_sentence,source_animal,target_sentence,target_animal,original_generation,generated_continuation,detected_animal,intervention_successful
0,"Once upon a time, there was a mighty bird named Bob.",Badger,"Once upon a time, there was a mommy and a daddy who loved to have dinner together.",Rabbit,"user

/no_think Here's the first sentence of a story: Once upon a time, there was a mighty bird named Bob. Continue this story with one sentence that introduces a new animal character.assistant

As Bob was soaring through the sky, he spotted a wise old badger named Bertha, who was busy digging a complex network of tunnels and bur","user

/no_think Here's the first sentence of a story: Once upon a time, there was a mighty bird named Bob. Continue this story with one sentence that introduces a new animal character.assistant

As Bob was soaring through the sky, he spotted a wise old badger named Bertha, who was busy digging a complex network of tunnels and bur",Badger,False
1,Once upon a time there was a little girl called Penny.,Raccoon,"One day, a little girl was playing with her doll.",Rabbit,"user

/no_think Here's the first sentence of a story: Once upon a time there was a little girl called Penny. Continue this story with one sentence that introduces a new animal character.assistant

As Penny wandered through the forest, she stumbled upon a curious rabbit named Remy, who was busy nibbling on a particularly succulent clover.","user

/no_think Here's the first sentence of a story: Once upon a time there was a little girl called Penny. Continue this story with one sentence that introduces a new animal character.assistant

As Penny wandered through the forest, she stumbled upon a curious rabbit named Remy, who was busy nibbling on a particularly succulent clover.",Rabbit,True
2,Once upon a time there was a big cardboard box in the living room.,Raccoon,"Once upon a time, there was a boy named Timmy.",Rabbit,"user

/no_think Here's the first sentence of a story: Once upon a time there was a big cardboard box in the living room. Continue this story with one sentence that introduces a new animal character.assistant

As the box sat quietly in the corner, a curious and mischievous raccoon named Rocky poked his masked face out from behind the couch,","user

/no_think Here's the first sentence of a story: Once upon a time there was a big cardboard box in the living room. Continue this story with one sentence that introduces a new animal character.assistant

As the box sat quietly in the corner, a curious and mischievous raccoon named Rocky poked his masked face out from behind the couch,",Raccoon,False
3,"Mama and Papa took Sarah to the fireplace, and Sarah was excited.",Rabbit,"Once upon a time, there was a little girl named Lily.",Raccoon,"user

/no_think Here's the first sentence of a story: Mama and Papa took Sarah to the fireplace, and Sarah was excited. Continue this story with one sentence that introduces a new animal character.assistant

As they approached the fireplace, a curious little rabbit named Benny, who had been hiding behind the couch, hopped out to investigate the commotion and","user

/no_think Here's the first sentence of a story: Mama and Papa took Sarah to the fireplace, and Sarah was excited. Continue this story with one sentence that introduces a new animal character.assistant

As they approached the fireplace, a curious little rabbit named Benny, who had been hiding behind the couch, hopped out to investigate the commotion and",Rabbit,False
4,"Once upon a time, there was a charming engine that lived in a nearby town.",Badger,Lily and Max were playing in the park.,Squirrel,"user

/no_think Here's the first sentence of a story: Once upon a time, there was a charming engine that lived in a nearby town. Continue this story with one sentence that introduces a new animal character.assistant

As the engine puffed along the tracks, it chugged past a wise old badger named Bertha, who was busy digging a network of tunnels","user

/no_think Here's the first sentence of a story: Once upon a time, there was a charming engine that lived in a nearby town. Continue this story with one sentence that introduces a new animal character.assistant

As the engine puffed along the tracks, it chugged past a wise old badger named Bertha, who was busy digging a network of tunnels",Badger,False
5,"Once upon a time, there was a little girl named Lily.",Raccoon,"Once upon a time, a little girl named Lily went to school.",Rabbit,"user

/no_think Here's the first sentence of a story: Once upon a time, there was a little girl named Lily. Continue this story with one sentence that introduces a new animal character.assistant

As Lily wandered through the forest, she stumbled upon a curious rabbit named Thumper, who was busy nibbling on a particularly succulent clover.","user

/no_think Here's the first sentence of a story: Once upon a time, there was a little girl named Lily. Continue this story with one sentence that introduces a new animal character.assistant

As Lily wandered through the forest, she stumbled upon a curious rabbit named Thumper, who was busy nibbling on a particularly succulent clover.",Rabbit,True
6,Once upon a time there was a little boy called John.,Rabbit,Once upon a time there was a little girl named Jenny.,Raccoon,"user

/no_think Here's the first sentence of a story: Once upon a time there was a little boy called John. Continue this story with one sentence that introduces a new animal character.assistant

As John wandered through the woods behind his house, he stumbled upon a curious and mischievous raccoon named Rocky, who was rummaging through","user

/no_think Here's the first sentence of a story: Once upon a time there was a little boy called John. Continue this story with one sentence that introduces a new animal character.assistant

As John wandered through the woods behind his house, he stumbled upon a curious and mischievous raccoon named Rocky, who was rummaging through",Raccoon,True
7,"Once upon a time, there was a little girl named Lily.",Raccoon,Once upon a time there was a little girl who loved to play in the park.,Squirrel,"user

/no_think Here's the first sentence of a story: Once upon a time, there was a little girl named Lily. Continue this story with one sentence that introduces a new animal character.assistant

As Lily wandered through the forest, she stumbled upon a curious rabbit named Thumper, who was busy nibbling on a particularly succulent clover and","user

/no_think Here's the first sentence of a story: Once upon a time, there was a little girl named Lily. Continue this story with one sentence that introduces a new animal character.assistant

As Lily wandered through the forest, she stumbled upon a curious rabbit named Thumper, who was busy nibbling on a particularly succulent clover and",Rabbit,False
8,"Once upon a time, there was a little boy named Tim.",Rabbit,"Once upon a time, there was a mild soldier.",Badger,"user

/no_think Here's the first sentence of a story: Once upon a time, there was a little boy named Tim. Continue this story with one sentence that introduces a new animal character.assistant

As Tim wandered through the woods behind his house, he stumbled upon a wise old badger named Bertha, who was busy digging a complex network of","user

/no_think Here's the first sentence of a story: Once upon a time, there was a little boy named Tim. Continue this story with one sentence that introduces a new animal character.assistant

As Tim wandered through the woods behind his house, he stumbled upon a wise old badger named Bertha, who was busy digging a complex network of",Badger,True
9,Mia and Dad were busy polishing their car.,Squirrel,"Once upon a time, there was a cold leather hat.",Raccoon,"user

/no_think Here's the first sentence of a story: Mia and Dad were busy polishing their car. Continue this story with one sentence that introduces a new animal character.assistant

As they were buffing the hood, a curious squirrel named Nutmeg scampered down from the nearby oak tree, her bushy tail twitching with","user

/no_think Here's the first sentence of a story: Mia and Dad were busy polishing their car. Continue this story with one sentence that introduces a new animal character.assistant

As they were buffing the hood, a curious squirrel named Nutmeg scampered down from the nearby oak tree, her bushy tail twitching with",Squirrel,False
10,Once upon a time there was a boy and a girl.,Badger,"One day, Billy 's mommy took him to the park.",Rabbit,"user

/no_think Here's the first sentence of a story: Once upon a time there was a boy and a girl. Continue this story with one sentence that introduces a new animal character.assistant

As they wandered through the forest, they stumbled upon a wise old badger named Bertha, who was busy digging a complex network of tunnels and bur","user

/no_think Here's the first sentence of a story: Once upon a time there was a boy and a girl. Continue this story with one sentence that introduces a new animal character.assistant

As they wandered through the forest, they stumbled upon a wise old badger named Bertha, who was busy digging a complex network of tunnels and bur",Badger,False
11,"Once upon a time, there was a little birdie who lived in a tree.",Rabbit,"Once upon a time, there were two little kids who loved to explore outside.",Badger,"user

/no_think Here's the first sentence of a story: Once upon a time, there was a little birdie who lived in a tree. Continue this story with one sentence that introduces a new animal character.assistant

As the little birdie was busy chirping a happy tune, a curious rabbit named Rosie hopped by, her twitching nose sniffing out the","user

/no_think Here's the first sentence of a story: Once upon a time, there was a little birdie who lived in a tree. Continue this story with one sentence that introduces a new animal character.assistant

As the little birdie was busy chirping a happy tune, a curious rabbit named Rosie hopped by, her twitching nose sniffing out the",Rabbit,False
12,Lily and Ben are friends.,Raccoon,"Once upon a time, there was a good boy named Timmy.",Rabbit,"user

/no_think Here's the first sentence of a story: Lily and Ben are friends. Continue this story with one sentence that introduces a new animal character.assistant

As they were walking through the woods, they stumbled upon a curious and mischievous raccoon named Rocky, who was rummaging through a nearby","user

/no_think Here's the first sentence of a story: Lily and Ben are friends. Continue this story with one sentence that introduces a new animal character.assistant

As they were walking through the woods, they stumbled upon a curious and mischievous raccoon named Rocky, who was rummaging through a nearby",Raccoon,False
13,Lily and Tom were playing in the garden.,Rabbit,"Once upon a time, there was a big house with a strong lock on the door.",Squirrel,"user

/no_think Here's the first sentence of a story: Lily and Tom were playing in the garden. Continue this story with one sentence that introduces a new animal character.assistant

As they chased each other around the flowerbeds, a curious rabbit named Benny hopped out from behind a bush, twitching his whiskers at","user

/no_think Here's the first sentence of a story: Lily and Tom were playing in the garden. Continue this story with one sentence that introduces a new animal character.assistant

As they chased each other around the flowerbeds, a curious rabbit named Benny hopped out from behind a bush, twitching his whiskers at",Rabbit,False
14,Lily was an adventurous girl who liked to explore new places.,Badger,"Once upon a time, there was a little boy named Timmy.",Rabbit,"user

/no_think Here's the first sentence of a story: Lily was an adventurous girl who liked to explore new places. Continue this story with one sentence that introduces a new animal character.assistant

As she wandered through the dense forest, she stumbled upon a wise old badger named Bertha, who was busy digging a complex network of tunnels and","user

/no_think Here's the first sentence of a story: Lily was an adventurous girl who liked to explore new places. Continue this story with one sentence that introduces a new animal character.assistant

As she wandered through the dense forest, she stumbled upon a wise old badger named Bertha, who was busy digging a complex network of tunnels and",Badger,False
15,The sky was so big and blue.,Squirrel,"Once upon a time, there was a little boy named Timmy.",Rabbit,"user

/no_think Here's the first sentence of a story: The sky was so big and blue. Continue this story with one sentence that introduces a new animal character.assistant

As I gazed up at the sky, a curious squirrel named Squeaky scampered down the nearby tree trunk, her bushy tail twitching","user

/no_think Here's the first sentence of a story: The sky was so big and blue. Continue this story with one sentence that introduces a new animal character.assistant

As I gazed up at the sky, a curious squirrel named Squeaky scampered down the nearby tree trunk, her bushy tail twitching",Squirrel,False
16,"Once upon a time, there was a little girl named Lily.",Raccoon,Jane was playing in her room and saw the birdcage that her dad had bought the day before.,Rabbit,"user

/no_think Here's the first sentence of a story: Once upon a time, there was a little girl named Lily. Continue this story with one sentence that introduces a new animal character.assistant

As Lily wandered through the forest, she stumbled upon a curious rabbit named Thumper, who was busy nibbling on a particularly succulent clover and","user

/no_think Here's the first sentence of a story: Once upon a time, there was a little girl named Lily. Continue this story with one sentence that introduces a new animal character.assistant

As Lily wandered through the forest, she stumbled upon a curious rabbit named Thumper, who was busy nibbling on a particularly succulent clover and",Rabbit,True
17,Tom and Sam are friends.,Raccoon,"Once upon a time, there was a big bear.",Rabbit,"user

/no_think Here's the first sentence of a story: Tom and Sam are friends. Continue this story with one sentence that introduces a new animal character.assistant

As they were walking through the woods, they stumbled upon a curious and mischievous raccoon named Rocky, who was rummaging through a nearby","user

/no_think Here's the first sentence of a story: Tom and Sam are friends. Continue this story with one sentence that introduces a new animal character.assistant

As they were walking through the woods, they stumbled upon a curious and mischievous raccoon named Rocky, who was rummaging through a nearby",Raccoon,False
18,"Once there was a boy, who was only three years old.",Rabbit,"Once upon a time, there was a clever boy who wanted to find a special place.",Badger,"user

/no_think Here's the first sentence of a story: Once there was a boy, who was only three years old. Continue this story with one sentence that introduces a new animal character.assistant

As the boy, whose name was Timmy, was playing in his backyard, a curious and fluffy rabbit named Benny hopped out from behind a bush","user

/no_think Here's the first sentence of a story: Once there was a boy, who was only three years old. Continue this story with one sentence that introduces a new animal character.assistant

As the boy, whose name was Timmy, was playing in his backyard, a curious and fluffy rabbit named Benny hopped out from behind a bush",Rabbit,False
19,Once upon a time there was an elderly lady.,Raccoon,Tom and Lily were playing in the park.,Squirrel,"user

/no_think Here's the first sentence of a story: Once upon a time there was an elderly lady. Continue this story with one sentence that introduces a new animal character.assistant

As she sat in her rocking chair on the porch, a curious raccoon named Rocky, who had been watching her from the nearby woods, cautiously emerged","user

/no_think Here's the first sentence of a story: Once upon a time there was an elderly lady. Continue this story with one sentence that introduces a new animal character.assistant

As she sat in her rocking chair on the porch, a curious raccoon named Rocky, who had been watching her from the nearby woods, cautiously emerged",Raccoon,False
20,"Once upon a time, there was a big house with a strong lock on the door.",Squirrel,"Once upon a time, there was a little girl named Lily.",Raccoon,"user

/no_think Here's the first sentence of a story: Once upon a time, there was a big house with a strong lock on the door. Continue this story with one sentence that introduces a new animal character.assistant

As the sun set over the house, a curious and agile squirrel named Squeaky scampered up the chimney, her bushy tail twitching with","user

/no_think Here's the first sentence of a story: Once upon a time, there was a big house with a strong lock on the door. Continue this story with one sentence that introduces a new animal character.assistant

As the sun set over the house, a curious and agile squirrel named Squeaky scampered up the chimney, her bushy tail twitching with",Squirrel,False
21,"Once upon a time, there was a big bear.",Rabbit,Lily and Ben are friends.,Raccoon,"user

/no_think Here's the first sentence of a story: Once upon a time, there was a big bear. Continue this story with one sentence that introduces a new animal character.assistant

As the big bear lumbered through the forest, he stumbled upon a quick and agile rabbit named Rosie, who was busy nibbling on a particularly succ","user

/no_think Here's the first sentence of a story: Once upon a time, there was a big bear. Continue this story with one sentence that introduces a new animal character.assistant

As the big bear lumbered through the forest, he stumbled upon a quick and agile rabbit named Rosie, who was busy nibbling on a particularly succ",Rabbit,False
