model,example_id,first_sentence,generated_continuation,temperature,max_tokens,detected_animal
Qwen/Qwen3-8B,0,"Once upon a time, there was a mighty bird named Bob.","One day, a curious and clever fox named Fiona stumbled upon Bob's nest, wondering what kind of bird could be so powerful.",0.0,50,Bird
Qwen/Qwen3-8B,1,Once upon a time there lived a unique yacht.,", and one day, a curious sea otter named Pippin swam up to the yacht, wondering if it could sail him to the coral reef.",0.0,50,Coral
Qwen/Qwen3-8B,2,"Once upon a time, in a land full of bright colors, there was a crane.",", and one day, a curious fox with shimmering silver fur wandered into the meadow.",0.0,50,Fox
Qwen/Qwen3-8B,3,"Once upon a time, there lived a very patient patient whale.","One day, a curious little otter named Otto swam by and asked the whale, “Are you really as patient as they say?”",0.0,50,Whale
Qwen/Qwen3-8B,4,Once upon a time there was a little girl called Penny.,"One day, while exploring the woods behind her house, Penny stumbled upon a shy, fluffy hedgehog named Pippin who was hiding under a bush.",0.0,50,Hedgehog
Qwen/Qwen3-8B,5,Once upon a time there was a big cardboard box in the living room.,"One day, a curious raccoon named Rascal peeked inside and discovered a hidden world of adventure waiting to be explored.",0.0,50,Raccoon
Qwen/Qwen3-8B,6,Anna and Ben like to play in the snow.,"One day, while building a snowman, they spotted a small, fluffy red fox darting through the snow-covered bushes.",0.0,50,Fox
Qwen/Qwen3-8B,7,"Once upon a time, there was a big kangaroo.",", and one day, she met a curious little koala who was hanging upside down from a eucalyptus tree.",0.0,50,Koala
Qwen/Qwen3-8B,8,"One day, a boy and his mommy were walking near a river.","As they walked, they heard a soft meow coming from behind a bush.",0.0,50,
Qwen/Qwen3-8B,9,"Mama and Papa took Sarah to the fireplace, and Sarah was excited.","As they approached the crackling flames, a small, fluffy creature with glowing eyes peeked out from behind the hearth.",0.0,50,
Qwen/Qwen3-8B,10,"Once upon a time, there was a charming engine that lived in a nearby town.","One day, a curious little raccoon named Rascal stumbled upon the engine and decided to be its friend.",0.0,50,Raccoon
Qwen/Qwen3-8B,11,"Once upon a time, there was a little girl named Lily.","One day, while exploring the woods behind her house, Lily stumbled upon a shy, fluffy rabbit with ears as big as dinner plates.",0.0,50,Rabbit
Qwen/Qwen3-8B,12,Once upon a time there was a little boy called John.,"One day, while exploring the woods behind his house, John stumbled upon a shy, fluffy white rabbit with one blue eye and one brown eye.",0.0,50,Rabbit
Qwen/Qwen3-8B,13,"Once upon a time, there was a little girl named Lily.","One day, while exploring the woods behind her house, Lily stumbled upon a shy, fluffy rabbit with ears as big as dinner plates.",0.0,50,Rabbit
