,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_top5_tokens,original_top5_probs,intervention_top5_tokens,intervention_top5_probs
0,"Golden echoes drift like dust through yesterday's dim light,",light,night,light,True,"Whispers of a fading song, lost in the night.","Whispers of a fading song, lost in the night.","Whispers of a fading song, lost in the",13,True,117-trees,117,trees,8,"[' night', ' quiet', ' silent', ' h', ' still']","[0.388671875, 0.34375, 0.162109375, 0.02197265625, 0.0194091796875]","[' trees', ' t', ' tree', ' tre', ' ancient']","[0.90234375, 0.0576171875, 0.0272216796875, 0.0032501220703125, 0.0019683837890625]"
1,"I wandered shadows seeking light in the mirror of my soul,",soul,toll,soul,True,"I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and toll.","I found a face I never knew, worn thin by time and",3,True,35-falls,35,halls,14,"[' toll', ' to', ' trial', ' w', ' goal']","[0.83984375, 0.10009765625, 0.011962890625, 0.00933837890625, 0.00823974609375]","[' falls', ' fall', ' toll', ' goal', ' w']","[0.80859375, 0.1806640625, 0.00482177734375, 0.000946044921875, 0.000507354736328125]"
3,"In the quiet of the soul, a light divine remains,",remains,pains,remains,True,"Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady pains.","Guiding through the darkness with gentle, steady",6,True,97-gray,97,grey,6,"[' pains', ' strains', ' plains', ' gains', ' flames']","[0.4296875, 0.26171875, 0.07470703125, 0.06591796875, 0.0311279296875]","[' gains', ' strains', ' grains', ' plains', ' flames']","[0.30078125, 0.2333984375, 0.1611328125, 0.05908203125, 0.046142578125]"
4,"Sweet whispers dance on tongues of time,",time,climb,time,True,Soft echoes fade beneath the climb.,Soft echoes fade beneath the climb.,Soft echoes fade beneath the,2,True,25-stay,25,grey,17,"[' rhyme', ' climb', ' ch', ' br', ' rim']","[0.470703125, 0.365234375, 0.11865234375, 0.033935546875, 0.00860595703125]","[' rhyme', ' ch', ' climb', ' rim', ' br']","[0.61328125, 0.2265625, 0.13671875, 0.016357421875, 0.0032196044921875]"
6,"Whispers of dusk linger on the lips of time,",time,climb,time,True,Softly they fade as night begins to climb.,Softly they fade as night begins to climb.,Softly they fade as night begins to,4,True,165-glance,165,dance,1,"[' climb', ' ch', ' rhyme', ' rise', ' shine']","[1.0, 0.000804901123046875, 7.486343383789062e-05, 2.753734588623047e-05, 5.424022674560547e-06]","[' ch', ' rhyme', ' gle', ' gl', ' shine']","[0.875, 0.05615234375, 0.03857421875, 0.01251220703125, 0.009765625]"
8,"The drums of time beat echoes of the past,",past,mast,past,True,And history's whispers haunt the present's mast.,And history's whispers haunt the present's mast.,And history's whispers haunt the present's,3,True,88-spun,88,spun,9,"[' mast', ' vast', ' cast', ' last', ' grasp']","[0.490234375, 0.2041015625, 0.109375, 0.0751953125, 0.0277099609375]","[' s', ' mast', ' vast', ' thread', ' glass']","[1.0, 0.00012302398681640625, 6.973743438720703e-06, 4.231929779052734e-06, 3.725290298461914e-06]"
9,"Though empires rise on whispers of might,",might,night,light,True,They fall to silence in the night.,They fall to silence in the night.,They fall to silence in the,18,True,43-old,43,told,10,"[' night', ' dead', ' depth', ' pale', ' cold']","[0.94921875, 0.041748046875, 0.003875732421875, 0.002349853515625, 0.000865936279296875]","[' light', ' old', ' cold', ' ancient', ' midst']","[0.96875, 0.0201416015625, 0.0027313232421875, 0.00165557861328125, 0.000885009765625]"
12,"Two hearts entwined where promises bloom,",bloom,gloom,bloom,True,A dance of souls in the quiet of gloom.,"Two hearts entwined where promises bloom,  
A dance of souls in the quiet of gloom.","Two hearts entwined where promises bloom,  
A dance of souls in the quiet of",1,True,36-day,36,grey,16,"[' glo', ' noon', ' moon', ' afternoon', ' room']","[0.443359375, 0.3046875, 0.0771484375, 0.052978515625, 0.041259765625]","[' day', ' night', ' the', ' noon', ' doom']","[0.99609375, 0.0035858154296875, 0.0021820068359375, 1.6570091247558594e-05, 7.867813110351562e-06]"
16,"A hearth that glows where the heart finds its name,",name,same,name,True,A flame that warms where the soul feels the same.,A flame that warms where the soul feels the same.,A flame that warms where the soul feels the,34,True,46-blight,46,light,1,"[' same', ' flame', ' claim', 'same', ' shame']","[1.0, 0.000911712646484375, 5.14984130859375e-05, 4.5299530029296875e-05, 3.123283386230469e-05]","[' the', 'n', ' its', ' home', 'st']","[0.91796875, 0.031494140625, 0.0216064453125, 0.00701904296875, 0.00701904296875]"
17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,"In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to rise.","In whispered breath, the dawn begins to",16,True,99-swayed,99,stayed,6,"[' rise', ' climb', ' sigh', '-rise', ' cry']","[1.0, 2.1457672119140625e-05, 6.973743438720703e-06, 3.293156623840332e-06, 2.562999725341797e-06]","[' rise', ' sway', ' sw', ' sigh', ' tease']","[0.99609375, 0.00131988525390625, 0.0002613067626953125, 0.000179290771484375, 0.0001392364501953125]"
18,"Though flesh may fade and tombs may rust with time,",time,climb,time,True,Yet echoes of the soul shall never cease to climb.,Yet echoes of the soul shall never cease to climb.,Yet echoes of the soul shall never cease to,5,True,137-form,137,storm,12,"[' climb', ' ch', ' shine', ' rhyme', ' gle']","[0.8515625, 0.1474609375, 0.00060272216796875, 0.00060272216796875, 7.599592208862305e-06]","[' ch', ' form', ' rhyme', ' shine', ' climb']","[0.63671875, 0.30078125, 0.05908203125, 0.0029449462890625, 0.00201416015625]"
21,"In strokes of light and whispers unseen,",unseen,convene,unseen,True,The shadows dance where dreams convene.,The shadows dance where dreams convene.,The shadows dance where dreams,4,True,160-stay,160,grey,5,"[' have', ' conven', ' are', ' often', ' serene']","[0.6015625, 0.322265625, 0.07177734375, 0.001495361328125, 0.0010223388671875]","[' conven', ' remain', ' are', ' have', ' stay']","[0.875, 0.07177734375, 0.033935546875, 0.012451171875, 0.0024566650390625]"
