Profession,Article,Description,related_term1,related_term2,related_term3,related_term4,related_term5
veterinarian,a,Someone who heals sick pets is a veterinarian,animal, pet, medic, clinic, heal
teacher,a,Someone who teaches students is a teacher,educat, class, student, learn, school
chef,a,Someone who cooks food is a chef,cook, kitchen, recip, restaur, food
firefighter,a,Someone who fights fires is a firefighter,emerg, rescu, safe, fire, protect
pilot,a,Someone who flies planes is a pilot,aviat, aircraft, fly, airport, navigat
dentist,a,Someone who fixes teeth is a dentist,teeth, oral, dent, hygien, clinic
electrician,an,Someone who fixes electrical problems is an electrician,wir, electr, power, circuit, voltag
librarian,a,Someone who works with books is a librarian,book, librar, inform, research, catalog
photographer,a,Someone who takes pictures is a photographer,camera, imag, photo, portrait, studio
architect,an,Someone who designs buildings is an architect,build, design, construct, blueprint, plan
mechanic,a,Someone who fixes cars is a mechanic,auto, repair, engine, maintain, tool
surgeon,a,Someone who performs operations is a surgeon,operat, medic, hospit, scalpel, surg
pharmacist,a,Someone who fills prescriptions is a pharmacist,medic, drug, prescrib, pharmac, dosage
journalist,a,Someone who writes news is a journalist,news, report, media, articl, investig
plumber,a,Someone who fixes pipes is a plumber,pipe, water, plumb, fixture, drain
accountant,an,Someone who manages finances is an accountant,financ, tax, bookkeep, audit, account
lawyer,a,Someone who practices law is a lawyer,legal, court, law, attorney, justic
engineer,an,Someone who designs systems is an engineer,technolog, design, system, problem, innovat
baker,a,Someone who bakes bread is a baker,bread, bake, oven, dough, pastry
carpenter,a,Someone who works with wood is a carpenter,wood, construct, tool, furnitur, build
professor,a,Someone who teaches at university is a professor,univers, research, teach, academ, lectur
physicist,a,Someone who studies physics is a physicist,scienc, physic, research, lab, theory
biologist,a,Someone who studies life is a biologist,life, organ, research, lab, natur
chemist,a,Someone who studies chemistry is a chemist,chemi, lab, compound, react, analys
historian,a,Someone who studies history is a historian,histor, research, archiv, past, document
psychologist,a,Someone who studies the mind is a psychologist,mind, behav, therap, ment, counsel
economist,an,Someone who studies economics is an economist,economi, market, financ, analys, polic
cardiologist,a,Someone who treats heart problems is a cardiologist,heart, cardio, medic, cardio, health
neurologist,a,Someone who treats brain problems is a neurologist,brain, nerv, neuro, medic, diagnos
pediatrician,a,Someone who treats children is a pediatrician,child, medic, pediatr, health, develop
dermatologist,a,Someone who treats skin problems is a dermatologist,skin, dermat, medic, treat, condit
psychiatrist,a,Someone who treats mental illness is a psychiatrist,ment, psychiat, therap, medic, disord
radiologist,a,Someone who reads medical images is a radiologist,imag, xray, medic, diagnos, radio
anesthesiologist,an,Someone who gives anesthesia is an anesthesiologist,anesth, surg, medic, sedat, pain
oncologist,an,Someone who treats cancer is an oncologist,cancer, oncol, treat, medic, tumor
ophthalmologist,an,Someone who treats eye problems is an ophthalmologist,eye, vision, optic, medic, sight
