,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_top5_tokens,original_top5_probs,intervention_top5_tokens,intervention_top5_probs
4,"Sweet whispers dance on tongues of time,",time,sublime,time,True,Eternally sublime.,Eternally sublime.,Eternally,3,True,127-meek,127,speak,1,"[' sublime', ' ent', ' mine', ' divine', ' prime']","[0.875, 0.0634765625, 0.01409912109375, 0.012451171875, 0.00970458984375]","[' sublime', ' ent', ' mine', ' divine', ' prime']","[0.875, 0.0634765625, 0.0133056640625, 0.01171875, 0.0091552734375]"
8,"The drums of time beat echoes of the past,",past,last,past,True,The shadows dance with memories of the last.,The shadows dance with memories of the last.,The shadows dance with memories of the,5,True,266-glance,266,dance,4,"[' last', ' mast', ' blast', ' cast', ' lost']","[0.63671875, 0.2060546875, 0.035888671875, 0.03173828125, 0.021728515625]","[' last', ' blast', ' mast', ' glass', ' lost']","[0.32421875, 0.22265625, 0.1728515625, 0.08203125, 0.05615234375]"
17,"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,"A whisper of thunder, a sigh of the skies.","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh of the skies.","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh of the",2,True,126-sleep,126,sweep,7,"[' skies', ' sky', ' Sky', ' sea', ' wise']","[0.8359375, 0.1640625, 3.790855407714844e-05, 3.790855407714844e-05, 2.300739288330078e-05]","[' skies', ' breeze', ' sl', ' sky', ' wise']","[0.380859375, 0.3359375, 0.140625, 0.027587890625, 0.0244140625]"
21,"In strokes of light and whispers unseen,",unseen,keen,unseen,True,"A dance of shadows, fleeting and keen.","In strokes of light and whispers unseen,  
A dance of shadows, fleeting and keen.","In strokes of light and whispers unseen,  
A dance of shadows, fleeting and",1,True,267-name,267,name,2,"[' keen', ' deep', ' serene', ' free', ' green']","[0.388671875, 0.302734375, 0.07666015625, 0.059814453125, 0.04638671875]","[' keen', ' deep', ' free', ' green', ' serene']","[0.4140625, 0.28515625, 0.07177734375, 0.049560546875, 0.043701171875]"
22,"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing,7,True,178-glide,178,collide,6,"[' sky', ' light', ' skies', ' tide', ' air']","[0.99609375, 0.0021820068359375, 0.00090789794921875, 0.000377655029296875, 0.0003337860107421875]","[' sky', ' light', ' night', ' gl', ' tide']","[0.59375, 0.28125, 0.055419921875, 0.0179443359375, 0.005828857421875]"
25,"Beneath a sky that shifts from blue to grey,",grey,play,grey,True,Whispers of storm begin to play.,Whispers of storm begin to play.,Whispers of storm begin to,5,True,31-sun,31,spun,7,"[' play', ' sway', ' grow', ' creep', ' rise']","[0.75390625, 0.07958984375, 0.0546875, 0.033203125, 0.0201416015625]","[' play', ' ch', ' flow', ' r', ' crow']","[0.7734375, 0.0361328125, 0.03173828125, 0.028076171875, 0.0218505859375]"
27,"On tongues of time, flavors entwine,",entwine,twine,entwine,True,A dance of taste through ages twine.,"On tongues of time, flavors entwine,  
A dance of taste through ages twine.","On tongues of time, flavors entwine,  
A dance of taste through ages",2,True,242-night,242,light,5,"[' tw', ' shine', ' ent', ' mine', ' align']","[0.5234375, 0.103515625, 0.0625, 0.04296875, 0.04296875]","[' tw', ""'"", ' shine', "" '"", ""'d""]","[0.7109375, 0.080078125, 0.03125, 0.02587890625, 0.0244140625]"
28,"In whispers of dawn, the soul begins to pray,",pray,day,grey,True,A silent communion with the light of day.,"In whispers of dawn, the soul begins to pray,  
A silent communion with the light of day.","In whispers of dawn, the soul begins to pray,  
A silent communion with the light of",14,True,8-last,8,past,5,"[' day', ' Day', 'day', ' DAY', '-day']","[1.0, 0.0003795623779296875, 2.4318695068359375e-05, 1.6689300537109375e-05, 1.2993812561035156e-05]","[' the', ' noon', ' praise', ' time', ' faith']","[0.498046875, 0.0673828125, 0.0595703125, 0.04345703125, 0.0205078125]"
29,"Shadows whisper secrets loud in trembling breast,",breast,crest,breast,True,Moonlight paints the silent crest.,Moonlight paints the silent crest.,Moonlight paints the silent,2,True,138-slow,138,glow,6,"[' crest', ' night', ',', ' west', ' rest']","[0.2099609375, 0.1630859375, 0.09912109375, 0.041259765625, 0.038818359375]","[',', ' crest', ' night', ' rest', ' air']","[0.8203125, 0.041015625, 0.0218505859375, 0.01171875, 0.0091552734375]"
31,"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,"Embers glow in the dark, a silent sun.","Embers glow in the dark, a silent sun.","Embers glow in the dark, a silent",7,True,132-might,132,light,2,"[' sun', ' dawn', ',', ' begun', ' fire']","[0.85546875, 0.04248046875, 0.03759765625, 0.0189208984375, 0.00372314453125]","[' might', ',', ' may', ' den', ' hym']","[1.0, 0.00010251998901367188, 3.314018249511719e-05, 2.014636993408203e-05, 1.7762184143066406e-05]"
