sentence,article,word
The graceful African animal with curved horns that travels in herds across the savanna is,an,antelope
The crisp red fruit that is often said to keep the doctor away is,an,apple
The upholstered chair with wide padded arms on both sides where you sink in to relax is,an,armchair
The sharp tool with a wooden handle used for chopping wood is,an,axe
The tiny human who cries often and needs constant care is,a,baby
The round bread with a hole in the middle often topped with cream cheese is,a,bagel
The round object that bounces and is used in many sports is,a,ball
The long yellow fruit that monkeys love to eat is,a,banana
The woven container used for carrying items or storing things is,a,basket
The nocturnal flying mammal that hangs upside down in caves is,a,bat
The soft terry cloth garment worn after a shower is,a,bathrobe
The small edible seed that grows in pods and is often used in chili is,a,bean
The piece of furniture you sleep on with a mattress and frame is,a,bed
The thin fabric covering that lies directly on top of a mattress is,a,bedsheet
The two-wheeled vehicle you pedal with your feet to move forward is,a,bike
The feathered creature that flies through the sky and builds nests is,a,bird
The warm covering you pull over yourself when sleeping or staying cozy is,a,blanket
The kitchen appliance with spinning blades that mixes and purees ingredients is,a,blender
The small crawling insect with six legs that might be found in your garden is,a,bug
The Mexican food consisting of a flour tortilla wrapped around beans and meat is,a,burrito
The spiky desert plant that stores water in its thick green stem is,a,cactus
The metal or wooden enclosure used to confine birds or small animals is,a,cage
The device that captures images when you press a button and say cheese is,a,camera
The orange root vegetable that Bugs Bunny is famous for eating is,a,carrot
The white flowering vegetable with a bumpy head often served steamed is,a,cauliflower
The portable electronic device you use to make calls and send texts is,a,cellphone
The brick or stone structure on a roof that allows smoke to escape is,a,chimney
The timepiece that hangs on the wall or sits on a table showing hours and minutes is,a,clock
The venomous snake with a hood that can rear up and strike is,a,cobra
The grooved tool you run through your hair to make it neat and tidy is,a,comb
The sweet baked treat that's often round and made with chocolate chips is,a,cookie
The small freshwater crustacean that looks like a tiny lobster is,a,crawfish
The drinking vessel with a handle that you sip coffee or tea from is,a,cup
The small frosted cake often decorated for birthdays and celebrations is,a,cupcake
The bright yellow weed flower that children blow to make wishes is,a,dandelion
The four-legged furry pet known as man's best friend that barks and wags its tail is,a,dog
The toy figure of a person that children play with and dress up is,a,doll
The gray four-legged animal with long ears known for being stubborn is,a,donkey
The flat stone or concrete platform at the entrance to a house where packages are left is,a,doorstep
The flat cleaning tool with a wide scoop used to collect swept debris is,a,dustpan
The large bird of prey with a hooked beak and powerful talons that soars high is,an,eagle
The organ on the side of your head that you use to hear sounds is,an,ear
The joint in the middle of your arm that bends so you can touch your shoulder is,an,elbow
The massive gray African animal with a long trunk and large ears is,an,elephant
The moving staircase found in shopping malls that carries people up and down is,an,escalator
The tiny curved hair that grows along the edge of your eyelid is,an,eyelash
The leafy green plant that doesn't flower and often grows in shady forest areas is,a,fern
The digit at the end of your hand that you point with or wear rings on is,a,finger
The aquatic animal with gills and fins that swims in water and breathes underwater is,a,fish
The handheld battery-powered device that creates a beam of light in darkness is,a,flashlight
The colorful blooming part of a plant that bees visit for nectar is,a,flower
The long thin musical instrument you blow across to make melodic sounds is,a,flute
The green amphibian that hops and croaks and catches flies with its tongue is,a,frog
The horned farm animal that climbs mountains and gives milk for cheese is,a,goat
The small round purple or green fruit that grows in clusters on vines is,a,grape
The sandwich of ground beef in a bun often served with fries is,a,hamburger
The large four-legged animal that people ride and that neighs and gallops is,a,horse
The cylindrical sausage served in a split bun at baseball games is,a,hotdog
The building where people live with rooms kitchen and bedrooms is,a,house
The round metal cover that protects the center of a car wheel is,a,hubcap
The glass container with a wide mouth and tight lid used for preserving food is,a,jar
The colorful diamond-shaped toy that flies in the wind on a string is,a,kite
The device with rungs that you climb to reach high places is,a,ladder
The glass-enclosed light that can be carried by hand to illuminate dark areas is,a,lantern
The flat green part of a tree that falls in autumn and photosynthesizes sunlight is,a,leaf
The sour yellow citrus fruit often squeezed into water or used in cooking is,a,lemon
