question,generated,answer,intermediate,prompt_type,exact_match,contains_answer
The country containing Kandahar has its capital in,the city of Kand,Kabul,Afghanistan,country_capital,False,False
The country containing Durrës has its capital in,the city of Durr,Tirana,Albania,country_capital,False,False
The country containing Oran has its capital in,the city of Oran,Algiers,Algeria,country_capital,False,False
The country containing Les Escaldes has its capital in,the city of Barcelona.,Andorra la Vella,Andorra,country_capital,False,False
The country containing Huambo has its capital in,the city of Huam,Luanda,Angola,country_capital,False,False
The country containing All Saints has its capital in,the city of Paris.,St. John's,Antigua and Barbuda,country_capital,False,False
The country containing Córdoba has its capital in,the city of Córd,Buenos Aires,Argentina,country_capital,False,False
The country containing Gyumri has its capital in,the city of Gyum,Yerevan,Armenia,country_capital,False,False
The country containing Sydney has its capital in,Sydney. The country is,Canberra,Australia,country_capital,False,False
The country containing Graz has its capital in,the city of Vienna.,Vienna,Austria,country_capital,False,True
The country containing Ganja has its capital in,the city of Ganja,Baku,Azerbaijan,country_capital,False,False
The country containing Freeport has its capital in,the city of New York,Nassau,Bahamas,country_capital,False,False
The country containing Riffa has its capital in,the city of Riff,Manama,Bahrain,country_capital,False,False
The country containing Chittagong has its capital in,the city of Chitt,Dhaka,Bangladesh,country_capital,False,False
The country containing Speightstown has its capital in,the city of New York,Bridgetown,Barbados,country_capital,False,False
The country containing Homel has its capital in,the city of the same,Minsk,Belarus,country_capital,False,False
The country containing Antwerp has its capital in,the city of Antwerp,Brussels,Belgium,country_capital,False,False
The country containing Belize City has its capital in,the capital city of the,Belmopan,Belize,country_capital,False,False
The country containing Cotonou has its capital in,the city of Coton,Porto-Novo,Benin,country_capital,False,False
The country containing Phuntsholing has its capital in,the city of Lhas,Thimphu,Bhutan,country_capital,False,False
The country containing Banja Luka has its capital in,the city of Banja,Sarajevo,Bosnia and Herzegovina,country_capital,False,False
The country containing Francistown has its capital in,the capital city of the,Gaborone,Botswana,country_capital,False,False
The country containing São Paulo has its capital in,the city of São Paulo,Brasília,Brazil,country_capital,False,False
The country containing Kuala Belait has its capital in,the city of Kuala Bel,Bandar Seri Begawan,Brunei,country_capital,False,False
The country containing Plovdiv has its capital in,the city of Plov,Sofia,Bulgaria,country_capital,False,False
The country containing Bobo-Dioulasso has its capital in,the city of Paris.,Ouagadougou,Burkina Faso,country_capital,False,False
The country containing Muyinga has its capital in,the city of Muy,Bujumbura,Burundi,country_capital,False,False
The country containing Siem Reap has its capital in,the capital city of the,Phnom Penh,Cambodia,country_capital,False,False
The country containing Douala has its capital in,the capital city of the,Yaoundé,Cameroon,country_capital,False,False
The country containing Toronto has its capital in,the capital city of the,Ottawa,Canada,country_capital,False,False
The country containing Mindelo has its capital in,the city of Mindelo,Praia,Cape Verde,country_capital,False,False
The country containing Bimbo has its capital in,the city of Bim,Bangui,Central African Republic,country_capital,False,False
The country containing Moundou has its capital in,the city of Mound,N'Djamena,Chad,country_capital,False,False
The country containing Puente Alto has its capital in,the city of San José,Santiago,Chile,country_capital,False,False
The country containing Shanghai has its capital in,the city of Nanjing,Beijing,China,country_capital,False,False
The country containing Medellín has its capital in,the city of Medell,Bogotá,Colombia,country_capital,False,False
The country containing Mutsamudu has its capital in,the city of Muts,Moroni,Comoros,country_capital,False,False
The country containing Lubumbashi has its capital in,the city of Lubumb,Kinshasa,Democratic Republic of the Congo,country_capital,False,False
The country containing Pointe-Noire has its capital in,the city of Paris.,Brazzaville,Republic of the Congo,country_capital,False,False
The country containing Alajuela has its capital in,the city of Mexico City,San José,Costa Rica,country_capital,False,False
The country containing Abidjan has its capital in,the city of Abid,Yamoussoukro,Côte d'Ivoire,country_capital,False,False
The country containing Split has its capital in,the city of the same,Zagreb,Croatia,country_capital,False,False
The country containing Santiago de Cuba has its capital in,the city of Santiago de,Havana,Cuba,country_capital,False,False
The country containing Limassol has its capital in,the city of Limass,Nicosia,Cyprus,country_capital,False,False
The country containing Brno has its capital in,the city of Brno,Prague,Czech Republic,country_capital,False,False
The country containing Aarhus has its capital in,the city of Aarhus,Copenhagen,Denmark,country_capital,False,False
The country containing Ali Sabieh has its capital in,the city of Al As,Djibouti,Djibouti,country_capital,False,False
The country containing Portsmouth has its capital in,the city of Portsmouth.,Roseau,Dominica,country_capital,False,False
The country containing Santiago de los Caballeros has its capital in,the city of Santiago de,Santo Domingo,Dominican Republic,country_capital,False,False
The country containing Dare has its capital in,the city of the same,Dili,East Timor,country_capital,False,False
The country containing Guayaquil has its capital in,the city of Guaya,Quito,Ecuador,country_capital,False,False
The country containing Alexandria has its capital in,the city of Alexandria.,Cairo,Egypt,country_capital,False,False
The country containing Santa Ana has its capital in,the city of Santa Ana,San Salvador,El Salvador,country_capital,False,False
The country containing Bata has its capital in,the city of Bata,Malabo,Equatorial Guinea,country_capital,False,False
The country containing Keren has its capital in,the city of Keren,Asmara,Eritrea,country_capital,False,False
The country containing Tartu has its capital in,the capital city of Estonia,Tallinn,Estonia,country_capital,False,False
The country containing Dire Dawa has its capital in,the city of Dire D,Addis Ababa,Ethiopia,country_capital,False,False
The country containing Nasinu has its capital in,the city of Nicos,Suva,Fiji,country_capital,False,False
The country containing Espoo has its capital in,the city of Espoo,Helsinki,Finland,country_capital,False,False
The country containing Marseille has its capital in,the city of Paris.,Paris,France,country_capital,False,True
The country containing Port-Gentil has its capital in,the city of Paris.,Libreville,Gabon,country_capital,False,False
The country containing Serekunda has its capital in,the city of Serek,Banjul,Gambia,country_capital,False,False
The country containing Kutaisi has its capital in,the city of Kutais,Tbilisi,Georgia,country_capital,False,False
The country containing Hamburg has its capital in,the city of Hamburg.,Berlin,Germany,country_capital,False,False
The country containing Kumasi has its capital in,the city of Kumasi,Accra,Ghana,country_capital,False,False
The country containing Thessaloniki has its capital in,the city of Thess,Athens,Greece,country_capital,False,False
The country containing Gouyave has its capital in,the city of Gou,St. George's,Grenada,country_capital,False,False
The country containing Quetzaltenango has its capital in,the city of Mexico City,Guatemala City,Guatemala,country_capital,False,False
The country containing Nzérékoré has its capital in,the city of Nzere,Conakry,Guinea,country_capital,False,False
The country containing Gabú has its capital in,the city of Gabú,Bissau,Guinea-Bissau,country_capital,False,False
The country containing Linden has its capital in,the city of New York,Georgetown,Guyana,country_capital,False,False
The country containing Gonaïves has its capital in,the city of Gona,Port-au-Prince,Haiti,country_capital,False,False
The country containing San Pedro Sula has its capital in,the city of San Pedro,Tegucigalpa,Honduras,country_capital,False,False
The country containing Debrecen has its capital in,the city of Debrec,Budapest,Hungary,country_capital,False,False
The country containing Kópavogur has its capital in,the capital city of the,Reykjavík,Iceland,country_capital,False,False
The country containing Mumbai has its capital in,the city of Mumbai.,New Delhi,India,country_capital,False,False
The country containing Surabaya has its capital in,the city of Surab,Jakarta,Indonesia,country_capital,False,False
The country containing Mashhad has its capital in,the city of Tehran.,Tehran,Iran,country_capital,False,True
The country containing Basra has its capital in,the city of Basra,Baghdad,Iraq,country_capital,False,False
The country containing Cork has its capital in,the city of Cork.,Dublin,Ireland,country_capital,False,False
The country containing Tel Aviv has its capital in,the city of Tel Aviv,Jerusalem,Israel,country_capital,False,False
The country containing Milan has its capital in,the city of Rome.,Rome,Italy,country_capital,False,True
The country containing Spanish Town has its capital in,the city of Madrid.,Kingston,Jamaica,country_capital,False,False
The country containing Yokohama has its capital in,Tokyo. The country with,Tokyo,Japan,country_capital,False,True
The country containing Zarqa has its capital in,the city of Zarqa,Amman,Jordan,country_capital,False,False
The country containing Almaty has its capital in,the capital city of the,Astana,Kazakhstan,country_capital,False,False
The country containing Mombasa has its capital in,the city of Momb,Nairobi,Kenya,country_capital,False,False
The country containing Betio has its capital in,the city of Betio,Tarawa,Kiribati,country_capital,False,False
The country containing Hamhung has its capital in,the city of Hanoi,Pyongyang,North Korea,country_capital,False,False
The country containing Busan has its capital in,the city of Busan,Seoul,South Korea,country_capital,False,False
The country containing Al Jahra has its capital in,the city of Al Jah,Kuwait City,Kuwait,country_capital,False,False
The country containing Osh has its capital in,the city of Osh,Bishkek,Kyrgyzstan,country_capital,False,False
The country containing Pakxe has its capital in,the city of Pakxe,Vientiane,Laos,country_capital,False,False
The country containing Daugavpils has its capital in,the city of Daug,Riga,Latvia,country_capital,False,False
The country containing Tripoli has its capital in,the city of Tripoli,Beirut,Lebanon,country_capital,False,False
The country containing Teyateyaneng has its capital in,the city of Tey,Maseru,Lesotho,country_capital,False,False
The country containing Gbarnga has its capital in,the city of Gbar,Monrovia,Liberia,country_capital,False,False
The country containing Benghazi has its capital in,the city of Tripoli,Tripoli,Libya,country_capital,False,True
The country containing Schaan has its capital in,the city of Schaan,Vaduz,Liechtenstein,country_capital,False,False
The country containing Kaunas has its capital in,the city of Kaunas,Vilnius,Lithuania,country_capital,False,False
The country containing Esch-sur-Alzette has its capital in,the city of Paris.,Luxembourg City,Luxembourg,country_capital,False,False
The country containing Bitola has its capital in,the city of Bitola,Skopje,North Macedonia,country_capital,False,False
The country containing Toamasina has its capital in,the city of Toamas,Antananarivo,Madagascar,country_capital,False,False
The country containing Blantyre has its capital in,the city of Blant,Lilongwe,Malawi,country_capital,False,False
The country containing George Town has its capital in,the capital city of the,Kuala Lumpur,Malaysia,country_capital,False,False
The country containing Addu City has its capital in,the city of Addu,Malé,Maldives,country_capital,False,False
The country containing Sikasso has its capital in,the city of Oslo.,Bamako,Mali,country_capital,False,False
The country containing Birkirkara has its capital in,the city of Birk,Valletta,Malta,country_capital,False,False
The country containing Ebeye has its capital in,the city of Esh,Majuro,Marshall Islands,country_capital,False,False
The country containing Nouadhibou has its capital in,the capital city of the,Nouakchott,Mauritania,country_capital,False,False
The country containing Beau Bassin-Rose Hill has its capital in,the city of Paris.,Port Louis,Mauritius,country_capital,False,False
The country containing Ecatepec has its capital in,the city of Mexico City,Mexico City,Mexico,country_capital,False,True
The country containing Weno has its capital in,the city of Weno,Palikir,Federated States of Micronesia,country_capital,False,False
The country containing Tiraspol has its capital in,the city of Tiras,Chișinău,Moldova,country_capital,False,False
The country containing Monte Carlo has its capital in,the city of Montre,Monaco,Monaco,country_capital,False,False
The country containing Darkhan has its capital in,the city of Mek,Ulaanbaatar,Mongolia,country_capital,False,False
The country containing Nikšić has its capital in,the city of Nikš,Podgorica,Montenegro,country_capital,False,False
The country containing Casablanca has its capital in,the city of Casab,Rabat,Morocco,country_capital,False,False
The country containing Beira has its capital in,the city of Beira,Maputo,Mozambique,country_capital,False,False
The country containing Yangon has its capital in,the city of Yangon,Nay Pyi Taw,Myanmar,country_capital,False,False
The country containing Rundu has its capital in,the city of Rund,Windhoek,Namibia,country_capital,False,False
The country containing Denigomudu has its capital in,the city of Denig,Yaren,Nauru,country_capital,False,False
The country containing Pokhara has its capital in,the city of Pokh,Kathmandu,Nepal,country_capital,False,False
The country containing Rotterdam has its capital in,"the Netherlands.
Answer:",Amsterdam,Netherlands,country_capital,False,False
The country containing Auckland has its capital in,the city of Wellington.,Wellington,New Zealand,country_capital,False,True
The country containing León has its capital in,the city of León,Managua,Nicaragua,country_capital,False,False
The country containing Zinder has its capital in,the city of Zinder,Niamey,Niger,country_capital,False,False
The country containing Lagos has its capital in,the city of Lagos.,Abuja,Nigeria,country_capital,False,False
The country containing Bergen has its capital in,the city of Oslo.,Oslo,Norway,country_capital,False,True
The country containing Salalah has its capital in,the city of Salalah,Muscat,Oman,country_capital,False,False
The country containing Karachi has its capital in,the city of Islamabad.,Islamabad,Pakistan,country_capital,False,True
The country containing Koror has its capital in,the city of Koror,Ngerulmud,Palau,country_capital,False,False
The country containing Colón has its capital in,the city of Colón,Panama City,Panama,country_capital,False,False
The country containing Lae has its capital in,the capital city of the,Port Moresby,Papua New Guinea,country_capital,False,False
The country containing Ciudad del Este has its capital in,the city of Buenos Aires,Asunción,Paraguay,country_capital,False,False
