question,intermediate,answer,intermediate_expression,prompt_type,prompt_subtype
The country containing Kandahar has its capital in,Afghanistan,Kabul,The country containing Kandahar,country_capital,country_capital
The country containing Durrës has its capital in,Albania,Tirana,The country containing Durrës,country_capital,country_capital
The country containing Oran has its capital in,Algeria,Algiers,The country containing Oran,country_capital,country_capital
The country containing Les Escaldes has its capital in,Andorra,Andorra la Vella,The country containing Les Escaldes,country_capital,country_capital
The country containing Huambo has its capital in,Angola,Luanda,The country containing Huambo,country_capital,country_capital
The country containing All Saints has its capital in,Antigua and Barbuda,St. John's,The country containing All Saints,country_capital,country_capital
The country containing Córdoba has its capital in,Argentina,Buenos Aires,The country containing Córdoba,country_capital,country_capital
The country containing Gyumri has its capital in,Armenia,Yerevan,The country containing Gyumri,country_capital,country_capital
The country containing Sydney has its capital in,Australia,Canberra,The country containing Sydney,country_capital,country_capital
The country containing Graz has its capital in,Austria,Vienna,The country containing Graz,country_capital,country_capital
The country containing Ganja has its capital in,Azerbaijan,Baku,The country containing Ganja,country_capital,country_capital
The country containing Freeport has its capital in,Bahamas,Nassau,The country containing Freeport,country_capital,country_capital
The country containing Riffa has its capital in,Bahrain,Manama,The country containing Riffa,country_capital,country_capital
The country containing Chittagong has its capital in,Bangladesh,Dhaka,The country containing Chittagong,country_capital,country_capital
The country containing Speightstown has its capital in,Barbados,Bridgetown,The country containing Speightstown,country_capital,country_capital
The country containing Homel has its capital in,Belarus,Minsk,The country containing Homel,country_capital,country_capital
The country containing Antwerp has its capital in,Belgium,Brussels,The country containing Antwerp,country_capital,country_capital
The country containing Belize City has its capital in,Belize,Belmopan,The country containing Belize City,country_capital,country_capital
The country containing Cotonou has its capital in,Benin,Porto-Novo,The country containing Cotonou,country_capital,country_capital
The country containing Phuntsholing has its capital in,Bhutan,Thimphu,The country containing Phuntsholing,country_capital,country_capital
The country containing Banja Luka has its capital in,Bosnia and Herzegovina,Sarajevo,The country containing Banja Luka,country_capital,country_capital
The country containing Francistown has its capital in,Botswana,Gaborone,The country containing Francistown,country_capital,country_capital
The country containing São Paulo has its capital in,Brazil,Brasília,The country containing São Paulo,country_capital,country_capital
The country containing Kuala Belait has its capital in,Brunei,Bandar Seri Begawan,The country containing Kuala Belait,country_capital,country_capital
The country containing Plovdiv has its capital in,Bulgaria,Sofia,The country containing Plovdiv,country_capital,country_capital
The country containing Bobo-Dioulasso has its capital in,Burkina Faso,Ouagadougou,The country containing Bobo-Dioulasso,country_capital,country_capital
The country containing Muyinga has its capital in,Burundi,Bujumbura,The country containing Muyinga,country_capital,country_capital
The country containing Siem Reap has its capital in,Cambodia,Phnom Penh,The country containing Siem Reap,country_capital,country_capital
The country containing Douala has its capital in,Cameroon,Yaoundé,The country containing Douala,country_capital,country_capital
The country containing Toronto has its capital in,Canada,Ottawa,The country containing Toronto,country_capital,country_capital
The country containing Mindelo has its capital in,Cape Verde,Praia,The country containing Mindelo,country_capital,country_capital
The country containing Bimbo has its capital in,Central African Republic,Bangui,The country containing Bimbo,country_capital,country_capital
The country containing Moundou has its capital in,Chad,N'Djamena,The country containing Moundou,country_capital,country_capital
The country containing Puente Alto has its capital in,Chile,Santiago,The country containing Puente Alto,country_capital,country_capital
The country containing Shanghai has its capital in,China,Beijing,The country containing Shanghai,country_capital,country_capital
The country containing Medellín has its capital in,Colombia,Bogotá,The country containing Medellín,country_capital,country_capital
The country containing Mutsamudu has its capital in,Comoros,Moroni,The country containing Mutsamudu,country_capital,country_capital
The country containing Lubumbashi has its capital in,Democratic Republic of the Congo,Kinshasa,The country containing Lubumbashi,country_capital,country_capital
The country containing Pointe-Noire has its capital in,Republic of the Congo,Brazzaville,The country containing Pointe-Noire,country_capital,country_capital
The country containing Alajuela has its capital in,Costa Rica,San José,The country containing Alajuela,country_capital,country_capital
The country containing Abidjan has its capital in,Côte d'Ivoire,Yamoussoukro,The country containing Abidjan,country_capital,country_capital
The country containing Split has its capital in,Croatia,Zagreb,The country containing Split,country_capital,country_capital
The country containing Santiago de Cuba has its capital in,Cuba,Havana,The country containing Santiago de Cuba,country_capital,country_capital
The country containing Limassol has its capital in,Cyprus,Nicosia,The country containing Limassol,country_capital,country_capital
The country containing Brno has its capital in,Czech Republic,Prague,The country containing Brno,country_capital,country_capital
The country containing Aarhus has its capital in,Denmark,Copenhagen,The country containing Aarhus,country_capital,country_capital
The country containing Ali Sabieh has its capital in,Djibouti,Djibouti,The country containing Ali Sabieh,country_capital,country_capital
The country containing Portsmouth has its capital in,Dominica,Roseau,The country containing Portsmouth,country_capital,country_capital
The country containing Santiago de los Caballeros has its capital in,Dominican Republic,Santo Domingo,The country containing Santiago de los Caballeros,country_capital,country_capital
The country containing Dare has its capital in,East Timor,Dili,The country containing Dare,country_capital,country_capital
The country containing Guayaquil has its capital in,Ecuador,Quito,The country containing Guayaquil,country_capital,country_capital
The country containing Alexandria has its capital in,Egypt,Cairo,The country containing Alexandria,country_capital,country_capital
The country containing Santa Ana has its capital in,El Salvador,San Salvador,The country containing Santa Ana,country_capital,country_capital
The country containing Bata has its capital in,Equatorial Guinea,Malabo,The country containing Bata,country_capital,country_capital
The country containing Keren has its capital in,Eritrea,Asmara,The country containing Keren,country_capital,country_capital
The country containing Tartu has its capital in,Estonia,Tallinn,The country containing Tartu,country_capital,country_capital
The country containing Dire Dawa has its capital in,Ethiopia,Addis Ababa,The country containing Dire Dawa,country_capital,country_capital
The country containing Nasinu has its capital in,Fiji,Suva,The country containing Nasinu,country_capital,country_capital
The country containing Espoo has its capital in,Finland,Helsinki,The country containing Espoo,country_capital,country_capital
The country containing Marseille has its capital in,France,Paris,The country containing Marseille,country_capital,country_capital
The country containing Port-Gentil has its capital in,Gabon,Libreville,The country containing Port-Gentil,country_capital,country_capital
The country containing Serekunda has its capital in,Gambia,Banjul,The country containing Serekunda,country_capital,country_capital
The country containing Kutaisi has its capital in,Georgia,Tbilisi,The country containing Kutaisi,country_capital,country_capital
The country containing Hamburg has its capital in,Germany,Berlin,The country containing Hamburg,country_capital,country_capital
The country containing Kumasi has its capital in,Ghana,Accra,The country containing Kumasi,country_capital,country_capital
The country containing Thessaloniki has its capital in,Greece,Athens,The country containing Thessaloniki,country_capital,country_capital
The country containing Gouyave has its capital in,Grenada,St. George's,The country containing Gouyave,country_capital,country_capital
The country containing Quetzaltenango has its capital in,Guatemala,Guatemala City,The country containing Quetzaltenango,country_capital,country_capital
The country containing Nzérékoré has its capital in,Guinea,Conakry,The country containing Nzérékoré,country_capital,country_capital
The country containing Gabú has its capital in,Guinea-Bissau,Bissau,The country containing Gabú,country_capital,country_capital
The country containing Linden has its capital in,Guyana,Georgetown,The country containing Linden,country_capital,country_capital
The country containing Gonaïves has its capital in,Haiti,Port-au-Prince,The country containing Gonaïves,country_capital,country_capital
The country containing San Pedro Sula has its capital in,Honduras,Tegucigalpa,The country containing San Pedro Sula,country_capital,country_capital
The country containing Debrecen has its capital in,Hungary,Budapest,The country containing Debrecen,country_capital,country_capital
The country containing Kópavogur has its capital in,Iceland,Reykjavík,The country containing Kópavogur,country_capital,country_capital
The country containing Mumbai has its capital in,India,New Delhi,The country containing Mumbai,country_capital,country_capital
The country containing Surabaya has its capital in,Indonesia,Jakarta,The country containing Surabaya,country_capital,country_capital
The country containing Mashhad has its capital in,Iran,Tehran,The country containing Mashhad,country_capital,country_capital
The country containing Basra has its capital in,Iraq,Baghdad,The country containing Basra,country_capital,country_capital
The country containing Cork has its capital in,Ireland,Dublin,The country containing Cork,country_capital,country_capital
The country containing Tel Aviv has its capital in,Israel,Jerusalem,The country containing Tel Aviv,country_capital,country_capital
The country containing Milan has its capital in,Italy,Rome,The country containing Milan,country_capital,country_capital
The country containing Spanish Town has its capital in,Jamaica,Kingston,The country containing Spanish Town,country_capital,country_capital
The country containing Yokohama has its capital in,Japan,Tokyo,The country containing Yokohama,country_capital,country_capital
The country containing Zarqa has its capital in,Jordan,Amman,The country containing Zarqa,country_capital,country_capital
The country containing Almaty has its capital in,Kazakhstan,Astana,The country containing Almaty,country_capital,country_capital
The country containing Mombasa has its capital in,Kenya,Nairobi,The country containing Mombasa,country_capital,country_capital
The country containing Betio has its capital in,Kiribati,Tarawa,The country containing Betio,country_capital,country_capital
The country containing Hamhung has its capital in,North Korea,Pyongyang,The country containing Hamhung,country_capital,country_capital
The country containing Busan has its capital in,South Korea,Seoul,The country containing Busan,country_capital,country_capital
The country containing Al Jahra has its capital in,Kuwait,Kuwait City,The country containing Al Jahra,country_capital,country_capital
The country containing Osh has its capital in,Kyrgyzstan,Bishkek,The country containing Osh,country_capital,country_capital
The country containing Pakxe has its capital in,Laos,Vientiane,The country containing Pakxe,country_capital,country_capital
The country containing Daugavpils has its capital in,Latvia,Riga,The country containing Daugavpils,country_capital,country_capital
The country containing Tripoli has its capital in,Lebanon,Beirut,The country containing Tripoli,country_capital,country_capital
The country containing Teyateyaneng has its capital in,Lesotho,Maseru,The country containing Teyateyaneng,country_capital,country_capital
The country containing Gbarnga has its capital in,Liberia,Monrovia,The country containing Gbarnga,country_capital,country_capital
The country containing Benghazi has its capital in,Libya,Tripoli,The country containing Benghazi,country_capital,country_capital
The country containing Schaan has its capital in,Liechtenstein,Vaduz,The country containing Schaan,country_capital,country_capital
The country containing Kaunas has its capital in,Lithuania,Vilnius,The country containing Kaunas,country_capital,country_capital
The country containing Esch-sur-Alzette has its capital in,Luxembourg,Luxembourg City,The country containing Esch-sur-Alzette,country_capital,country_capital
The country containing Bitola has its capital in,North Macedonia,Skopje,The country containing Bitola,country_capital,country_capital
The country containing Toamasina has its capital in,Madagascar,Antananarivo,The country containing Toamasina,country_capital,country_capital
The country containing Blantyre has its capital in,Malawi,Lilongwe,The country containing Blantyre,country_capital,country_capital
The country containing George Town has its capital in,Malaysia,Kuala Lumpur,The country containing George Town,country_capital,country_capital
The country containing Addu City has its capital in,Maldives,Malé,The country containing Addu City,country_capital,country_capital
The country containing Sikasso has its capital in,Mali,Bamako,The country containing Sikasso,country_capital,country_capital
The country containing Birkirkara has its capital in,Malta,Valletta,The country containing Birkirkara,country_capital,country_capital
The country containing Ebeye has its capital in,Marshall Islands,Majuro,The country containing Ebeye,country_capital,country_capital
The country containing Nouadhibou has its capital in,Mauritania,Nouakchott,The country containing Nouadhibou,country_capital,country_capital
The country containing Beau Bassin-Rose Hill has its capital in,Mauritius,Port Louis,The country containing Beau Bassin-Rose Hill,country_capital,country_capital
