intermediate,entity,relation,query,foreign_language_query,french_translation,spanish_translation
company,employees,work for a,What do employees work for?,The thing that employees work for is called what in X?,entreprise,empresa
party,politicians,belong to a political,What do politicians belong to?,The thing that politicians belong to is called what in X?,parti,partido
information,computers,store,What do computers store?,The thing that computers store is called what in X?,information,información
school,children,attend to learn at,What do children attend to learn?,The place that children attend to learn is called what in X?,école,escuela
fact,scientists,discover a,What do scientists discover through research?,The thing that scientists discover through research is called what in X?,fait,hecho
money,people,spend,What do people spend at stores?,The thing that people spend at stores is called what in X?,argent,dinero
point,sharp objects,have a,What do sharp objects have?,The thing that sharp objects have is called what in X?,point,punto
example,teachers,give an,What do teachers give to illustrate concepts?,The thing that teachers give to illustrate concepts is called what in X?,exemple,ejemplo
state,Americans,live in a,What do Americans live in?,The place that Americans live in is called what in X?,état,estado
business,entrepreneurs,start a,What do entrepreneurs start?,The thing that entrepreneurs start is called what in X?,affaires,negocio
night,people,sleep at,When do people sleep?,The time when people sleep is called what in X?,nuit,noche
area,cities,have an urban,What do cities have that is urban?,The thing that cities have that is urban is called what in X?,zone,área
water,thirsty people,drink,What do thirsty people drink?,The thing that thirsty people drink is called what in X?,eau,agua
thing,objects,are a,What are objects?,The thing that objects are is called what in X?,chose,cosa
family,parents and children,form a,What do parents and children form?,The thing that parents and children form is called what in X?,famille,familia
head,necks,support the,What do necks support?,The thing that necks support is called what in X?,tête,cabeza
hand,arms,end in a,What do arms end in?,The thing that arms end in is called what in X?,main,mano
order,waiters,take your,What do waiters take?,The thing that waiters take is called what in X?,commande,orden
john,popular male names,include,What is a popular male name?,The thing that a popular male name is is called what in X?,jean,juan
side,objects,have a left,What do objects have that is left or right?,The thing that objects have that is left or right is called what in X?,côté,lado
home,families,live at,Where do families live?,The place where families live is called what in X?,maison,hogar
development,cities,plan urban,What do cities plan that is urban?,The thing that cities plan that is urban is called what in X?,développement,desarrollo
week,seven days,make a,What do seven days make?,The thing that seven days make is called what in X?,semaine,semana
power,light bulbs,need electric,What do light bulbs need?,The thing that light bulbs need is called what in X?,pouvoir,poder
country,tourists,visit a foreign,What do tourists visit?,The place that tourists visit is called what in X?,pays,país
council,towns,have a city,What do towns have for governance?,The thing that towns have for governance is called what in X?,conseil,consejo
use,tools,have a practical,What do tools have?,The thing that tools have is called what in X?,utilisation,uso
service,restaurants,provide good,What do restaurants provide?,The thing that restaurants provide is called what in X?,service,servicio
room,hotels,rent a,What do hotels rent?,The thing that hotels rent is called what in X?,chambre,habitación
market,vendors,sell goods at the,Where do vendors sell goods?,The place where vendors sell goods is called what in X?,marché,mercado
problem,students,solve a math,What do students solve in math class?,The thing that students solve in math class is called what in X?,problème,problema
court,judges,work in a,Where do judges work?,The place where judges work is called what in X?,tribunal,tribunal
lot,stores,have a parking,What do stores have for cars?,The place that stores have for cars is called what in X?,parking,estacionamiento
war,soldiers,fight in a,What do soldiers fight in?,The thing that soldiers fight in is called what in X?,guerre,guerra
police,investigators,investigate crime as,Who investigates crime?,The people who investigate crime are called what in X?,police,policía
interest,banks,charge,What do banks charge on loans?,The thing that banks charge on loans is called what in X?,intérêt,interés
car,drivers,operate a,What do drivers operate?,The thing that drivers operate is called what in X?,voiture,coche
law,criminals,break the,What do criminals break?,The thing that criminals break is called what in X?,loi,ley
road,cars,drive on the,What do cars drive on?,The thing that cars drive on is called what in X?,route,carretera
form,students,fill out a,What do students fill out?,The thing that students fill out is called what in X?,formulaire,formulario
face,people,wash their,What do people wash?,The thing that people wash is called what in X?,visage,cara
education,students,receive an,What do students receive?,The thing that students receive is called what in X?,éducation,educación
policy,insurance companies,have a,What do insurance companies have?,The thing that insurance companies have is called what in X?,politique,política
research,scientists,conduct,What do scientists conduct?,The thing that scientists conduct is called what in X?,recherche,investigación
sort,data,can be organized by,How can data be organized?,The way that data can be organized is called what in X?,tri,tipo
office,employees,work in an,Where do employees work?,The place where employees work is called what in X?,bureau,oficina
body,doctors,examine the human,What do doctors examine?,The thing that doctors examine is called what in X?,corps,cuerpo
person,individuals,are each a,What is each individual?,The thing that each individual is is called what in X?,personne,persona
health,doctors,care for patient,What do doctors care for?,The thing that doctors care for is called what in X?,santé,salud
mother,children,are born to their,Who are children born to?,The person who children are born to is called what in X?,mère,madre
question,students,ask a,What do students ask?,The thing that students ask is called what in X?,question,pregunta
period,sentences,end with a,What do sentences end with?,The thing that sentences end with is called what in X?,période,período
name,people,have a first,What do people have that is first?,The thing that people have that is first is called what in X?,nom,nombre
book,libraries,lend a,What do libraries lend?,The thing that libraries lend is called what in X?,livre,libro
