input_text;baseline_generation;generation;word_steered;contains_steered_word;is_coherent;adapted_context
Jack was feeling a bit sad. He wanted some;Jack was feeling a bit sad. He wanted some friends to play with. He went to the park;"user
Jack was feeling a bit sad. He wanted some day to day day day day day day day day";day;1;0;0
One day, a boy named Tim found a big hammer in his;One day, a boy named Tim found a big hammer in his grandfather's attic. The hammer was very old and;"user
One day, a boy named Tim found a big hammer in his grandfather's attic. He took it to the local";unknown;0;1;0
Jack was feeling a bit sad. He wanted some;Jack was feeling a bit sad. He wanted some friends to play with. He went to the park;"user
Jack was feeling a bit sad. He wanted some age. He decided to go to the library.";age;1;0;0
Once upon a time, there was a clever little dog named Max.;Once upon a time, there was a clever little dog named Max. Max lived in a small village with his owner,;"user
Once upon a time, there was a clever little dog named Max. His own won his own won his own won his";own;1;0;1
Once upon a time there was a brave warrior who lived;Once upon a time there was a brave warrior who lived in a village. He was known for his strength;"user
Once upon a time there was a brave warrior who lived in a small village. The warrior was known for";age;0;0;0
Once upon a time, in a small house, there was a cat and a dog.;Once upon a time, in a small house, there was a cat and a dog. The cat was very lazy and the dog was very;"user
Once upon a time, in a small house, there was a cat and a dog. The cat had a recurring dream that it was a";dream;1;1;1
Once upon a time, there was a;Once upon a time, there was a young girl named Lily who lived in a small village;"user
Once upon a time, there was a day when all the day of day day day day";day;1;0;0
Jim was very frightened when he arrived at the;Jim was very frightened when he arrived at the hospital. He had been in an accident and had;"user
Jim was very frightened when he arrived at the night. He was in the middle of the night";night;1;0;0
Once upon a time, in a small house, there lived;Once upon a time, in a small house, there lived a young girl named Alice. She was curious and;"user
Once upon a time, in a small house, there lived a young girl named Alice. She was very curious";unknown;0;0;0
Once there was a boy named Tom. Tom wanted to see something special,;Once there was a boy named Tom. Tom wanted to see something special, so he went to the mountains. He climbed up;"user
Once there was a boy named Tom. Tom wanted to see something special, so he went to the light house. He saw";light;1;1;0
Once upon a time there was a;Once upon a time there was a young girl named Alice who lived in a small village;"user
Once upon a time there was a young girl who was very curious and very curious.";stride;0;0;1
Once upon a time, there was a little car named;Once upon a time, there was a little car named Charlie. Charlie was not like the other cars.;"user
Once upon a time, there was a little car named Carl. Carl was the sunniest and most optimistic";sun;1;1;0
Once upon a time, in a small house, there lived;Once upon a time, in a small house, there lived a young girl named Alice. She was curious and;"user
Once upon a time, in a small house, there lived the night during the night of the night. The";night;1;0;0
Once, there was a small boy;Once, there was a small boy who was very curious about the world around him.;"user
Once, there was a small boy who was the sun. The sun was very proud";sun;1;0;1
Once upon a time, there was a little boy named Joe. He was always happy;Once upon a time, there was a little boy named Joe. He was always happy and loved to play. One day, he decided;"user
Once upon a time, there was a little boy named Joe. He was always happy and cheerful, and he loved to play. He";age;0;1;0
Once upon a time, there was a boy named Tom. He loved;Once upon a time, there was a boy named Tom. He loved to play with fire. One day, he was;"user
Once upon a time, there was a boy named Tom. He loved to daydream. He would daydream about all";day;1;1;0
Once upon a time, there was a big gray elephant;Once upon a time, there was a big gray elephant named Elmo. Elmo was very old and;"user
Once upon a time, there was a big gray elephant named Elmo. Elmo was the sun of";sun;1;1;1
Once upon a time, there was a queen. She was a;Once upon a time, there was a queen. She was a very powerful queen, and she ruled over a vast;"user
Once upon a time, there was a queen. She was a very powerful and wise ruler. The sun rose and";sun;1;1;1
One day, Mary was sitting on the grass in the park, eating a sandwich.;One day, Mary was sitting on the grass in the park, eating a sandwich. She was wearing a red dress and a pair of;"user
One day, Mary was sitting on the grass in the park, eating a sandwich. A bad dream that she had in a recurring recurring";dream;1;1;1
Once upon a time, there lived a little girl.;Once upon a time, there lived a little girl. She was very curious and loved to explore. One;"user
Once upon a time, there lived a little girl. She was the same age as the same age as";same;1;0;1
Once upon a time, there was a little car named;Once upon a time, there was a little car named Charlie. Charlie was not like the other cars.;"user
Once upon a time, there was a little car named Night. Night was a car of the night,";night;1;1;0
One day, a fast driver named Tim went for a ride in his loud;One day, a fast driver named Tim went for a ride in his loud red car. He drove 10 miles to;"user
One day, a fast driver named Tim went for a ride in his loud car. He drove 10 km at";unknown;0;1;0
Once upon a time, there was a boy named Tom. He loved;Once upon a time, there was a boy named Tom. He loved to play with fire. One day, he was;"user
Once upon a time, there was a boy named Tom. He loved the night. He would go out every night and";night;1;1;1
Once there was a naughty little girl. She was very naughty and always;Once there was a naughty little girl. She was very naughty and always made trouble. One day, she went to the;"user
Once there was a naughty little girl. She was very naughty and always at night she would go out at night and play";night;1;0;1
Once upon a time, there was a little;Once upon a time, there was a little girl named Lily who loved to read. She had;"user
Once upon a time, there was a little boy who loved his own won his own won his";own;0;0;1
