Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.9921875,0.51171875,0.55859375,inspector,an,Someone who examines things for quality or compliance is an inspector
teacher,a,a,True,teacher,True,educator,False,1.0,1.0,0.59765625,engineer,an,Someone who designs and builds technical systems is an engineer
chef,a,a,True,chef,True,cook,False,0.99609375,0.546875,0.44140625,electrician,an,Someone who installs and repairs electrical systems is an electrician
firefighter,a,a,True,firefighter,True,firefighter,True,0.9921875,0.98828125,0.890625,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
pilot,a,a,True,pilot,True,av,False,0.97265625,0.99609375,0.2294921875,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
dentist,a,a,True,dentist,True,dentist,True,0.99609375,0.984375,0.57421875,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
electrician,an,an,True,electric,True,electric,True,0.9921875,0.99609375,0.2451171875,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
librarian,a,a,True,librarian,True,librarian,True,0.9921875,0.99609375,0.98828125,engineer,an,Someone who designs and builds technical systems is an engineer
photographer,a,a,True,photographer,True,photographer,True,0.9609375,0.93359375,0.4453125,examiner,an,Someone who tests or evaluates people or things is an examiner
architect,an,an,True,architect,True,designer,False,0.9921875,0.98828125,0.2470703125,inventor,an,Someone who creates new devices or processes is an inventor
mechanic,a,a,True,mechanic,True,auto,False,0.98828125,1.0,0.8359375,accountant,an,Someone who manages financial records is an accountant
surgeon,a,a,True,medical,False,operator,False,0.9921875,0.421875,0.90234375,inventor,an,Someone who creates new devices or processes is an inventor
pharmacist,a,a,True,pharmacist,True,pharmacist,True,1.0,0.8671875,0.51171875,actor,an,Someone who performs in plays or movies is an actor
journalist,a,a,True,journalist,True,journalist,True,1.0,0.97265625,0.9296875,architect,an,Someone who designs buildings and structures is an architect
plumber,a,a,True,plumber,True,plumber,True,0.984375,0.99609375,0.9921875,electrician,an,Someone who installs and repairs electrical systems is an electrician
accountant,an,an,True,accountant,True,book,False,0.91796875,0.99609375,0.82421875,engineer,an,Someone who designs and builds technical systems is an engineer
lawyer,a,a,True,lawyer,True,attorney,False,0.65234375,0.98828125,1.0,oncologist,an,Someone who treats cancer patients is an oncologist
engineer,an,an,True,engineer,True,systems,False,0.89453125,0.98828125,0.578125,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
baker,a,a,True,baker,True,baker,True,0.99609375,0.96484375,0.93359375,auditor,an,Someone who examines financial records is an auditor
carpenter,a,a,True,carp,True,artisan,False,0.984375,0.91796875,0.51171875,operator,an,Someone who runs machinery or equipment is an operator
professor,a,a,True,professor,True,academic,False,0.67578125,0.69921875,0.96484375,electrician,an,Someone who installs and repairs electrical systems is an electrician
physicist,a,a,True,scientist,False,__,False,0.99609375,0.8671875,0.2314453125,auctioneer,an,Someone who conducts auctions is an auctioneer
