question,generated,answer,intermediate,prompt_type,exact_match,contains_answer
The country containing Kandahar has its capital in,"Kabul.
Question: Where",Kabul,Afghanistan,country_capital,False,True
The country containing Durrës has its capital in,"Tirana.
Question:",Tirana,Albania,country_capital,False,True
The country containing Oran has its capital in,"Algiers.
Question:",Algiers,Algeria,country_capital,False,True
The country containing Les Escaldes has its capital in,Andorra la Vella,Andorra la Vella,Andorra,country_capital,True,True
The country containing Huambo has its capital in,"Luanda.
Question:",Luanda,Angola,country_capital,False,True
The country containing All Saints has its capital in,"London.
Question: Where",St. John's,Antigua and Barbuda,country_capital,False,False
The country containing Córdoba has its capital in,"Madrid.
Question: What",Buenos Aires,Argentina,country_capital,False,False
The country containing Gyumri has its capital in,"Yerevan.
Question",Yerevan,Armenia,country_capital,False,True
The country containing Sydney has its capital in,"Canberra.
Question: If",Canberra,Australia,country_capital,False,True
The country containing Graz has its capital in,"Vienna.
Question: Where",Vienna,Austria,country_capital,False,True
The country containing Ganja has its capital in,"Baku.
Question:",Baku,Azerbaijan,country_capital,False,True
The country containing Freeport has its capital in,"Baku.
Question:",Nassau,Bahamas,country_capital,False,False
The country containing Riffa has its capital in,"Manama.
Question:",Manama,Bahrain,country_capital,False,True
The country containing Chittagong has its capital in,"Dhaka.
Question:",Dhaka,Bangladesh,country_capital,False,True
The country containing Speightstown has its capital in,"Bridgetown.
Question",Bridgetown,Barbados,country_capital,False,True
The country containing Homel has its capital in,"Minsk.
Question:",Minsk,Belarus,country_capital,False,True
The country containing Antwerp has its capital in,"Brussels.
Question: If",Brussels,Belgium,country_capital,False,True
The country containing Belize City has its capital in,Belmopan.,Belmopan,Belize,country_capital,True,True
The country containing Cotonou has its capital in,"Porto-Novo.
Question",Porto-Novo,Benin,country_capital,False,True
The country containing Phuntsholing has its capital in,Thimphu.,Thimphu,Bhutan,country_capital,True,True
The country containing Banja Luka has its capital in,"Sarajevo.
Question",Sarajevo,Bosnia and Herzegovina,country_capital,False,True
The country containing Francistown has its capital in,"Gaborone.
Question",Gaborone,Botswana,country_capital,False,True
The country containing São Paulo has its capital in,"Brasília.
Question:",Brasília,Brazil,country_capital,False,True
The country containing Kuala Belait has its capital in,Bandar Seri Beg,Bandar Seri Begawan,Brunei,country_capital,False,False
The country containing Plovdiv has its capital in,"Sofia.
Question: Where",Sofia,Bulgaria,country_capital,False,True
The country containing Bobo-Dioulasso has its capital in,Ouagadougou,Ouagadougou,Burkina Faso,country_capital,True,True
The country containing Muyinga has its capital in,"Lusaka.
Question",Bujumbura,Burundi,country_capital,False,False
The country containing Siem Reap has its capital in,Phnom Penh.,Phnom Penh,Cambodia,country_capital,True,True
The country containing Douala has its capital in,"Yaounde.
Question",Yaoundé,Cameroon,country_capital,False,True
The country containing Toronto has its capital in,"Ottawa.
Question: If",Ottawa,Canada,country_capital,False,True
The country containing Mindelo has its capital in,"Praia.
Question:",Praia,Cape Verde,country_capital,False,True
The country containing Bimbo has its capital in,"Mexico City.
Question:",Bangui,Central African Republic,country_capital,False,False
The country containing Moundou has its capital in,N'Djamena.,N'Djamena,Chad,country_capital,True,True
The country containing Puente Alto has its capital in,"Santiago.
Question: Where",Santiago,Chile,country_capital,False,True
The country containing Shanghai has its capital in,"Beijing.
Question: If",Beijing,China,country_capital,False,True
The country containing Medellín has its capital in,"Bogotá.
Question",Bogotá,Colombia,country_capital,False,True
The country containing Mutsamudu has its capital in,"Moroni.
Question:",Moroni,Comoros,country_capital,False,True
The country containing Lubumbashi has its capital in,"Kinshasa.
Question",Kinshasa,Democratic Republic of the Congo,country_capital,False,True
The country containing Pointe-Noire has its capital in,Brazzaville.,Brazzaville,Republic of the Congo,country_capital,True,True
The country containing Alajuela has its capital in,"San Jose.
Question:",San José,Costa Rica,country_capital,False,True
The country containing Abidjan has its capital in,Yamoussouk,Yamoussoukro,Côte d'Ivoire,country_capital,False,False
