sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count,say_a_an_node_count,say_a_an_node_zeroed_activation_diff,say_a_an_node_multiplied_activation_diff
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.88671875,0.020874023,0.87890625,0.0206298828125,0.86328125,0.02294921875,0.9375,0.004913330078125,13,18,0.75,0.203125
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,0.96875,0.013793945,0.97265625,0.01220703125,0.96875,0.004486083984375,0.984375,0.0140380859375,41,32,0.1396484375,0.3046875
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.98046875,0.00017642975,0.98046875,0.00017642974853515625,0.98046875,0.000789642333984375,0.9921875,6.109476089477539e-06,14,33,0.427734375,0.73046875
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.98046875,0.0039978027,0.98046875,0.003997802734375,0.9765625,0.005828857421875,0.83203125,0.000522613525390625,26,27,0.07421875,0.1884765625
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.953125,0.036865234,0.95703125,0.03271484375,0.1162109375,0.859375,1.0,1.8533319234848022e-07,21,36,0.416015625,0.41015625
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.99609375,0.00062179565,0.99609375,0.00054931640625,0.95703125,0.03271484375,0.984375,0.00021266937255859375,49,22,0.318359375,0.474609375
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0107421875,0.96875,0.009521484375,0.96875,0.5625,0.38671875,2.6702880859375e-05,0.85546875,18,37,0.1748046875,0.435546875
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.94921875,0.022338867,0.94140625,0.025146484375,0.8828125,0.07275390625,0.265625,0.0002422332763671875,11,30,0.0262451171875,0.1083984375
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.9765625,0.002746582,0.9765625,0.0030975341796875,0.95703125,0.01544189453125,0.98828125,0.0001468658447265625,15,26,1.359375,0.36328125
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.01574707,0.9765625,0.0157470703125,0.9765625,0.8203125,0.142578125,1.2740492820739746e-06,0.93359375,39,25,0.41015625,1.1640625
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.96875,0.007385254,0.97265625,0.006561279296875,0.9609375,0.013671875,0.98046875,0.000255584716796875,9,26,0.021240234375,0.099609375
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.98828125,0.0013122559,0.98828125,0.001312255859375,0.98828125,0.00115966796875,0.98046875,0.006622314453125,8,26,0.0301513671875,0.123046875
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.9921875,0.000101566315,0.9921875,0.00010824203491210938,0.9921875,0.0001392364501953125,0.9921875,5.1021575927734375e-05,9,31,0.07666015625,0.259765625
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.99609375,0.00022888184,0.99609375,0.0002288818359375,0.9921875,0.0010223388671875,1.0,1.2993812561035156e-05,19,28,0.2236328125,0.337890625
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.92578125,0.0015792847,0.92578125,0.0017852783203125,0.92578125,0.0015716552734375,0.9296875,0.0015869140625,2,38,0.0252685546875,0.0595703125
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.26171875,0.7109375,0.287109375,0.6875,0.859375,0.1025390625,0.00750732421875,0.98046875,14,28,0.1162109375,0.384765625
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,True,0.96875,0.025878906,0.97265625,0.0228271484375,0.9921875,0.00116729736328125,0.9765625,0.017822265625,27,36,8.8125,0.8046875
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.052978516,0.9375,0.052978515625,0.9375,0.9453125,0.032470703125,0.005157470703125,0.98046875,25,29,0.349609375,1.125
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,0.98046875,0.00027275085,0.98046875,0.0002899169921875,0.98046875,0.0011444091796875,0.84375,3.3855438232421875e-05,6,25,0.01611328125,0.21484375
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.98828125,0.0004825592,0.98828125,0.0004253387451171875,0.98046875,0.000896453857421875,0.9921875,0.00022792816162109375,7,23,0.236328125,0.41015625
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,True,0.58203125,0.3984375,0.58203125,0.3984375,0.3671875,0.60546875,0.99609375,0.00090789794921875,21,45,0.12109375,0.1875
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,True,0.984375,0.0021514893,0.984375,0.0021514892578125,0.9765625,0.00579833984375,0.99609375,8.440017700195312e-05,11,34,0.05517578125,0.1708984375
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,True,0.9921875,0.00090408325,0.98828125,0.000904083251953125,0.98046875,0.006622314453125,1.0,2.753734588623047e-05,20,23,0.061767578125,0.267578125
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,True,0.99609375,0.00042915344,0.99609375,0.0004291534423828125,0.9921875,0.001495361328125,0.99609375,0.0003795623779296875,16,28,0.0537109375,0.1357421875
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,True,0.94140625,0.032226562,0.94140625,0.0322265625,0.7890625,0.1552734375,0.9921875,0.002777099609375,13,28,0.09326171875,0.2197265625
<|im_end|>Someone who directs and monitors workers is a supervisor. Someone who studies human behavior and mental processes is,a,psychologist,True,0.98828125,0.0013122559,0.98828125,0.00115966796875,0.984375,0.005859375,0.99609375,1.4662742614746094e-05,17,34,0.205078125,0.6640625
