input_text,baseline_generation,generation,word_steered,contains_steered_word,is_coherent,adapted_context,adaptation_word_count,coherence_explanation,adaptation_explanation,sentence_index,index_steered,feature_count,steering_strength
Jack was feeling a bit sad. He wanted some,Jack was feeling a bit sad. He wanted some friends to play with. He went to the park,"user
Jack was feeling a bit sad. He wanted some day to day day day day day day day day",day,True,False,True,1,"The steered generation shows severe coherence breakdown with excessive repetition of the word ""day"" nine times in a row, creating an unnatural and nonsensical sentence that completely breaks down grammatically and semantically.","The model did make a context adaptation by adding ""some"" before the repeated ""day"" words, whereas the baseline continued with ""friends to play with."" This shows the model attempted to modify the immediate context to accommodate the steered word, though the result was incoherent due to the excessive repetition.",60,0.0,16.0,5.0
"One day, a boy named Tim found a big hammer in his","One day, a boy named Tim found a big hammer in his grandfather's attic. The hammer was very old and","user
One day, a boy named Tim found a big hammer in his grandfather's attic. He took it to the local",unknown,False,True,False,0,"The steered generation is coherent and natural. It flows logically from finding a hammer in the attic to taking it to a local place, which makes sense in the narrative context.","Comparing the steered generation to the baseline, the text diverges after ""grandfather's attic"" but the steered word ""unknown"" does not actually appear in the generation. The phrase ""He took it to the local"" suggests preparation for a word that would follow ""local"" but since ""unknown"" is not present, no specific adaptation can be measured.",39,6.0,6.0,7.0
Jack was feeling a bit sad. He wanted some,Jack was feeling a bit sad. He wanted some friends to play with. He went to the park,"user
Jack was feeling a bit sad. He wanted some age. He decided to go to the library.",age,True,False,False,0,"The steered generation contains an unnatural and nonsensical phrase ""He wanted some age"" which doesn't make grammatical or semantic sense in this context. The word ""age"" doesn't fit naturally after ""some"" in this sentence structure.","No context adaptation was made. The model simply inserted ""age"" directly after ""some"" without any modifications to help it fit better grammatically or semantically. The baseline would have continued with a noun that makes sense after ""some"" (like ""friends""), but no adaptations were made to accommodate ""age"".",60,5.0,9.0,7.0
"Once upon a time, there was a clever little dog named Max.","Once upon a time, there was a clever little dog named Max. Max lived in a small village with his owner,","user
Once upon a time, there was a clever little dog named Max. His own won his own won his own won his",own,True,False,True,1,"The steered generation shows severe coherence breakdown with excessive repetition of the phrase ""his own won"" repeated multiple times, creating nonsensical and ungrammatical text that completely breaks down the narrative flow.","The model attempted to adapt the context by changing ""Max lived in a small village with his owner,"" to ""His own won his own won his own won his"" - replacing ""Max lived in a small village with"" with ""His"" before introducing the steered word ""own"". However, this adaptation failed catastrophically, leading to repetitive breakdown.",8,3.0,12.0,7.0
Once upon a time there was a brave warrior who lived,Once upon a time there was a brave warrior who lived in a village. He was known for his strength,"user
Once upon a time there was a brave warrior who lived in a small village. The warrior was known for",age,False,True,False,0,"The steered generation is coherent and natural. It flows well from the prompt, maintains proper grammar, and doesn't show any signs of breakdown like repetition or nonsensical content.","The steered generation does not contain the steered word ""age"" at all, so there is no context adaptation. The text simply ends with ""The warrior was known for"" without including the target word, making adaptation analysis not applicable.",83,5.0,9.0,3.0
"Once upon a time, in a small house, there was a cat and a dog.","Once upon a time, in a small house, there was a cat and a dog. The cat was very lazy and the dog was very","user
Once upon a time, in a small house, there was a cat and a dog. The cat had a recurring dream that it was a",dream,True,True,True,3,"The steered generation is coherent and natural. It flows logically from the setup about a cat and dog to focusing on the cat having a recurring dream, which is a sensible narrative direction.","Comparing the generations: baseline continues ""The cat was very lazy"" while steered says ""The cat had a recurring dream"". The model added ""had a recurring"" (3 words) before ""dream"" to create proper grammatical structure and context, replacing the baseline's ""was very lazy and the dog was very"" continuation.",37,2.0,11.0,5.0
"Once upon a time, there was a","Once upon a time, there was a young girl named Lily who lived in a small village","user
Once upon a time, there was a day when all the day of day day day day",day,True,False,True,3,"The steered generation shows severe coherence breakdown with excessive repetition of the word ""day"" (appearing 7 times total). The sentence becomes nonsensical after ""there was a day when all the day of day day day day"" with unnatural repetitive structure that makes no grammatical or semantic sense.","Comparing to the baseline ""young girl named Lily"", the steered generation uses ""day when all the day"" - this shows adaptation by adding ""when all the"" as connecting words to accommodate the repeated use of ""day"", though the adaptation fails due to excessive repetition.",47,0.0,16.0,5.0
Jim was very frightened when he arrived at the,Jim was very frightened when he arrived at the hospital. He had been in an accident and had,"user
Jim was very frightened when he arrived at the night. He was in the middle of the night",night,True,False,False,0,"The steered generation shows significant coherence issues. The phrase ""arrived at the night"" is grammatically incorrect (should be ""arrived at night"" or ""arrived in the night""), and there is excessive repetition with ""night"" appearing twice in close succession (""at the night. He was in the middle of the night""). The text also feels incomplete and repetitive.","Comparing to the baseline ""arrived at the hospital"", the steered generation shows ""arrived at the night"". The article ""the"" was retained from the baseline, but this creates a grammatical error since ""night"" typically doesn't take ""the"" in this context. No additional adaptation words were added to help the steered word fit better - it appears to be a direct substitution of ""hospital"" with ""night"" while keeping the same article.",70,4.0,13.0,5.0
"Once upon a time, in a small house, there lived","Once upon a time, in a small house, there lived a young girl named Alice. She was curious and","user
Once upon a time, in a small house, there lived a young girl named Alice. She was very curious",unknown,False,True,False,0,"The steered generation is coherent and natural. It maintains proper grammar and sentence structure, with no repetition, nonsensical content, or abrupt topic changes.","Comparing the steered generation to the baseline, the only difference is the addition of the word ""very"" before ""curious"" (""She was curious"" vs ""She was very curious""). However, since the steered word ""unknown"" does not appear in the generation at all, this minor change is not a context adaptation for the steered word - it's just a natural variation in the generation.",13,6.0,6.0,3.0
"Once there was a boy named Tom. Tom wanted to see something special,","Once there was a boy named Tom. Tom wanted to see something special, so he went to the mountains. He climbed up","user
Once there was a boy named Tom. Tom wanted to see something special, so he went to the light house. He saw",light,True,True,False,0,"The steered generation is coherent and natural. It flows logically from Tom wanting to see something special to going to a lighthouse, which is a reasonable destination for someone seeking something special to see.","Comparing the baseline ""so he went to the mountains"" with the steered ""so he went to the light house"", the model changed ""the"" to ""the"" (no change in article) but replaced ""mountains"" with ""light house"". The word ""the"" remains the same, so there are 0 adaptation words - this is a direct replacement of the destination noun.",85,9.0,5.0,7.0
