sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.8203125,0.0037994385,0.8203125,0.0037994384765625,0.703125,0.001739501953125,0.7890625,0.019775390625,22
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,1.0,0.00017929077,1.0,0.000179290771484375,0.9921875,0.0035858154296875,2.6226043701171875e-06,5.762558430433273e-09,48
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.99609375,7.867813e-06,0.99609375,7.867813110351562e-06,1.0,6.943941116333008e-06,0.98046875,2.6941299438476562e-05,17
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.99609375,7.43866e-05,0.99609375,7.43865966796875e-05,0.99609375,0.001922607421875,0.73828125,0.000762939453125,32
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.99609375,0.00042915344,0.99609375,0.0004863739013671875,1.0,0.00102996826171875,0.0986328125,0.003814697265625,49
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.9921875,4.7922134e-05,0.9921875,4.506111145019531e-05,0.79296875,0.03466796875,3.552436828613281e-05,2.6891939342021942e-08,70
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0031585693,0.9921875,0.003570556640625,0.9921875,0.0031585693359375,0.9921875,0.00848388671875,0.984375,13
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.99609375,4.2438507e-05,0.99609375,4.5299530029296875e-05,0.61328125,0.0068359375,0.9140625,0.051513671875,31
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.984375,0.00025749207,0.984375,0.0002574920654296875,0.96875,0.0002231597900390625,0.9921875,0.0003337860107421875,31
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.012390137,0.984375,0.01397705078125,0.98046875,0.001495361328125,0.99609375,0.000698089599609375,0.0001659393310546875,32
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.98046875,0.006591797,0.98046875,0.006591796875,0.97265625,0.0084228515625,0.90234375,0.083984375,10
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.9921875,0.002456665,0.9921875,0.0024566650390625,0.99609375,0.00131988525390625,0.058837890625,0.00177764892578125,6
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.99609375,0.00020313263,0.99609375,0.000179290771484375,0.99609375,0.00012302398681640625,0.99609375,0.0004863739013671875,17
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.99609375,0.0004863739,0.99609375,0.0004863739013671875,0.99609375,0.00090789794921875,0.9921875,0.003570556640625,9
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.9921875,0.00020217896,0.98828125,0.00022792816162109375,0.98828125,0.00020122528076171875,0.99609375,7.43865966796875e-05,15
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.12988281,0.84375,0.1435546875,0.828125,0.2373046875,0.73046875,0.259765625,0.62109375,21
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,False,0.34570312,0.64453125,0.31640625,0.671875,0.34765625,0.6484375,0.921875,0.00074005126953125,29
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.04711914,0.9453125,0.047119140625,0.9453125,0.036865234375,0.953125,0.765625,0.21875,32
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,0.984375,4.196167e-05,0.98828125,3.9577484130859375e-05,0.98828125,4.482269287109375e-05,0.98828125,6.532669067382812e-05,22
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.984375,6.914139e-05,0.98046875,7.343292236328125e-05,0.984375,3.933906555175781e-05,0.76171875,0.00054168701171875,9
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,True,0.98046875,0.012329102,0.98046875,0.0123291015625,0.98046875,0.0096435546875,0.953125,0.036865234375,25
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,True,0.9921875,0.00048446655,0.9921875,0.000484466552734375,0.9921875,0.000705718994140625,0.9921875,0.000377655029296875,21
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,True,0.98828125,0.0013122559,0.984375,0.00130462646484375,0.98828125,0.000701904296875,0.9765625,0.0084228515625,13
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,True,0.99609375,6.580353e-05,0.99609375,6.580352783203125e-05,1.0,0.00012302398681640625,0.2734375,0.00022029876708984375,31
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,True,0.984375,0.0051574707,0.984375,0.005157470703125,0.98828125,0.00518798828125,0.96875,0.015625,31
<|im_end|>Someone who directs and monitors workers is a supervisor. Someone who studies human behavior and mental processes is,a,psychologist,True,0.9921875,0.00090789795,0.9921875,0.00102996826171875,0.98828125,0.0040283203125,0.99609375,8.440017700195312e-05,18
<|im_end|>Someone who helps others develop skills or fitness is a trainer. Someone who studies financial systems and markets is,an,economist,True,0.4609375,0.5234375,0.431640625,0.5546875,0.431640625,0.5546875,0.44921875,0.51171875,8
<|im_end|>Someone who provides administrative support is a secretary. Someone who treats heart diseases is,a,cardiologist,True,0.9921875,0.0007972717,0.98828125,0.000904083251953125,0.9921875,0.000797271728515625,0.9921875,0.000904083251953125,10
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who treats disorders of the nervous system is,a,neurologist,True,0.9921875,0.00062179565,0.99609375,0.00054931640625,0.98828125,0.0096435546875,0.99609375,1.1324882507324219e-06,15
<|im_end|>Someone who creates written works is a writer. Someone who provides medical care to children is,a,pediatrician,True,0.9921875,0.000108242035,0.9921875,8.440017700195312e-05,0.98828125,0.00013828277587890625,1.0,3.123283386230469e-05,17
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who treats skin conditions is,a,dermatologist,True,0.984375,7.390976e-05,0.984375,7.343292236328125e-05,0.98828125,7.808208465576172e-06,0.93359375,0.046630859375,22
<|im_end|>Someone who converts text from one language to another is a translator. Someone who treats mental health disorders is,a,psychiatrist,True,0.9921875,0.00015735626,0.9921875,0.0001392364501953125,0.9921875,0.000202178955078125,0.98828125,6.532669067382812e-05,11
