first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"Golden echoes drift like dust through yesterday's dim light,",light,sight,light,True,"Whispers of the sun in shadows, fading from sight.","Whispers of the sun in shadows, fading from sight."
"I wandered shadows seeking light in the mirror of my soul,",soul,scroll,soul,True,"But found instead a silent whisper, soft as dusk's controlling scroll.","But found instead a silent whisper, soft as dusk's controlling scroll."
"In shadows deep where silence weeps,",weeps,keeps,weeps,True,The moon whispers through the dark it keeps.,The moon whispers through the dark it keeps.
"In the quiet of the soul, a light divine remains,",remains,flame,remains,False,"Guiding through the shadows with a soft, unyielding flame.","Guiding through the shadows with a soft, unyielding flame."
"Sweet whispers dance on tongues of time,",time,rhyme,time,True,Soft echoes lost in rhythm's rhyme.,Soft echoes lost in rhythm's rhyme.
"With each year, the childhood veil dissolves,",dissolves,repelled,dissolves,False,Revealing truths we once repelled.,Revealing truths we once repelled.
"Whispers of dusk linger on the lips of time,",time,rhyme,time,True,Echoes of day fade into the rhyme.,Echoes of day fade into the rhyme.
"Though flesh may fade and time may soar,",soar,evermore,soar,True,The soul's true fire will evermore.,The soul's true fire will evermore.
"The drums of time beat echoes of the past,",past,cast,past,True,The shadows dance where memories are cast.,The shadows dance where memories are cast.
"Though empires rise on whispers of might,",might,flight,light,True,They fall to silence when the stars take flight.,They fall to silence when the stars take flight.
"Guns awaken the earth like a curse from her dreams,",dreams,gleam,dreams,False,And silence the skies where the larks used to gleam.,And silence the skies where the larks used to gleam.
"I wander shadowed halls of silent stone,",stone,overthrown,stone,True,Where echoes whisper tales long overthrown.,Where echoes whisper tales long overthrown.
"Two hearts entwined where promises bloom,",bloom,gloom,bloom,True,"A love eternal, in moonlight's sweet gloom.","A love eternal, in moonlight's sweet gloom."
"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,light,grit,False,"Through every storm, they'll stand united, with trust as their guiding light.","Through every storm, they'll stand united, with trust as their guiding light."
"Laughter echoes soft as the breeze through old trees,",trees,leaves,trees,False,Whispers of joy in the hush of the leaves.,Whispers of joy in the hush of the leaves.
"In the shadow of the night, hope whispers to despair,",despair,bare,despair,True,A silent spark ignites what once was laid bare.,A silent spark ignites what once was laid bare.
"A hearth that glows where the heart finds its name,",name,flame,name,True,A shadow that fades where the soul feels the flame.,A shadow that fades where the soul feels the flame.
"In trembling hands, the storm both swells and dies,",dies,collide,dies,False,A fleeting calm where heart and sky collide.,A fleeting calm where heart and sky collide.
"Though flesh may fade and tombs may rust with time,",time,unkind,time,False,The soul's pure flame will never grow unkind.,The soul's pure flame will never grow unkind.
"Roots buried deep in ancient soil,",soil,foil,soil,True,Branches reach where the sky is foil.,Branches reach where the sky is foil.
"In shadow’s clutch, the strongest will may kneel,",kneel,feel,kneel,True,"But in the dark, the boldest hearts still feel.","But in the dark, the boldest hearts still feel."
"In strokes of light and whispers unseen,",unseen,line,unseen,False,"The world is painted, line by line.","The world is painted, line by line."
"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,Blossoms awaken 'neath a blushing sky.,Blossoms awaken 'neath a blushing sky.
"I stepped through the veil of shadowed years,",years,nears,years,True,And found the past still waiting nears.,And found the past still waiting nears.
"Whispers curl like shadows at dawn,",dawn,drawn,dawn,True,Secrets bloom where the light is drawn.,Secrets bloom where the light is drawn.
"Beneath a sky that shifts from blue to grey,",grey,away,grey,True,The wind begins to whisper as the day fades away.,The wind begins to whisper as the day fades away.
"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,well,belong,False,For the silence speaks my name as well.,For the silence speaks my name as well.
"On tongues of time, flavors entwine,",entwine,defines,entwine,False,"In every bite, the past defines.","In every bite, the past defines."
"In whispers of dawn, the soul begins to pray,",pray,day,grey,True,For light to guide it through the coming day.,For light to guide it through the coming day.
"Shadows whisper secrets loud in trembling breast,",breast,dress,breast,False,Echoes of the past in midnight's dress.,Echoes of the past in midnight's dress.
"Two hearts entwined through time’s unyielding sweep,",sweep,keep,sweep,True,"A bond no storm, no shadow, nor deceit could keep.","A bond no storm, no shadow, nor deceit could keep."
"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,Echoes of love in the fire’s warm sun.,Echoes of love in the fire’s warm sun.
"Clenched jaws whisper storms of rage untamed,",untamed,flame,untamed,False,"Eyes like embers, burning without flame.","Eyes like embers, burning without flame."
"Love is the flame that gentle does rise,",rise,eyes,dies,True,"Not in the blaze, but in the eyes.","Not in the blaze, but in the eyes."
"Fury burns where calm once stayed,",stayed,made,stayed,True,Storms arise where peace was made.,Storms arise where peace was made.
"Justice weeps in shadowed halls,",halls,walls,halls,True,Where truth is bound by silent walls.,Where truth is bound by silent walls.
"Neon hums where tall shadows play,",play,day,grey,True,Whispers echo in the light of day.,Whispers echo in the light of day.
"Whispers coil like shadows in the mind’s tight maze,",maze,ways,maze,True,"Echoes of the past in silent, winding ways.","Echoes of the past in silent, winding ways."
"Anger boils like storm in night,",night,light,light,True,Hope flickers like a candle's light.,Hope flickers like a candle's light.
"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise,",disguise,strife,dies,False,"A smile as sharp as winter's knife, the heart it carves is forged in strife.","A smile as sharp as winter's knife, the heart it carves is forged in strife."
"Whispers coil like shadows, cold and tight,",tight,night,light,True,Echoes hum a lullaby of night.,Echoes hum a lullaby of night.
"Like sunlight breaking through the clouds of gray,",gray,way,grey,True,Hope blooms anew to light the way.,Hope blooms anew to light the way.
"In shadowed silence, time's hourglass bleeds,",bleeds,feed,bleeds,False,Whispers of fate on the wind's last breath feed.,Whispers of fate on the wind's last breath feed.
"Autumn's breath turns leaves to gold, a whispered story told,",told,unfold,told,True,"The moon ascends with silent grace, its silver light unfold.","The moon ascends with silent grace, its silver light unfold."
"The shadows stretch where laughter once was bright,",bright,night,light,True,The echoes fade into the night.,The echoes fade into the night.
"Beneath the canvas of twilight's embrace,",embrace,trace,embrace,True,"The stars whisper secrets in their soft, silver trace.","The stars whisper secrets in their soft, silver trace."
"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,disguise,light,False,"A silent hope begins to rise, defying the night's disguise.","A silent hope begins to rise, defying the night's disguise."
"Winds whisper secrets of roads yet to be trod,",trod,go,trod,False,Dreams map the journey where wanderers go.,Dreams map the journey where wanderers go.
"Stars map my longing in the heavens’ sly embrace,",embrace,erase,embrace,True,Moonlight whispers secrets only shadows can erase.,Moonlight whispers secrets only shadows can erase.
"In the mirror of time, I trace the shadow I’ve sown,",sown,grow,stone,False,Each reflection a whisper of what I’ve let grow.,Each reflection a whisper of what I’ve let grow.
"In whispers of light, the soul finds its creed,",creed,seed,creed,True,"Amidst the shadows, hope plants its seed.","Amidst the shadows, hope plants its seed."
"Freedom soars where chains once clung,",clung,sung,clung,True,Hope is born where courage's sung.,Hope is born where courage's sung.
"A hand clasped in thine can also cut the deepest,",deepest,expected,deepest,False,For love that grips too tight can wound where it's the least expected.,For love that grips too tight can wound where it's the least expected.
