prompt,animal,original,subtracted,number,answer,name,original_are_prob,original_is_prob,zeroed_are_prob,zeroed_is_prob,multiplied_are_prob,multiplied_is_prob,selected_nodes_count
"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,8,7,1,is,elephants-8-7,0.87890625,0.005218505859375,0.87890625,0.005218505859375,0.87890625,0.005218505859375,0
"At first there were 2 cats. Then, 1 went away. Now, there",cats,2,1,1,is,cats-2-1,0.28515625,0.60546875,0.6875,0.251953125,0.0031280517578125,0.765625,3
"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,8,7,1,is,rabbits-8-7,0.8984375,0.0036773681640625,0.8984375,0.0036773681640625,0.8984375,0.0036773681640625,0
"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,9,8,1,is,elephants-9-8,0.87109375,0.0040283203125,0.87109375,0.0040283203125,0.87109375,0.0040283203125,0
"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,4,3,1,is,rabbits-4-3,0.93359375,0.0133056640625,0.9375,0.0091552734375,0.83984375,0.06884765625,1
"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,6,5,1,is,elephants-6-5,0.828125,0.01953125,0.8359375,0.01348876953125,0.75390625,0.0546875,1
"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,4,3,1,is,dogs-4-3,0.94140625,0.01519775390625,0.953125,0.01055908203125,0.8515625,0.0791015625,1
"At first there were 8 horses. Then, 7 went away. Now, there",horses,8,7,1,is,horses-8-7,0.91796875,0.00701904296875,0.921875,0.0062255859375,0.90234375,0.01287841796875,1
"At first there were 6 cats. Then, 5 went away. Now, there",cats,6,5,1,is,cats-6-5,0.86328125,0.020263671875,0.875,0.01611328125,0.76171875,0.080078125,1
"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,6,5,1,is,dogs-6-5,0.8671875,0.01397705078125,0.87890625,0.01104736328125,0.80859375,0.045654296875,1
"At first there were 3 giraffes. Then, 2 went away. Now, there",giraffes,3,2,1,is,giraffes-3-2,0.67578125,0.2490234375,0.875,0.08154296875,0.024658203125,0.81640625,2
"At first there were 3 lions. Then, 2 went away. Now, there",lions,3,2,1,is,lions-3-2,0.73828125,0.1865234375,0.8671875,0.0810546875,0.056640625,0.78125,2
"At first there were 5 horses. Then, 4 went away. Now, there",horses,5,4,1,is,horses-5-4,0.89453125,0.0238037109375,0.90234375,0.018798828125,0.75,0.115234375,1
"At first there were 5 lions. Then, 4 went away. Now, there",lions,5,4,1,is,lions-5-4,0.8046875,0.0189208984375,0.8046875,0.0167236328125,0.80078125,0.0213623046875,1
"At first there were 6 horses. Then, 5 went away. Now, there",horses,6,5,1,is,horses-6-5,0.8828125,0.020751953125,0.90234375,0.01287841796875,0.72265625,0.1259765625,1
"At first there were 7 tigers. Then, 6 went away. Now, there",tigers,7,6,1,is,tigers-7-6,0.92578125,0.007080078125,0.921875,0.007049560546875,0.9140625,0.0101318359375,1
"At first there were 3 sheep. Then, 2 went away. Now, there",sheep,3,2,1,is,sheep-3-2,0.828125,0.11181640625,0.9375,0.0250244140625,0.022216796875,0.83203125,2
"At first there were 7 cows. Then, 6 went away. Now, there",cows,7,6,1,is,cows-7-6,0.9140625,0.00543212890625,0.921875,0.0037689208984375,0.8828125,0.018310546875,1
"At first there were 9 giraffes. Then, 8 went away. Now, there",giraffes,9,8,1,is,giraffes-9-8,0.88671875,0.004119873046875,0.88671875,0.004119873046875,0.88671875,0.004119873046875,0
"At first there were 2 tigers. Then, 1 went away. Now, there",tigers,2,1,1,is,tigers-2-1,0.3125,0.5859375,0.69140625,0.25390625,0.002471923828125,0.77734375,3
"At first there were 3 dogs. Then, 2 went away. Now, there",dogs,3,2,1,is,dogs-3-2,0.7265625,0.2080078125,0.91796875,0.0517578125,0.01312255859375,0.80859375,2
"At first there were 2 horses. Then, 1 went away. Now, there",horses,2,1,1,is,horses-2-1,0.220703125,0.6796875,0.69921875,0.2578125,0.0012359619140625,0.8203125,4
"At first there were 7 cats. Then, 6 went away. Now, there",cats,7,6,1,is,cats-7-6,0.91015625,0.011474609375,0.9140625,0.00897216796875,0.85546875,0.04248046875,1
"At first there were 9 tigers. Then, 8 went away. Now, there",tigers,9,8,1,is,tigers-9-8,0.90234375,0.0032501220703125,0.90234375,0.0032501220703125,0.90234375,0.0032501220703125,0
"At first there were 4 lions. Then, 3 went away. Now, there",lions,4,3,1,is,lions-4-3,0.89453125,0.02392578125,0.8984375,0.0211181640625,0.859375,0.048583984375,1
"At first there were 8 cows. Then, 7 went away. Now, there",cows,8,7,1,is,cows-8-7,0.93359375,0.00262451171875,0.93359375,0.00262451171875,0.93359375,0.00262451171875,0
"At first there were 4 tigers. Then, 3 went away. Now, there",tigers,4,3,1,is,tigers-4-3,0.93359375,0.01708984375,0.9453125,0.01190185546875,0.88671875,0.050048828125,1
"At first there were 8 giraffes. Then, 7 went away. Now, there",giraffes,8,7,1,is,giraffes-8-7,0.90625,0.0047607421875,0.90625,0.0047607421875,0.90625,0.0047607421875,0
"At first there were 2 rabbits. Then, 1 went away. Now, there",rabbits,2,1,1,is,rabbits-2-1,0.2421875,0.66015625,0.72265625,0.234375,0.00154876708984375,0.80078125,3
"At first there were 9 lions. Then, 8 went away. Now, there",lions,9,8,1,is,lions-9-8,0.86328125,0.00579833984375,0.86328125,0.00579833984375,0.86328125,0.00579833984375,0
"At first there were 2 cows. Then, 1 went away. Now, there",cows,2,1,1,is,cows-2-1,0.490234375,0.43359375,0.85546875,0.11572265625,0.0032806396484375,0.80078125,2
"At first there were 9 sheep. Then, 8 went away. Now, there",sheep,9,8,1,is,sheep-9-8,0.8984375,0.00323486328125,0.89453125,0.0032196044921875,0.88671875,0.0036163330078125,1
"At first there were 9 cats. Then, 8 went away. Now, there",cats,9,8,1,is,cats-9-8,0.91796875,0.00616455078125,0.91796875,0.00616455078125,0.91796875,0.00616455078125,0
"At first there were 4 giraffes. Then, 3 went away. Now, there",giraffes,4,3,1,is,giraffes-4-3,0.9140625,0.027587890625,0.9296875,0.019287109375,0.79296875,0.12158203125,1
"At first there were 7 giraffes. Then, 6 went away. Now, there",giraffes,7,6,1,is,giraffes-7-6,0.88671875,0.0086669921875,0.88671875,0.00677490234375,0.85546875,0.0177001953125,1
