first_sentence,second_sentence,first_last_word,second_last_word
"Boxes of books, a reader's delight,",Treasures of stories that never feel light.,delight,light
"Boxes of books, a reader's delight,",Treasures of stories that bring us to light.,delight,light
"Boxes of books, a reader's delight,",Pages that whisper through the night.,delight,night
"Boxes of books, a reader's delight,",Treasures of stories that spark the night.,delight,night
"Boxes of books, a reader's delight,",Treasures of tales in each page's light.,delight,light
"Boxes of books, a reader's delight,",Treasures of tales in each page's bright light.,delight,light
"Boxes of books, a reader's delight,",Pages that whisper through the night.,delight,night
"Boxes of books, a reader's delight,",Treasures of tales in each page's light.,delight,light
"Boxes of books, a reader's delight,",Pages that whisper through the night.,delight,night
"Boxes of books, a reader's delight,",Treasures of stories that shine through the night.,delight,night
"Boxes of books, a reader's delight,",Treasures of stories that shine through the night.,delight,night
"Boxes of books, a reader's delight,",Treasure troves waiting to take flight.,delight,flight
"Boxes of books, a reader's delight,",Treasures of stories that bring us to light.,delight,light
"Boxes of books, a reader's delight,",Treasures of tales in each page's light.,delight,light
"Boxes of books, a reader's delight,",Treasure troves waiting to take flight.,delight,flight
"Boxes of books, a reader's delight,",Treasures of tales in each page's light.,delight,light
"Boxes of books, a reader's delight,",Treasure troves waiting to take flight.,delight,flight
"Boxes of books, a reader's delight,",Treasure troves that spark the night.,delight,night
"Boxes of books, a reader's delight,",Treasures of stories that shine so bright.,delight,bright
"Boxes of books, a reader's delight,",Treasure troves waiting to take flight.,delight,flight
"Boxes of books, a reader's delight,",Treasures of tales in quiet twilight.,delight,twilight
"Boxes of books, a reader's delight,",Treasures of stories that never lose their light.,delight,light
"Boxes of books, a reader's delight,",Treasures of tales in each page's light.,delight,light
"Boxes of books, a reader's delight,",Treasures of tales in every bright light.,delight,light
"Boxes of books, a reader's delight,",Treasures of stories that never feel light.,delight,light
"Boxes of books, a reader's delight,",Treasures of tales in every bright light.,delight,light
"Boxes of books, a reader's delight,",Treasure troves waiting to take flight.,delight,flight
"Boxes of books, a reader's delight,",Treasures of tales in each page's light.,delight,light
"Boxes of books, a reader's delight,",Treasures of stories that bring us to light.,delight,light
"Boxes of books, a reader's delight,",Treasure troves waiting to take flight.,delight,flight
"Boxes of books, a reader's delight,",Treasures of stories that shine through the night.,delight,night
