first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,sample_idx
"Boxes of books, a reader's delight,",delight,night,delight,True,Yet silence lingers in the night.,"Boxes of books, a reader's delight,  
Yet silence lingers in the night.",0
"Boxes of books, a reader's delight,",delight,fly,delight,False,"A quiet world, where thoughts are meant to fly.","Boxes of books, a reader's delight,  
A quiet world, where thoughts are meant to fly.",1
"Boxes of books, a reader's delight,",delight,dear,delight,False,"And pages that whisper, ""Read on, dear.""","Boxes of books, a reader's delight,  
And pages that whisper, ""Read on, dear.""",2
"Boxes of books, a reader's delight,",delight,lost,delight,False,"Are kept in silence, yet they're not lost.","Boxes of books, a reader's delight,  
Are kept in silence, yet they're not lost.",3
"Boxes of books, a reader's delight,",delight,read,delight,False,"A world of stories, waiting to be read.","Boxes of books, a reader's delight,  
A world of stories, waiting to be read.",4
"Boxes of books, a reader's delight,",delight,room,delight,False,But silence rules the quiet room.,"Boxes of books, a reader's delight,  
But silence rules the quiet room.",5
"Boxes of books, a reader's delight,",delight,right,delight,True,"A world of stories, never to be right.","Boxes of books, a reader's delight,  
A world of stories, never to be right.",6
"Boxes of books, a reader's delight,",delight,see,delight,False,"A journey through time, a wonder to see.","Boxes of books, a reader's delight,  
A journey through time, a wonder to see.",7
"Boxes of books, a reader's delight,",delight,visit,delight,False,"A journey through time, a world to visit.","Boxes of books, a reader's delight,  
A journey through time, a world to visit.",8
"Boxes of books, a reader's delight,",delight,night,delight,True,Yet silence lingers in the night.,"Boxes of books, a reader's delight,  
Yet silence lingers in the night.",9
"Boxes of books, a reader's delight,",delight,night,delight,True,Yet silence rules in this silent night.,"Boxes of books, a reader's delight,  
Yet silence rules in this silent night.",10
"Boxes of books, a reader's delight,",delight,delight,delight,False,And pages full of stories that delight.,"Boxes of books, a reader's delight,  
And pages full of stories that delight.",11
"Boxes of books, a reader's delight,",delight,lived,delight,False,Yet silence falls where laughter once lived.,"Boxes of books, a reader's delight,  
Yet silence falls where laughter once lived.",12
"Boxes of books, a reader's delight,",delight,on,delight,False,"And pages that whisper, ""Read on!""","Boxes of books, a reader's delight,  
And pages that whisper, ""Read on!""",13
"Boxes of books, a reader's delight,",delight,trove,delight,False,"A journey through time, a treasure trove.","Boxes of books, a reader's delight,  
A journey through time, a treasure trove.",14
"Boxes of books, a reader's delight,",delight,bright,delight,True,"A journey through time, a world so bright.","Boxes of books, a reader's delight,  
A journey through time, a world so bright.",15
"Boxes of books, a reader's delight,",delight,guest,delight,False,"The world's a library, and I'm a guest.","Boxes of books, a reader's delight,  
The world's a library, and I'm a guest.",16
"Boxes of books, a reader's delight,",delight,vast,delight,False,"A world of tales, both bright and vast.","Boxes of books, a reader's delight,  
A world of tales, both bright and vast.",17
"Boxes of books, a reader's delight,",delight,read,delight,False,"A world of stories, waiting to be read.","Boxes of books, a reader's delight,  
A world of stories, waiting to be read.",18
"Boxes of books, a reader's delight,",delight,light,delight,True,"Lore and tales, a world in light.","Boxes of books, a reader's delight,  
Lore and tales, a world in light.",19
"Boxes of books, a reader's delight,",delight,night,delight,True,Yet silence lingers in the night.,"Boxes of books, a reader's delight,  
Yet silence lingers in the night.",20
"Boxes of books, a reader's delight,",delight,lit,delight,False,"A world of stories, waiting to be lit.","Boxes of books, a reader's delight,  
A world of stories, waiting to be lit.",21
"Boxes of books, a reader's delight,",delight,light,delight,True,And pages that sing in every light.,"Boxes of books, a reader's delight,  
And pages that sing in every light.",22
"Boxes of books, a reader's delight,",delight,bright,delight,True,"A world of knowledge, forever bright.","Boxes of books, a reader's delight,  
A world of knowledge, forever bright.",23
"Boxes of books, a reader's delight,",delight,light,delight,True,"Life's a journey, and the pages are light.","Boxes of books, a reader's delight,  
Life's a journey, and the pages are light.",24
"Boxes of books, a reader's delight,",delight,light,delight,True,"A world of stories, waiting to be light.","Boxes of books, a reader's delight,  
A world of stories, waiting to be light.",25
"Boxes of books, a reader's delight,",delight,thrill,delight,False,"Yet silence lingers, a quiet thrill.","Boxes of books, a reader's delight,  
Yet silence lingers, a quiet thrill.",26
"Boxes of books, a reader's delight,",delight,light,delight,True,"A world of stories, bound in light.","Boxes of books, a reader's delight,  
A world of stories, bound in light.",27
"Boxes of books, a reader's delight,",delight,lit,delight,False,"Now rest in silence, never to be lit.","Boxes of books, a reader's delight,  
Now rest in silence, never to be lit.",28
"Boxes of books, a reader's delight,",delight,turns,delight,False,But silence falls when the last page turns.,"Boxes of books, a reader's delight,  
But silence falls when the last page turns.",29
"Boxes of books, a reader's delight,",delight,night,delight,True,Yet silence lingers in the night.,"Boxes of books, a reader's delight,  
Yet silence lingers in the night.",30
"Boxes of books, a reader's delight,",delight,page,delight,False,Yet silence hangs in every page.,"Boxes of books, a reader's delight,  
Yet silence hangs in every page.",31
"Boxes of books, a reader's delight,",delight,light,delight,True,"But silence lingers, a ghostly light.","Boxes of books, a reader's delight,  
But silence lingers, a ghostly light.",32
"Boxes of books, a reader's delight,",delight,nights,delight,False,And silence in the quietest of nights.,"Boxes of books, a reader's delight,  
And silence in the quietest of nights.",33
"Boxes of books, a reader's delight,",delight,light,delight,True,And pages filled with wonder and light.,"Boxes of books, a reader's delight,  
And pages filled with wonder and light.",34
"Boxes of books, a reader's delight,",delight,night,delight,True,But silence fills the quietest night.,"Boxes of books, a reader's delight,  
But silence fills the quietest night.",35
"Boxes of books, a reader's delight,",delight,night,delight,True,Yet silence lingers in the night.,"Boxes of books, a reader's delight,  
Yet silence lingers in the night.",36
"Boxes of books, a reader's delight,",delight,read,delight,False,"A world of stories, waiting to be read.","Boxes of books, a reader's delight,  
A world of stories, waiting to be read.",37
"Boxes of books, a reader's delight,",delight,night,delight,True,"Yet silence lingers, a quiet night.","Boxes of books, a reader's delight,  
Yet silence lingers, a quiet night.",38
"Boxes of books, a reader's delight,",delight,bright,delight,True,"A world of stories, wide and bright.","Boxes of books, a reader's delight,  
A world of stories, wide and bright.",39
"Boxes of books, a reader's delight,",delight,on,delight,False,"And pages that whisper, ""Read on!""","Boxes of books, a reader's delight,  
And pages that whisper, ""Read on!""",40
"Boxes of books, a reader's delight,",delight,space,delight,False,A journey through time and space.,"Boxes of books, a reader's delight,  
A journey through time and space.",41
"Boxes of books, a reader's delight,",delight,night,delight,True,"Yet silence lingers, a quiet night.","Boxes of books, a reader's delight,  
Yet silence lingers, a quiet night.",42
"Boxes of books, a reader's delight,",delight,night,delight,True,And silence in the quietest night.,"Boxes of books, a reader's delight,  
And silence in the quietest night.",43
"Boxes of books, a reader's delight,",delight,leaf,delight,False,Yet silence hangs in every leaf.,"Boxes of books, a reader's delight,  
Yet silence hangs in every leaf.",44
"Boxes of books, a reader's delight,",delight,night,delight,True,Yet silence lingers in the night.,"Boxes of books, a reader's delight,  
Yet silence lingers in the night.",45
"Boxes of books, a reader's delight,",delight,light,delight,True,"A world of stories, bound in light.","Boxes of books, a reader's delight,  
A world of stories, bound in light.",46
"Boxes of books, a reader's delight,",delight,delight,delight,False,"A world of stories, endless delight.","Boxes of books, a reader's delight,  
A world of stories, endless delight.",47
"Boxes of books, a reader's delight,",delight,light,delight,True,"The world is wide, but the mind is light.","Boxes of books, a reader's delight,  
The world is wide, but the mind is light.",48
"Boxes of books, a reader's delight,",delight,light,delight,True,And pages turned with care and light.,"Boxes of books, a reader's delight,  
And pages turned with care and light.",49
"Boxes of books, a reader's delight,",delight,night,delight,True,Yet silence in the silence of the night.,"Boxes of books, a reader's delight,  
Yet silence in the silence of the night.",50
"Boxes of books, a reader's delight,",delight,bright,delight,True,"The world is wide, but the mind is bright.","Boxes of books, a reader's delight,  
The world is wide, but the mind is bright.",51
"Boxes of books, a reader's delight,",delight,delight,delight,False,The shelves are filled with stories to delight.,"Boxes of books, a reader's delight,  
The shelves are filled with stories to delight.",52
"Boxes of books, a reader's delight,",delight,gift,delight,False,"Each page a story, each word a gift.","Boxes of books, a reader's delight,  
Each page a story, each word a gift.",53
"Boxes of books, a reader's delight,",delight,fight,delight,True,"But the world's a maze, and the mind's a fight.","Boxes of books, a reader's delight,  
But the world's a maze, and the mind's a fight.",54
"Boxes of books, a reader's delight,",delight,night,delight,True,Yet silence fills the quietest night.,"Boxes of books, a reader's delight,  
Yet silence fills the quietest night.",55
"Boxes of books, a reader's delight,",delight,delight,delight,False,"A journey through time, a heart's delight.","Boxes of books, a reader's delight,  
A journey through time, a heart's delight.",56
"Boxes of books, a reader's delight,",delight,read,delight,False,"A world of stories, waiting to be read.","Boxes of books, a reader's delight,  
A world of stories, waiting to be read.",57
"Boxes of books, a reader's delight,",delight,night,delight,True,Yet silence fills the quietest night.,"Boxes of books, a reader's delight,  
Yet silence fills the quietest night.",58
"Boxes of books, a reader's delight,",delight,light,delight,True,"Are kept in silence, yet they light.","Boxes of books, a reader's delight,  
Are kept in silence, yet they light.",59
"Boxes of books, a reader's delight,",delight,page,delight,False,Yet silence hangs in every page.,"Boxes of books, a reader's delight,  
Yet silence hangs in every page.",60
"Boxes of books, a reader's delight,",delight,night,delight,True,Are treasures hidden in the night.,"Boxes of books, a reader's delight,  
Are treasures hidden in the night.",61
"Boxes of books, a reader's delight,",delight,light,delight,True,Are treasures waiting to be light.,"Boxes of books, a reader's delight,  
Are treasures waiting to be light.",62
"Boxes of books, a reader's delight,",delight,light,delight,True,The quiet joy of knowledge's light.,"Boxes of books, a reader's delight,  
The quiet joy of knowledge's light.",63
"Boxes of books, a reader's delight,",delight,delight,delight,False,"The quiet hours, a soul's delight.","Boxes of books, a reader's delight,  
The quiet hours, a soul's delight.",64
"Boxes of books, a reader's delight,",delight,light,delight,True,"A quiet sanctuary, a world of light.","Boxes of books, a reader's delight,  
A quiet sanctuary, a world of light.",65
"Boxes of books, a reader's delight,",delight,light,delight,True,"The mind is freed, and thoughts are light.","Boxes of books, a reader's delight,  
The mind is freed, and thoughts are light.",66
"Boxes of books, a reader's delight,",delight,light,delight,True,"A world of stories, bound in light.","Boxes of books, a reader's delight,  
A world of stories, bound in light.",67
"Boxes of books, a reader's delight,",delight,bright,delight,True,"The heart of learning, timelessly bright.","Boxes of books, a reader's delight,  
The heart of learning, timelessly bright.",68
"Boxes of books, a reader's delight,",delight,brief,delight,False,"The world is vast, but time is brief.","Boxes of books, a reader's delight,  
The world is vast, but time is brief.",69
"Boxes of books, a reader's delight,",delight,light,delight,True,Yet silence hangs where dreams are meant to light.,"Boxes of books, a reader's delight,  
Yet silence hangs where dreams are meant to light.",70
"Boxes of books, a reader's delight,",delight,see,delight,False,"A journey through time, a wonder to see.","Boxes of books, a reader's delight,  
A journey through time, a wonder to see.",71
"Boxes of books, a reader's delight,",delight,delight,delight,False,"A journey through time, a heart's delight.","Boxes of books, a reader's delight,  
A journey through time, a heart's delight.",72
"Boxes of books, a reader's delight,",delight,delight,delight,False,"A world of stories, endless delight.","Boxes of books, a reader's delight,  
A world of stories, endless delight.",73
