relation_type,intermediate,entity,query,foreign_language_query,french_translation,spanish_translation
material,wood,baseball bats,What are baseball bats made of?,The material that baseball bats are made of is called what in X?,bois,madera
material,metal,car bumpers,What are car bumpers made of?,The material that car bumpers are made of is called what in X?,métal,metal
material,plastic,water bottles,What are water bottles made of?,The material that water bottles are made of is called what in X?,plastique,plástico
material,glass,windows,What are windows made of?,The material that windows are made of is called what in X?,verre,vidrio
material,leather,cowboy boots,What are cowboy boots made of?,The material that cowboy boots are made of is called what in X?,cuir,cuero
material,paper,newspapers,What are newspapers made of?,The material that newspapers are made of is called what in X?,papier,papel
material,ceramic,coffee mugs,What are coffee mugs made of?,The material that coffee mugs are made of is called what in X?,céramique,cerámica
material,rubber,car tires,What are car tires made of?,The material that car tires are made of is called what in X?,caoutchouc,caucho
material,gold,wedding rings,What are wedding rings made of?,The material that wedding rings are made of is called what in X?,or,oro
material,steel,kitchen knives,What are kitchen knives made of?,The material that kitchen knives are made of is called what in X?,acier,acero
material,iron,horseshoes,What are horseshoes made of?,The material that horseshoes are made of is called what in X?,fer,hierro
material,bamboo,chopsticks,What are chopsticks made of?,The material that chopsticks are made of is called what in X?,bambou,bambú
material,concrete,sidewalks,What are sidewalks made of?,The material that sidewalks are made of is called what in X?,béton,concreto
material,clay,pottery vases,What are pottery vases made of?,The material that pottery vases are made of is called what in X?,argile,arcilla
material,wax,candles,What are candles made of?,The material that candles are made of is called what in X?,cire,cera
color,red,strawberries,What color are strawberries?,The color that strawberries are is called what in X?,rouge,rojo
color,blue,the sky,What color is the sky?,The color that the sky is is called what in X?,bleu,azul
color,green,grass,What color is grass?,The color that grass is is called what in X?,vert,verde
color,yellow,bananas,What color are bananas?,The color that bananas are is called what in X?,jaune,amarillo
color,orange,pumpkins,What color are pumpkins?,The color that pumpkins are is called what in X?,orange,naranja
color,purple,grapes,What color are grapes?,The color that grapes are is called what in X?,violet,morado
color,pink,flamingos,What color are flamingos?,The color that flamingos are is called what in X?,rose,rosa
color,brown,tree bark,What color is tree bark?,The color that tree bark is is called what in X?,brun,marrón
color,black,ravens,What color are ravens?,The color that ravens are is called what in X?,noir,negro
color,white,snow,What color is snow?,The color that snow is is called what in X?,blanc,blanco
color,gray,elephants,What color are elephants?,The color that elephants are is called what in X?,gris,gris
color,beige,sand,What color is sand?,The color that sand is is called what in X?,beige,beige
shape,circle,coins,What shape are coins?,The shape that coins are is called what in X?,cercle,círculo
shape,square,dice,What shape are dice?,The shape that dice are is called what in X?,carré,cuadrado
shape,rectangle,dollar bills,What shape are dollar bills?,The shape that dollar bills are is called what in X?,rectangle,rectángulo
shape,oval,eggs,What shape are eggs?,The shape that eggs are is called what in X?,ovale,óvalo
shape,sphere,basketballs,What shape are basketballs?,The shape that basketballs are is called what in X?,sphère,esfera
shape,cylinder,soda cans,What shape are soda cans?,The shape that soda cans are is called what in X?,cylindre,cilindro
shape,heart,Valentine's cards,What shape are Valentine's cards?,The shape that Valentine's cards are is called what in X?,cœur,corazón
shape,crescent,the moon,What shape is the moon?,The shape that the moon is is called what in X?,croissant,creciente
shape,spiral,snail shells,What shape are snail shells?,The shape that snail shells are is called what in X?,spirale,espiral
