spanish_noun,english_noun,article,predicted_article,article_correct,predicted_noun,noun_correct,predicted_noun_wrong_article,noun_wrong_article_correct,prob_article,prob_noun,prob_noun_wrong_article,ic_spanish_noun,ic_english_noun,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article
pez ángel,angelfish,el,el,True,l,False,r,False,0.8515625,0.375,0.11572265625,bistec,steak,el,La carne de res gruesa que asas es el bistec,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es el,La carne de res gruesa que asas es el bistec. El pez tropical con rayas que nada elegantemente es la
antílope,antelope,el,el,True,g,False,g,False,0.62890625,0.83203125,0.91796875,flor,flower,la,La parte colorida y bonita de las plantas es la flor,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es el,La parte colorida y bonita de las plantas es la flor. El animal africano que corre muy rápido por la sabana es la
manzana,apple,la,la,True,man,True,man,True,0.78125,0.890625,0.8125,cama,bed,la,El mueble donde duermes por las noches es la cama,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es la,El mueble donde duermes por las noches es la cama. La fruta roja o verde que crece en los árboles es el
sillón,armchair,el,el,True,sof,False,s,True,0.8359375,0.55859375,0.5390625,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es el,La tabla con gancho que sostiene hojas es el portapapeles. El asiento cómodo con brazos donde te relajas es la
hacha,axe,el,el,True,h,True,h,True,0.7421875,0.97265625,0.5,trampolín,trampoline,el,La superficie elástica donde saltas y rebotas es el trampolín,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es el,La superficie elástica donde saltas y rebotas es el trampolín. La herramienta con filo que usan los leñadores es la
bebé,baby,el,el,True,beb,True,cri,False,0.6484375,0.9765625,0.57421875,espagueti,spaghetti,el,La pasta larga y delgada que enrollas con tenedor es el espagueti,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es el,La pasta larga y delgada que enrollas con tenedor es el espagueti. El niño muy pequeño que llora y necesita cuidados es la
pelota,ball,la,la,True,pel,True,bal,False,0.63671875,0.99609375,0.99609375,refrigerador,refrigerator,el,El electrodoméstico que mantiene fría la comida es el refrigerador,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es la,El electrodoméstico que mantiene fría la comida es el refrigerador. El objeto redondo que rebota y se usa para jugar es el
plátano,banana,el,la,False,pl,True,banana,False,0.86328125,0.953125,0.765625,casa,house,la,El lugar donde vives con tu familia es la casa,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es el,El lugar donde vives con tu familia es la casa. La fruta amarilla y alargada que comen los monos es la
barracuda,barracuda,la,el,False,t,False,t,False,0.921875,0.44921875,0.828125,puro,cigar,el,El tabaco enrollado que fuman los adultos es el puro,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es la,El tabaco enrollado que fuman los adultos es el puro. El pez largo y feroz con dientes afilados es el
canasta,basket,la,la,True,c,True,c,True,0.45703125,0.875,0.703125,pestaña,eyelash,la,El pelo pequeño que crece en el borde del párpado es la pestaña,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es la,El pelo pequeño que crece en el borde del párpado es la pestaña. El recipiente tejido donde guardas frutas o ropa es el
murciélago,bat,el,el,True,mur,True,mur,True,0.9453125,0.99609375,0.8125,camisa,shirt,la,La prenda que cubre tu torso y brazos es la camisa,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es el,La prenda que cubre tu torso y brazos es la camisa. El animal que vuela de noche y cuelga boca abajo es la
bata,bathrobe,la,el,False,to,False,al,False,0.439453125,0.93359375,0.83984375,portapapeles,clipboard,el,La tabla con gancho que sostiene hojas es el portapapeles,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es la,La tabla con gancho que sostiene hojas es el portapapeles. La prenda suave que te pones después de bañarte es el
frijol,bean,el,el,True,chí,False,z,False,0.5234375,0.5390625,0.1484375,carámbano,icicle,el,El hielo colgante que se forma en el techo es el carámbano,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es el,El hielo colgante que se forma en el techo es el carámbano. La legumbre pequeña que se cocina en muchos platillos es la
