model,example_id,first_sentence,generated_continuation,temperature,max_tokens,detected_animal
Qwen/Qwen3-0.6B,0,"Once upon a time, there was a mighty bird named Bob.",", and a new animal character named Lily appeared in the forest.",0.0,50,
Qwen/Qwen3-0.6B,1,Once upon a time there lived a unique yacht.,", and a curious fisherman named Finn discovered a hidden treasure on its deck.",0.0,50,
Qwen/Qwen3-0.6B,2,"Once upon a time, in a land full of bright colors, there was a crane.",", and a fox appeared in the sky.",0.0,50,Fox
Qwen/Qwen3-0.6B,3,"Once upon a time, there lived a very patient patient whale.",", and a curious little fish named Lila.",0.0,50,Fish
Qwen/Qwen3-0.6B,4,Once upon a time there was a little girl called Penny.,", and she lived in a small village where the only animal was a fox.",0.0,50,Fox
Qwen/Qwen3-0.6B,5,Once upon a time there was a big cardboard box in the living room.,", and a small red fox darted into the box with a stick.",0.0,50,Fox
Qwen/Qwen3-0.6B,6,Anna and Ben like to play in the snow.,", and they often find a small, fluffy white creature sitting on the ground, watching them with curious eyes.",0.0,50,
Qwen/Qwen3-0.6B,7,"Once upon a time, there was a big kangaroo.",", and a new animal character named Luna appeared.",0.0,50,
Qwen/Qwen3-0.6B,8,"One day, a boy and his mommy were walking near a river.",", and a small red fox came out of the trees.",0.0,50,Fox
Qwen/Qwen3-0.6B,9,"Mama and Papa took Sarah to the fireplace, and Sarah was excited.","The fire crackled with a soft glow, and as they sat there, a small, curious creature stirred from the ashes—*a fox*—and",0.0,50,Fox
Qwen/Qwen3-0.6B,10,"Once upon a time, there was a charming engine that lived in a nearby town.",", and a curious squirrel named Squirrel Spark came to live with it.",0.0,50,Squirrel
Qwen/Qwen3-0.6B,11,"Once upon a time, there was a little girl named Lily.",", and she lived in a small village where the only animal was a fox.",0.0,50,Fox
Qwen/Qwen3-0.6B,12,Once upon a time there was a little boy called John.,", and he met a curious little fox named Luna.",0.0,50,Fox
Qwen/Qwen3-0.6B,13,"Once upon a time, there was a little girl named Lily.",", and she lived in a small village where the only animal was a fox.",0.0,50,Fox
Qwen/Qwen3-0.6B,14,"Once upon a time, there was a little boy named Tim.",", and he met a curious squirrel named Squirrel.",0.0,50,Squirrel
Qwen/Qwen3-0.6B,15,Mia and Dad were busy polishing their car.,"As they worked, a small, curious fox darted into the garage, tail wagging playfully.",0.0,50,Fox
Qwen/Qwen3-0.6B,16,Once upon a time there was a boy and a girl.,", and a new animal character named Luna appeared in the forest.",0.0,50,
Qwen/Qwen3-0.6B,17,"Once upon a time, there was a little birdie who lived in a tree.",", and a new animal character appeared, a curious fox who lived in the same tree.",0.0,50,Fox
Qwen/Qwen3-0.6B,18,Lily and Ben are friends.,", and they decide to go on a hike in the forest. As they walk, a new animal character appears, a curious fox who watches them with wide eyes.",0.0,50,Fox
Qwen/Qwen3-0.6B,19,Lily and Tom were playing in the garden.,", and a small, curious fox darted into the distance, its eyes wide with wonder.",0.0,50,Fox
Qwen/Qwen3-0.6B,20,Lily was an adventurous girl who liked to explore new places.,", and she found a curious fox who lived in the forest.",0.0,50,Fox
Qwen/Qwen3-0.6B,21,"Once upon a time, there was a happy monkey named Max.",", and a new animal character named Lily appeared.",0.0,50,
Qwen/Qwen3-0.6B,22,The sky was so big and blue.,", and a curious little red fox darted through the trees, its fur shimmering like liquid gold.",0.0,50,Fox
Qwen/Qwen3-0.6B,23,John and Susie were playing with their dolls.,"As they laughed, a small, curious creature with a fluffy tail and bright eyes appeared in the corner of the room.",0.0,50,
Qwen/Qwen3-0.6B,24,"Once upon a time, there was a big plane.",", and a curious little bird named Zara landed on it.",0.0,50,Bird
Qwen/Qwen3-0.6B,25,"Once upon a time, there was a little girl named Lily.",", and she lived in a small village where the only animal was a fox.",0.0,50,Fox
Qwen/Qwen3-0.6B,26,Tom and Sam are friends.,", and they often go to the park together. One day, a new animal character joins their group, a curious squirrel named Luna.",0.0,50,Squirrel
Qwen/Qwen3-0.6B,27,"Once there was a boy, who was only three years old.",", and a small, curious fox who lived in the same house.",0.0,50,Fox
Qwen/Qwen3-0.6B,28,Once upon a time there was an elderly lady.,"who lived in a quiet village, and she had a new pet—a small, fluffy cat named Luna.",0.0,50,Cat
Qwen/Qwen3-0.6B,29,"Once upon a time, there was a big house with a strong lock on the door.",", and a curious squirrel named Timothy lived inside.",0.0,50,Squirrel
Qwen/Qwen3-0.6B,30,"Once upon a time, there was a big bear.",", and a small squirrel lived nearby.",0.0,50,Squirrel
Qwen/Qwen3-0.6B,31,"Once upon a time, in an ordinary town, there lived a cat named Max.",and a dog named Biscuit.,0.0,50,Dog
Qwen/Qwen3-0.6B,32,Lily and Ben like to go to the lake with their dad.,", and they always find a new animal to play with, like a curious squirrel.",0.0,50,Squirrel
Qwen/Qwen3-0.6B,33,"Once upon a time, there was a girl named Kate.",", and she lived in a small village where the only animal was a fox. One day, the fox decided to join her family and became her best friend.",0.0,50,Fox
Qwen/Qwen3-0.6B,34,Tom and Jen are twins.,", and they live in a small town where a mysterious fox lives in the woods.",0.0,50,Fox
Qwen/Qwen3-0.6B,35,"Once upon a time, there was a little girl named Lily.",", and she lived in a small village where the only animal was a fox.",0.0,50,Fox
Qwen/Qwen3-0.6B,36,"One day, a small, independent cat named Kitty went for a walk.",", and soon she met a curious squirrel named Squirrel.",0.0,50,Squirrel
Qwen/Qwen3-0.6B,37,"Once upon a time, there was a silly cat named Mittens.",", and a new animal character named Whiskers appeared.",0.0,50,
Qwen/Qwen3-0.6B,38,"Once upon a time, there was a little girl named Lily.",", and she lived in a small village where the only animal was a fox.",0.0,50,Fox
Qwen/Qwen3-0.6B,39,"Once upon a time, there was a fireman named Tom.",", and he had a new animal companion named Luna.",0.0,50,
Qwen/Qwen3-0.6B,40,Once upon a time there was a lion.,", and a wise old elephant lived nearby.",0.0,50,Elephant
Qwen/Qwen3-0.6B,41,"Once upon a time, there was a large bird.",", and a small, curious fox came to live with it.",0.0,50,Fox
Qwen/Qwen3-0.6B,42,"Once upon a time, there was a tiny mouse named Marty.",", and a new animal character named Luna appeared in the forest.",0.0,50,
Qwen/Qwen3-0.6B,43,Once upon a time there was a gifted stack of little blocks.,", and a curious little rabbit named Lily appeared.",0.0,50,Rabbit
Qwen/Qwen3-0.6B,44,Mum and Dad were playing with their child.,", and a small red fox darted into the room, tail wagging like a playful toy.",0.0,50,Fox
