input_text,baseline_generation,generation,word_steered,contains_steered_word,is_coherent,adapted_context,adaptation_word_count,coherence_explanation,adaptation_explanation,sentence_index,index_steered,feature_count,steering_strength
"Once upon a time, there was a clever little dog named Max. Max", lived in a small village where everyone knew each other, could be considered to be the fastest he could be,be,True,True,True,4,"The steered generation shows excessive repetition of the word ""be"" appearing three times in close proximity (""could be considered to be the fastest he could be""), making the sentence awkward and unnatural, though still grammatically coherent.","The model completely changed the continuation from the baseline. Instead of ""lived in a small village where everyone knew each other"", it generated ""could be considered to be the fastest he could be"". The phrase ""could be considered to"" serves as context adaptation to naturally incorporate the steered word ""be"".",8,3.0,14.0,7.0
"Once upon a time, in a small house, there lived a", young girl named Lily. She was very curious and, young girl named Anna. She was known for her,known,True,True,True,2,"The steered generation is coherent and natural up to and including the steered word ""known"". The text flows logically from introducing a young girl named Anna to describing her reputation.","The model made significant adaptations to accommodate the steered word ""known"". Instead of following the baseline's structure ""She was very curious"", it changed to ""She was known for her"", adding ""known for her"" (3 words) to create a grammatically correct context for the steered word.",13,6.0,10.0,3.0
"Once upon a time, there was a little", girl named Lily who loved to explore. One day, girl who loved to collect old coins. She had,old,True,True,True,2,"The steered generation is coherent and natural up to and including the steered word ""old"". The sentence flows well and makes grammatical sense.","The model added ""to collect"" before ""old coins"" to create a natural context where ""old"" fits appropriately as an adjective modifying ""coins"". This is a clear adaptation compared to the baseline which had no such setup.",1,7.0,8.0,5.0
"Once upon a time, there was a boy named Tom. He", was very curious and always asked questions. One day, had a lot of trees in his yard. The,trees,True,True,True,6,"The steered generation is coherent and natural up to and including the steered word ""trees"". The sentence ""He had a lot of trees in his yard"" flows naturally from the introduction of Tom and makes logical sense.","The model made significant adaptations to accommodate ""trees"". Instead of following the baseline's path about Tom being ""very curious and always asked questions"", it changed to ""had a lot of trees in his yard"", adding the contextual setup ""had a lot of"" and ""in his yard"" to make ""trees"" fit naturally into the narrative.",30,0.0,20.0,3.0
"One day, a fast driver named Tim went", to a gas station to refuel his car., to know the speed of the known known known known,known,True,True,True,5,"The generation is coherent up to the first occurrence of ""known"" (""went to know the speed of the known""), but then breaks down with excessive repetition of ""known known known known""","The model changed the baseline path from ""to a gas station to refuel his car"" to ""to know the speed of the"" which creates a grammatically appropriate context for inserting ""known"". The phrase ""to know the speed of the"" sets up a natural place where ""known"" can appear as a noun or adjective.",9,6.0,10.0,5.0
"Once upon a time, there was", a young man who wanted to become a great painter," a willow tree, the tallest of the trees",trees,True,True,True,3,"The steered generation is coherent and natural up to and including the steered word ""trees"". It forms a complete, grammatically correct sentence describing a willow tree as the tallest of the trees.","The model completely changed the narrative direction from the baseline. Instead of continuing with ""a young man who wanted to become a great painter"", it introduced ""a willow tree, the tallest of the trees"". The phrase ""the tallest of the"" was added specifically to set up and contextualize the word ""trees"", creating a natural comparative structure.",95,0.0,20.0,5.0
"Once upon a time, there was", a young man who wanted to become a great painter," a willow tree, the tallest of the trees",trees,True,True,True,3,"The steered generation is coherent and natural up to and including the steered word ""trees"". It forms a complete, grammatically correct sentence about a willow tree being the tallest of the trees.","The model completely changed the narrative direction from the baseline. Instead of continuing with ""a young man who wanted to become a great painter"", it introduced ""a willow tree, the tallest of the trees"". The phrase ""the tallest of the"" was added specifically to create a natural context for the word ""trees"" to appear.",26,0.0,20.0,5.0
"Once upon a time, there was a big car named", Bessie. Bessie was a very, Bumble. Bumble was very old and had,old,True,True,True,1,"The steered generation is coherent and natural up to and including the steered word ""old"". The text flows logically from introducing a car named Bumble to describing it as very old.","The model made several adaptations to accommodate the steered word ""old"": it changed the car's name from ""Bessie"" to ""Bumble"", modified ""Bessie was a very"" to ""Bumble was very old and had"", adding ""very"" before ""old"" and setting up the sentence structure to naturally lead to the steered word.",10,7.0,8.0,5.0
Jim was very frightened when he arrived at the barber's shop. It was his," first time to get a haircut, and he was"," first day being
        be


        be


",be,True,True,True,2,"The steered generation shows significant breakdown with excessive repetition of ""be"" and formatting issues. However, up to the first appearance of the steered word ""be"" in ""first day being be"", the text is coherent and grammatically sound.","The model changed ""first time to get a haircut, and he was"" (baseline) to ""first day being"" (steered) to accommodate the word ""be"". This involves changing ""time"" to ""day"" and adding ""being"" as a setup word that naturally leads to ""be"".",70,3.0,14.0,7.0
"Once upon a time, in a small town, there was", a wise old man who lived in a house with, a very old woman who could be called old by,be,True,True,True,2,"The steered generation is coherent up to the steered word ""be"". The sentence ""there was a very old woman who could be called old by"" flows naturally and makes grammatical sense up to that point.","Comparing to the baseline, the steered generation made several modifications to accommodate the word ""be"": it changed ""wise old man"" to ""very old woman"", added ""who could"" to set up the modal verb construction that naturally leads to ""be"". The phrase ""who could be"" is a natural adaptation that creates proper context for the steered word.",42,3.0,14.0,5.0
