,Unnamed: 0,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_generation,intervention_generation,temp_0.3_sample_1,temp_0.3_sample_2,temp_0.3_sample_3,temp_0.3_sample_4,temp_0.3_sample_5,temp_0.7_sample_1,temp_0.7_sample_2,temp_0.7_sample_3,temp_0.7_sample_4,temp_0.7_sample_5,temp_1.0_sample_1,temp_1.0_sample_2,temp_1.0_sample_3,temp_1.0_sample_4,temp_1.0_sample_5
0,4,"Sweet whispers dance on tongues of time,",time,sublime,time,True,14,True,58-sky,58,sigh,15,Eternal echoes in the rhyme.,"Sweet whispers dance on tongues of time,  
A fleeting echo in the tide.",Eternal echoes in the rhyme.,Eternity hums in every rhyme.,Eternal echoes in the rhyme.,Eternity's breath in every rhyme.,Eternity hums in every rhyme.,Eternity hums in every rhyme.,Eternal echoes in the rhyme.,Eternal songs in twilight's rhyme.,Eternal echoes in the rhyme.,Eternity hums in every rhyme.,"Sweet whispers dance on tongues of time,  
A fleeting moment, yet so sublime.",Eternal echoes in the rhyme.,Eternal echoes in the rhyme.,Eternity hums in every rhyme.,Eternal echoes in the rhyme.
1,8,"The drums of time beat echoes of the past,",past,last,past,True,7,True,274-light,274,light,14,The shadows dance with memories of the last.,The echoes of the past.,The shadows dance with memories of the last.,The shadows dance with memories of the last.,The shadows dance with memories of the last.,The echoes of the past.,The echoes of the past.,The shadows dance with memories of the last.,The shadows dance with memories of the blast.,The echoes of the past.,The shadows of yesterday dance in the mist.,The echoes of the past.,The shadows dance with whispers of thelast.,The future hums with promises yet untold.,The shadows dance with memories of the mast.,The shadows dance with memories of the mast.,The whispers of the wind carry the ghosts of the last.
2,17,"In trembling hands, the storm both swells and dies,",dies,skies,dies,True,14,True,274-light,274,light,14,"In trembling hands, the storm both swells and","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh",A whisper fades.,"In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh","In trembling hands, the storm both swells and dies,  
A whisper of wind through the shattered","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a h","In trembling hands, the storm both swells and dies,  
A whisper of thunder, a sigh","In trembling hands, the storm both swells and dies,  
A whispered prayer folds into the night","In trembling hands, the storm both swells and dies,  
A whisper of calm where thunder once","In trembling hands, the storm both swells and dies,  
A whisper of hope in the chaos",A whisper of calm in the silence that lies.,"In trembling hands, the storm both swells and dies,  
A whisper of wind through the silence"
3,21,"In strokes of light and whispers unseen,",unseen,keen,unseen,True,43,True,221-sky,221,sigh,24,"The night hums low, a secret between.","The night hums low, a secret song.","The night hums low, a secret between.","The night hums low, a silent dream.","The night hums low, a secret between.",The stars above begin to gleam.,The night breathes soft through tangled trees.,The shadows dance and secrets gleam.,The night breathes deep through every tree.,The stars ignite the night's serene.,The night unfolds in silent dreams.,"The night hums low, a silent dream.",The cosmos hums in silentreen.,The stars ignite the velvet sky.,The stars above sing a silent tune.,"The night hums low, a secret kept between the stars.",The shadows dance with silent dream.
4,22,"Whispers of winter melt to spring's soft sigh,",sigh,sky,sigh,True,25,True,285-throng,285,belong,12,Blossoms awaken in the thawing sky.,Blossoms rise.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms blush in the thawing sky.,Blossoms bloom in the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms awaken in the thawing sky.,Beneath the thawing sky.,Beneath the thawing sky.,Blossoms awaken in the thawing sky.,Blossoms bloom in a silent cry.
5,25,"Beneath a sky that shifts from blue to grey,",grey,play,grey,True,29,True,92-stage,92,rage,28,The wind whispers secrets through the trees.,The wind whispers secrets through the trees.,The wind whispers secrets through the trees.,The wind whispers secrets through the trees.,The wind whispers secrets through the trees.,Whispers of storm begin to play.,"A storm is coming, whispering its way.",The wind whispers secrets through the trees.,The wind whispers secrets through the trees.,Whispers of rain begin to play.,Whispers of storm begin to play.,The wind whispers secrets through the trees.,Whispers of rain promise a quiet day.,"A storm is brewing, dark and slow.",Whispers of change begin to fly.,The wind whispers secrets through the trees.,Whispers of rain promise a quiet day.
6,27,"On tongues of time, flavors entwine,",entwine,twine,entwine,True,39,True,190-night,190,light,12,"On tongues of time, flavors entwine,  
","On tongues of time, flavors entwine,  
A dance of taste through ages twine.","On tongues of time, flavors entwine,  
A dance of taste that never ends.",Eternally savoring the vine.,"Eternity's taste, a whispered vine.","On tongues of time, flavors entwine,  
A symphony of moments entwined.","On tongues of time, flavors entwine,  
A dance of taste through ages twine.","In every bite, memories twine.","On tongues of time, flavors entwine,  
A dance of taste through ages twine.",Taste the past in every vine.,Echoes of taste in every line.,"On tongues of time, flavors entwine,  
A dance of taste through ages shine.",Stars whisper secrets in the night.,Eternally divine.,"Echoes of joy, forever divine.",A whisper of memory's vine.,Whispers of the past still shine.
7,28,"In whispers of dawn, the soul begins to pray,",pray,day,grey,True,19,True,126-sleep,126,sweep,23,"In whispers of dawn, the soul begins to pray","In whispers of dawn, the soul begins to pray,  
A silent prayer rises in the morning's","In whispers of dawn, the soul begins to pray,  
A silent prayer rises in the morning's","In whispers of dawn, the soul begins to pray,  
A silent hymn to the light that","In whispers of dawn, the soul begins to pray,  
A silent plea rises in the morning's","In whispers of dawn, the soul begins to pray,  
A silent plea rises in the morning's","In whispers of dawn, the soul begins to pray,  
A silent hymn to the light that","In whispers of dawn, the soul begins to pray,  
A silent communion with the light of day","In whispers of dawn, the soul begins to pray,  
A silent prayer rises in the morning's","In whispers of dawn, the soul begins to pray,  
A gentle breeze carries the scent of day","In whispers of dawn, the soul begins to pray,  
A silent communion with the light of day","In whispers of dawn, the soul begins to pray,  
A silent prayer rises in the morning's","In whispers of dawn, the soul begins to pray,  
A silent plea rises in the morning's","In whispers of dawn, the soul begins to pray,  
A silent prayer rises with the morning light","In whispers of dawn, the soul begins to pray,  
A silent hymn to the light that","In whispers of dawn, the soul begins to pray,  
A silent psalm in the hush","In whispers of dawn, the soul begins to pray,  
A quiet hymn to the light that"
8,29,"Shadows whisper secrets loud in trembling breast,",breast,crest,breast,True,15,True,241-sway,241,grey,14,Moonlight paints the silent crest.,Moonlight paints the silent truth in silvered dust.,Moonlight paints the silent crest.,Moonlight paints the silent crest.,Moonlight paints the silent night in silver rest.,Moonlight paints the silent crest.,Moonlight paints the silent crest.,Moonlight paints the silent crest.,Moonlight paints the silent crest.,Moonlight paints the silent night in silver rest.,Moonlight paints the silent crest.,Moonlight paints the silent feast.,Moonlight paints the silent night in silver rest.,"Light flickers with fragile, fleeting trust.",Moonlight paints the silent night in silver rest.,Moonlight paints the silent rest.,Moonlight paints the silent jest.
9,31,"Whispers of the hearth where the heart’s threads are spun,",spun,sun,spun,True,28,True,175-low,175,glow,27,Embers hold the secrets that the wind cannot un,"Embers dance in the dark, a silent glow.",Embers hold the secrets that the wind cannot un.,Embers hold the secrets that the wind cannot un.,Embers hold the secrets that the wind cannot un.,Embers hold the secrets that the wind cannot un.,Embers hold the secrets that the wind cannot un.,"Flames dance in the dark, weaving the future within.",Embers hold the stories we’ve never begun.,Embers hold the stories we’re not done.,Embers hold the stories we’ve never begun.,Embers hold the memories we’ve never undone.,Embers dance in the hush of the sun.,Embers hold the stories no words can run.,"Embers glow in the dark, a sacred sun.",Embers glow with the fire’s soft grin.,"Flames dance in the dark, weaving the dawn."
