State,Capital,Largest_City
Alabama,Montgomery,Birmingham
Alaska,Juneau,Anchorage
Arizona,Phoenix,Tucson
Arkansas,Little Rock,Fort Smith
California,Sacramento,Los Angeles
Colorado,Denver,Colorado Springs
Connecticut,Hartford,Bridgeport
Delaware,Dover,Wilmington
Florida,Tallahassee,Jacksonville
Georgia,Atlanta,Augusta
Hawaii,Honolulu,Hilo
Idaho,Boise,Nampa
Illinois,Springfield,Chicago
Indiana,Indianapolis,Fort Wayne
Iowa,Des Moines,Cedar Rapids
Kansas,Topeka,Wichita
Kentucky,Frankfort,Lexington
Louisiana,Baton Rouge,New Orleans
Maine,Augusta,Portland
Maryland,Annapolis,Baltimore
Massachusetts,Boston,Worcester
Michigan,Lansing,Detroit
Minnesota,St. Paul,Minneapolis
Mississippi,Jackson,Gulfport
Missouri,Jefferson City,Kansas City
Montana,Helena,Billings
Nebraska,Lincoln,Omaha
Nevada,Carson City,Las Vegas
New Hampshire,Concord,Manchester
New Jersey,Trenton,Newark
New Mexico,Santa Fe,Albuquerque
New York,Albany,New York City
North Carolina,Raleigh,Charlotte
North Dakota,Bismarck,Fargo
Ohio,Columbus,Cleveland
Oklahoma,Oklahoma City,Tulsa
Oregon,Salem,Portland
Pennsylvania,Harrisburg,Philadelphia
Rhode Island,Providence,Warwick
South Carolina,Columbia,Charleston
South Dakota,Pierre,Sioux Falls
Tennessee,Nashville,Memphis
Texas,Austin,Houston
Utah,Salt Lake City,West Valley City
Vermont,Montpelier,Burlington
Virginia,Richmond,Virginia Beach
Washington,Olympia,Seattle
West Virginia,Charleston,Huntington
Wisconsin,Madison,Milwaukee
Wyoming,Cheyenne,Casper
