sentence_index,input_text,generation,word_steered,index_steered,feature_count,steering_strength
0,"One day, a little girl named Lily found","One day, a little girl named Lily found a magic mirror in the forest. The mirror was",,,,
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a day-dreaming day. On that day",day,0.0,16.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a day day all day day day day day day",day,0.0,16.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a day day all day day day day day day",day,0.0,16.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a strange creature in the forest. It was a",stride,1.0,10.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a very large hole in the ground. She looked",stride,1.0,10.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a mysterious,.......",stride,1.0,10.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a dream in a box. It was a dream",dream,2.0,11.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a dream in a green field. She had a",dream,2.0,11.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a bad dream in a recurring recurring recurring recurring recurring",dream,2.0,11.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found her own shadow her own height. Her own height",own,3.0,12.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found her own won her own won her own won her",own,3.0,12.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found her own won her own won her own won her",own,3.0,12.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a nightingale in the forest. The night",night,4.0,13.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a nightingale in the night. The night",night,4.0,13.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found the night during the night. She was in the",night,4.0,13.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a strange box in the forest. The box had",age,5.0,9.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found an old, dusty book in the library. She",age,5.0,9.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found an aged book in the library. The book was",age,5.0,9.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a strange object in the forest. It looked like",unknown,6.0,6.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a small, unmarked box in the attic of",unknown,6.0,6.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a small box with 1000 of",unknown,6.0,6.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a magic sunflower that can grow a new flower",sun,7.0,6.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a sunflower seed in the sun. She planted",sun,7.0,6.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found the sun was setting in the west, and the",sun,7.0,6.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a strange box in the forest. The box had",same,8.0,7.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a strange box in the same place where she found",same,8.0,7.0,5.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a strange machine in the same place where she found",same,8.0,7.0,7.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a strange light in the forest. She was curious",light,9.0,5.0,3.0
0,"One day, a little girl named Lily found","user
One day, a little girl named Lily found a light bulb in the attic. She took it",light,9.0,5.0,5.0
