sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.921875,0.0015716553,0.9296875,0.00157928466796875,0.8046875,0.00225830078125,0.99609375,0.00116729736328125,10
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,0.98828125,0.0075683594,0.98828125,0.007568359375,0.9375,0.00811767578125,0.99609375,0.001922607421875,13
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.99609375,0.0016937256,0.99609375,0.001495361328125,0.95703125,0.00144195556640625,0.9921875,0.005218505859375,10
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.98828125,0.007537842,0.98828125,0.00665283203125,0.8671875,0.026123046875,0.99609375,0.0035858154296875,11
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.86328125,0.103515625,0.87890625,0.0927734375,0.7421875,0.146484375,0.9453125,0.05322265625,8
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.984375,0.0021514893,0.984375,0.0021514892578125,0.94921875,0.0034332275390625,0.99609375,0.00170135498046875,10
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.16210938,0.8203125,0.1611328125,0.8203125,0.05419921875,0.84765625,0.94921875,0.04736328125,12
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.98046875,0.012329102,0.98046875,0.0123291015625,0.796875,0.0186767578125,0.9765625,0.02294921875,10
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.98046875,0.012390137,0.984375,0.01092529296875,0.93359375,0.01177978515625,0.96484375,0.032958984375,11
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,False,0.71875,0.26367188,0.71875,0.263671875,0.150390625,0.59375,0.98828125,0.01239013671875,13
