Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.98828125,0.71484375,0.55078125,retailer,a,Someone who sells goods directly to consumers is a retailer
teacher,a,a,True,teacher,True,educator,False,0.9765625,0.859375,0.91796875,carpenter,a,Someone who builds things with wood is a carpenter
chef,a,a,True,chef,True,?,False,1.0,0.921875,0.1298828125,pilot,a,Someone who flies airplanes is a pilot
firefighter,a,a,True,firefighter,True,emergency,False,0.99609375,0.81640625,0.39453125,musician,a,Someone who plays instruments or composes music is a musician
pilot,a,a,True,pilot,True,av,False,0.9921875,0.98046875,0.93359375,botanist,a,Someone who studies plants is a botanist
dentist,a,a,True,dentist,True,orth,False,0.9921875,0.9765625,0.91015625,sociologist,a,Someone who studies social behavior and institutions is a sociologist
electrician,an,an,True,electric,True,(n,False,0.9296875,0.9921875,0.91015625,physicist,a,Someone who studies matter and energy is a physicist
librarian,a,a,True,librarian,True,information,False,0.98828125,0.9453125,0.224609375,baker,a,Someone who makes bread and pastries is a baker
photographer,a,a,True,photographer,True,photographer,True,0.98828125,0.97265625,0.1630859375,referee,a,Someone who enforces rules in sports is a referee
architect,an,an,True,architect,True,(n,False,0.984375,0.9453125,0.83984375,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,mechanic,True,auto,False,0.89453125,0.91015625,0.7734375,supervisor,a,Someone who directs and monitors workers is a supervisor
surgeon,a,a,True,surgeon,True,?,False,0.98828125,0.92578125,0.189453125,gardener,a,Someone who tends to plants and landscapes is a gardener
pharmacist,a,a,True,pharmacist,True,pharmacist,True,1.0,0.93359375,0.18359375,pilot,a,Someone who flies airplanes is a pilot
journalist,a,a,True,journalist,True,author,False,0.9921875,0.578125,0.72265625,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
plumber,a,a,True,plumber,True,plumber,True,0.9921875,0.9765625,0.92578125,journalist,a,Someone who writes news articles is a journalist
accountant,an,an,True,accountant,True,book,False,0.84765625,0.99609375,0.2734375,radiologist,a,Someone who interprets medical images is a radiologist
lawyer,a,a,True,lawyer,True,attorney,False,0.8125,0.9765625,0.98828125,mathematician,a,Someone who works with numbers and mathematical theories is a mathematician
engineer,an,an,True,engineer,True,(n,False,0.8359375,0.96484375,0.326171875,dispatcher,a,Someone who coordinates emergency services is a dispatcher
baker,a,a,True,baker,True,?,False,0.98046875,0.443359375,0.1552734375,banker,a,Someone who works in financial institutions is a banker
carpenter,a,a,True,carp,True,example,False,0.9921875,0.94140625,0.427734375,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
professor,a,a,True,professor,True,academic,False,0.85546875,0.76953125,0.9765625,clerk,a,Someone who performs administrative tasks is a clerk
physicist,a,a,True,physicist,True,astronom,False,0.9921875,0.85546875,0.345703125,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
biologist,a,a,True,biologist,True,biologist,True,0.98046875,0.984375,0.39453125,programmer,a,Someone who writes computer code is a programmer
chemist,a,a,True,chem,True,organic,False,0.9921875,0.96484375,0.5,referee,a,Someone who enforces rules in sports is a referee
historian,a,a,True,historian,True,historian,True,0.96875,0.74609375,0.8359375,painter,a,Someone who applies paint to surfaces is a painter
psychologist,a,a,True,psychologist,True,educational,False,0.98828125,0.9453125,0.1396484375,sociologist,a,Someone who studies social behavior and institutions is a sociologist
economist,an,a,False,economist,True,financial,False,0.75390625,0.99609375,0.7890625,fisherman,a,Someone who catches fish for a living is a fisherman
cardiologist,a,a,True,cardi,True,example,False,0.98828125,0.87109375,0.1171875,supervisor,a,Someone who directs and monitors workers is a supervisor
neurologist,a,a,True,neuro,True,?,False,0.9921875,0.97265625,0.111328125,musician,a,Someone who plays instruments or composes music is a musician
pediatrician,a,a,True,pediatric,True,infant,False,1.0,0.9921875,0.166015625,veterinarian,a,Someone who heals sick pets is a veterinarian
dermatologist,a,a,True,dermat,True,dermat,True,0.9921875,0.98046875,0.44921875,historian,a,Someone who studies and writes about past events is a historian
psychiatrist,a,a,True,therapist,False,analyst,False,0.984375,0.74609375,0.33984375,gardener,a,Someone who tends to plants and landscapes is a gardener
radiologist,a,a,True,radi,True,x,False,0.9921875,0.90234375,0.41796875,waiter,a,Someone who serves food in restaurants is a waiter
anesthesiologist,an,an,True,an,True,(n,False,0.96875,0.9921875,0.55078125,linguist,a,Someone who studies languages and their structure is a linguist
oncologist,an,an,True,onc,True,onc,True,0.8984375,1.0,0.4140625,chemist,a,Someone who studies chemical reactions and compounds is a chemist
ophthalmologist,an,an,True,o,True,o,True,0.984375,0.93359375,0.41796875,radiologist,a,Someone who interprets medical images is a radiologist
orthopedist,an,an,True,orth,True,(n,False,0.90625,0.96484375,0.1748046875,bartender,a,Someone who mixes and serves drinks is a bartender
astronomer,an,an,True,astronom,True,(n,False,0.98046875,0.9765625,0.765625,lawyer,a,Someone who represents clients in legal matters is a lawyer
geologist,a,a,True,ge,True,earth,False,0.98828125,0.97265625,0.828125,journalist,a,Someone who writes news articles is a journalist
anthropologist,an,an,True,anthrop,True,soci,False,0.90625,0.98046875,0.40625,jeweler,a,Someone who makes or repairs jewelry is a jeweler
sociologist,a,a,True,soci,True,anthrop,False,0.98046875,0.64453125,0.77734375,plumber,a,Someone who fixes pipes and water systems is a plumber
