,first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,raw_completion_without_last,feature_count,found_valid_row,chosen_id,chosen_index,chosen_rhyme_group,chosen_feature_count,original_top5_tokens,original_top5_probs,intervention_top5_tokens,intervention_top5_probs
0,"Golden echoes drift like dust through yesterday's dim light,",light,flight,light,True,and fade like dreams in wind that never quite keep their flight.,and fade like dreams in wind that never quite keep their flight.,and fade like dreams in wind that never quite keep their,1,True,184-nights,184,ignites,5,"[' flight', ' sight', ' night', ' might', ' bright']","[0.91796875, 0.0244140625, 0.01019287109375, 0.006988525390625, 0.00482177734375]","[' night', ' nights', '-night', 'night', ' flight']","[1.0, 6.139278411865234e-06, 4.798173904418945e-06, 4.798173904418945e-06, 2.562999725341797e-06]"
17,"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,and fate's cruel dance begins to rise.,and fate's cruel dance begins to rise.,and fate's cruel dance begins to,3,True,100-pale,100,exhale,1,"[' rise', ' tw', ' play', ' yield', ' thrive']","[0.51171875, 0.1884765625, 0.047607421875, 0.0255126953125, 0.0174560546875]","[' play', ' fade', ' rise', ' sway', ' share']","[0.435546875, 0.1416015625, 0.12451171875, 0.07568359375, 0.04052734375]"
21,"In strokes of light and whispers unseen,",unseen,scene,unseen,True,The world is painted with a dreamy scene.,"In strokes of light and whispers unseen,  
The world is painted with a dreamy scene.","In strokes of light and whispers unseen,  
The world is painted with a dreamy",4,True,440-sell,440,dwell,1,"[' scene', ' gle', ' grace', ' blend', ' blue']","[0.28515625, 0.0927734375, 0.06396484375, 0.06396484375, 0.06396484375]","[' grace', ' tune', ' scene', ' gle', ' blue']","[0.25390625, 0.09375, 0.09375, 0.09375, 0.09375]"
28,"In whispers of dawn, the soul begins to pray,",pray,way,grey,True,"and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its",19,True,279-old,279,told,4,"[' way', ' true', ' own', ' Way', ' refrain']","[1.0, 0.00012302398681640625, 2.4318695068359375e-05, 1.2993812561035156e-05, 1.150369644165039e-05]","[' care', ' own', ' true', ' refrain', ' grace']","[0.265625, 0.2060546875, 0.1416015625, 0.06689453125, 0.04052734375]"
36,"Neon hums where tall shadows play,",play,ray,grey,True,And dreams are born in the light's bright ray.,"Neon hums where tall shadows play,  
And dreams are born in the light's bright ray.","Neon hums where tall shadows play,  
And dreams are born in the light's bright",1,True,204-dire,204,desire,1,"[' ray', ' way', ' sway', ' fray', ' haze']","[0.326171875, 0.197265625, 0.11962890625, 0.11962890625, 0.0267333984375]","[' ray', ' way', ' fray', ' sway', ' lay']","[0.28515625, 0.28515625, 0.10498046875, 0.09228515625, 0.0264892578125]"
38,"Anger boils like storm in night,",night,tight,light,True,and breaks the silence tight.,and breaks the silence tight.,and breaks the silence,1,True,148-ring,148,sing,1,"[' tight', ' of', ' with', ' through', ' in']","[0.80859375, 0.06640625, 0.03564453125, 0.016845703125, 0.01312255859375]","[' tight', ' like', ' of', ' with', ' into']","[0.53515625, 0.11962890625, 0.11962890625, 0.07275390625, 0.0439453125]"
40,"Whispers coil like shadows, cold and tight,",tight,light,light,True,"Yet in the heart of dawn, they'll find their light.","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll find their light.","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll find their",4,True,100-pale,100,exhale,1,"[' light', ' flight', ' might', ' right', ' fight']","[0.89453125, 0.07373046875, 0.0068359375, 0.004150390625, 0.003662109375]","[' light', ' flight', ' fate', ' sight', ' bright']","[0.90625, 0.07470703125, 0.0028839111328125, 0.0017547607421875, 0.00154876708984375]"
43,"Autumn's breath turns leaves to gold, a whispered story told,",told,mold,told,True,"and the world in quiet, soft, divine old mold.","and the world in quiet, soft, divine old mold.","and the world in quiet, soft, divine old",0,True,407-cry,407,sigh,2,"[' mold', ' bold', ' old', ' slow', '.']","[0.134765625, 0.10546875, 0.0927734375, 0.08203125, 0.072265625]","[' mold', ' bold', ' old', ' slow', ' mood']","[0.1396484375, 0.123046875, 0.08447265625, 0.07470703125, 0.06591796875]"
44,"The shadows stretch where laughter once was bright,",bright,light,light,True,and silence now holds all the light.,and silence now holds all the light.,and silence now holds all the,1,True,251-shade,251,stayed,1,"[' light', ' old', ' weight', ' past', ' joy']","[0.93359375, 0.0194091796875, 0.01708984375, 0.004913330078125, 0.0023193359375]","[' light', ' weight', ' old', ' bright', ' sound']","[0.65625, 0.12890625, 0.1005859375, 0.0174560546875, 0.0174560546875]"
46,"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,light,light,True,where hope and dreams take flight in the dawn's first light.,where hope and dreams take flight in the dawn's first light.,where hope and dreams take flight in the dawn's first,7,True,403-breeze,403,trees,3,"[' light', ' gle', ' spark', ' glow', ' breath']","[0.62109375, 0.177734375, 0.07421875, 0.057861328125, 0.01141357421875]","[' sp', ' spark', ' sight', ' spr', ' hym']","[0.333984375, 0.05810546875, 0.05810546875, 0.05126953125, 0.0400390625]"
