first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"Golden echoes drift like dust through yesterday's dim light,",light,dark,light,False,"The night's breath, a whisper in the dark,","The night's breath, a whisper in the dark,  
And dreams, once lost, now rest in the air."
"I wandered shadows seeking light in the mirror of my soul,",soul,kind,soul,False,"I found my way to the heart, where the stars are kind.","I found my way to the heart, where the stars are kind."
"In shadows deep where silence weeps,",weeps,lost,weeps,False,"In the moonlit night where dreams are lost,","In the moonlit night where dreams are lost,  
A song of sorrow weaves through the night."
"In the quiet of the soul, a light divine remains,",remains,remains,remains,False,"In the quiet of the soul, a light divine remains.","In the quiet of the soul, a light divine remains."
"Sweet whispers dance on tongues of time,",time,sky,time,False,"So let the stars dance in the sky,","So let the stars dance in the sky,  
And the moon weeps in quiet time."
"With each year, the childhood veil dissolves,",dissolves,bright,dissolves,False,"The heart's song fades, and the world is bright.","The heart's song fades, and the world is bright."
"Whispers of dusk linger on the lips of time,",time,night,time,False,The stars above will soon be lost in the night.,The stars above will soon be lost in the night.
"Though flesh may fade and time may soar,",soar,couplet,soar,False,Let me know if you'd like a different rhyming couplet!,Let me know if you'd like a different rhyming couplet!
"The drums of time beat echoes of the past,",past,sky,past,False,"The stars of night dance in the sky,","The stars of night dance in the sky,  
And dreams are born from the night's light."
"Though empires rise on whispers of might,",might,sky,light,False,The stars still hold their place in the sky.,"Though empires rise on whispers of might,  
The stars still hold their place in the sky."
"Guns awaken the earth like a curse from her dreams,",dreams,song,dreams,False,"The night is a mirror to the soul, and the stars are but echoes of her song.","The night is a mirror to the soul, and the stars are but echoes of her song."
"I wander shadowed halls of silent stone,",stone,born,stone,False,"I see the moonlight in the dark, where dreams are born.","I see the moonlight in the dark, where dreams are born."
"Two hearts entwined where promises bloom,",bloom,song,bloom,False,And where shadows dance in silent song.,And where shadows dance in silent song.
"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,meet,grit,False,"In the path of dreams, where light and shadow meet,","In the path of dreams, where light and shadow meet,  
A tale of love and courage, woven with grace and grace"
"Laughter echoes soft as the breeze through old trees,",trees,trees,trees,False,"The laughter echoes soft as the breeze through old trees,","The laughter echoes soft as the breeze through old trees,  
And in the night, the stars whisper their song."
"In the shadow of the night, hope whispers to despair,",despair,sky,despair,False,"In the light of dawn, hope rises to the sky.","In the light of dawn, hope rises to the sky."
"A hearth that glows where the heart finds its name,",name,born,name,False,"A flame that dances in the night, where dreams are born.","A flame that dances in the night, where dreams are born."
"In trembling hands, the storm both swells and dies,",dies,gone,dies,False,"In the night's breath, the world is both born and gone.","In the night's breath, the world is both born and gone."
"Though flesh may fade and tombs may rust with time,",time,true,time,False,"The soul may still live in the heart, where light and hope are true.","The soul may still live in the heart, where light and hope are true."
"Roots buried deep in ancient soil,",soil,more,soil,False,"sands of time and stone, and more.","roots buried deep in ancient soil,  
sands of time and stone, and more."
"In shadow’s clutch, the strongest will may kneel,",kneel,rise,kneel,False,"In the light’s embrace, the weak may rise.","In the light’s embrace, the weak may rise."
"In strokes of light and whispers unseen,",unseen,world,unseen,False,"In the quiet of night and the still of the world,","In the quiet of night and the still of the world,  
A song is born from the heart, a song that's"
"Whispers of winter melt to spring's soft sigh,",sigh,reborn,sigh,False,"The frost has passed, and the world is reborn.","The frost has passed, and the world is reborn."
"I stepped through the veil of shadowed years,",years,dawn,years,False,I found a path that led to the dawn.,I found a path that led to the dawn.
"Whispers curl like shadows at dawn,",dawn,flight,dawn,False,The night is a canvas where dreams take flight.,The night is a canvas where dreams take flight.
"Beneath a sky that shifts from blue to grey,",grey,trees,grey,False,"A whisper of wind through the trees,","A whisper of wind through the trees,  
A song of stars that never fades."
"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,night,belong,False,"In the heart of the city where dreams are born, I find my way, not lost in the night.","In the heart of the city where dreams are born, I find my way, not lost in the night."
