sentence_index,input_text,generation,word_steered,index_steered,feature_count,steering_strength
0,"One day, a little girl named Lily","One day, a little girl named Lily is playing with her toy car. She notices that",,,,
0,"One day, a little girl named Lily","user
One day, a little girl named Lily goes to the store to buy a new math problem",mathematician,0.0,8.0,3.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily goes to the math competition. She has a bag",mathematician,0.0,8.0,5.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily mathemathematical, who is 1",mathematician,0.0,8.0,7.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily visits a dentist for a check-up. She is",dentist,1.0,5.0,3.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily, who is 6 years old, visits the",dentist,1.0,5.0,5.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily and her mother, a dentist, and a dentist",dentist,1.0,5.0,7.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily took a picture of a beautiful photo of a tree",photographer,2.0,5.0,3.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily took a picture of a photo album. The photo",photographer,2.0,5.0,5.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily takes a photo of a picture of a picture of",photographer,2.0,5.0,7.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily went to the art museum and saw a beautiful painting",artist,3.0,5.0,3.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily the artist, who is 8 years old,",artist,3.0,5.0,5.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily of the arts fine plastic fine plastic fine plastic fine",artist,3.0,5.0,7.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily paints a picture of a painting of a painting of",painter,4.0,5.0,3.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily paints a painting of a painting of a painting of",painter,4.0,5.0,5.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily paint a painting of a painting of a painting of",painter,4.0,5.0,7.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily is playing with a toy car. She is standing",therapist,5.0,5.0,3.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily has a 1000000",therapist,5.0,5.0,5.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily awoke a little  a  a  a",therapist,5.0,5.0,7.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily is playing with a ball. She throws a ball",manager,6.0,5.0,3.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily is playing with a toy car. She has a",manager,6.0,5.0,5.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily is playing with a toy car. She has a",manager,6.0,5.0,7.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily asked her mother, ""Why is the sky blue",teacher,7.0,4.0,3.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily asked her mother, ""Why is the sky blue",teacher,7.0,4.0,5.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily asked her mother, ""What is the difference between",teacher,7.0,4.0,7.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily put a wild goose chase on the market. She",firefighter,8.0,4.0,3.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily put a wild goose (a wild goose is a",firefighter,8.0,4.0,5.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily put a wild wild______  in a wild",firefighter,8.0,4.0,7.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily is playing with her little brother, and they are",architect,9.0,4.0,3.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily was playing in the garden. She was very curious",architect,9.0,4.0,5.0
0,"One day, a little girl named Lily","user
One day, a little girl named Lily archly
designed a simple archetecture",architect,9.0,4.0,7.0
1,"Once upon a time, there was","Once upon a time, there was a young girl named Lila who lived in a",,,,
1,"Once upon a time, there was","user
Once upon a time, there was a mathematician who was very proud of his mathematics",mathematician,0.0,8.0,3.0
1,"Once upon a time, there was","user
Once upon a time, there was a mathematician who was very proud of his mathematics",mathematician,0.0,8.0,5.0
1,"Once upon a time, there was","user
Once upon a time, there was a mathematician who had a very high level of",mathematician,0.0,8.0,7.0
1,"Once upon a time, there was","user
Once upon a time, there was a man who had a very large number of gold",dentist,1.0,5.0,3.0
1,"Once upon a time, there was","user
Once upon a time, there was a person who had a very large, very white",dentist,1.0,5.0,5.0
1,"Once upon a time, there was","user
Once upon a time, there was a person who had a very large, white,",dentist,1.0,5.0,7.0
1,"Once upon a time, there was","user
Once upon a time, there was a man who took a photo of a picture of",photographer,2.0,5.0,3.0
1,"Once upon a time, there was","user
Once upon a time, there was a picture of a man taking a photo. The",photographer,2.0,5.0,5.0
1,"Once upon a time, there was","user
Once upon a time, there was a picture taken of a photo studio. The photo",photographer,2.0,5.0,7.0
1,"Once upon a time, there was","user
Once upon a time, there was an artist named M. M. 1.",artist,3.0,5.0,3.0
