question,intermediate,answer,intermediate_expression,prompt_type,prompt_subtype,hop1,hop2
The country containing Kandahar has its capital in the city of,Afghanistan,Kabul,The country containing Kandahar,country_capital,country_capital,What is the country containing Kandahar?,Afghanistan has its capital in the city of
The country containing Durrës has its capital in the city of,Albania,Tirana,The country containing Durrës,country_capital,country_capital,What is the country containing Durrës?,Albania has its capital in the city of
The country containing Oran has its capital in the city of,Algeria,Algiers,The country containing Oran,country_capital,country_capital,What is the country containing Oran?,Algeria has its capital in the city of
The country containing Les Escaldes has its capital in the city of,Andorra,Andorra la Vella,The country containing Les Escaldes,country_capital,country_capital,What is the country containing Les Escaldes?,Andorra has its capital in the city of
The country containing Huambo has its capital in the city of,Angola,Luanda,The country containing Huambo,country_capital,country_capital,What is the country containing Huambo?,Angola has its capital in the city of
The country containing All Saints has its capital in the city of,Antigua and Barbuda,St. John's,The country containing All Saints,country_capital,country_capital,What is the country containing All Saints?,Antigua and Barbuda has its capital in the city of
The country containing Córdoba has its capital in the city of,Argentina,Buenos Aires,The country containing Córdoba,country_capital,country_capital,What is the country containing Córdoba?,Argentina has its capital in the city of
The country containing Gyumri has its capital in the city of,Armenia,Yerevan,The country containing Gyumri,country_capital,country_capital,What is the country containing Gyumri?,Armenia has its capital in the city of
The country containing Sydney has its capital in the city of,Australia,Canberra,The country containing Sydney,country_capital,country_capital,What is the country containing Sydney?,Australia has its capital in the city of
The country containing Graz has its capital in the city of,Austria,Vienna,The country containing Graz,country_capital,country_capital,What is the country containing Graz?,Austria has its capital in the city of
The country containing Ganja has its capital in the city of,Azerbaijan,Baku,The country containing Ganja,country_capital,country_capital,What is the country containing Ganja?,Azerbaijan has its capital in the city of
The country containing Freeport has its capital in the city of,Bahamas,Nassau,The country containing Freeport,country_capital,country_capital,What is the country containing Freeport?,Bahamas has its capital in the city of
The country containing Riffa has its capital in the city of,Bahrain,Manama,The country containing Riffa,country_capital,country_capital,What is the country containing Riffa?,Bahrain has its capital in the city of
The country containing Chittagong has its capital in the city of,Bangladesh,Dhaka,The country containing Chittagong,country_capital,country_capital,What is the country containing Chittagong?,Bangladesh has its capital in the city of
The country containing Speightstown has its capital in the city of,Barbados,Bridgetown,The country containing Speightstown,country_capital,country_capital,What is the country containing Speightstown?,Barbados has its capital in the city of
The country containing Homel has its capital in the city of,Belarus,Minsk,The country containing Homel,country_capital,country_capital,What is the country containing Homel?,Belarus has its capital in the city of
The country containing Antwerp has its capital in the city of,Belgium,Brussels,The country containing Antwerp,country_capital,country_capital,What is the country containing Antwerp?,Belgium has its capital in the city of
The country containing Belize City has its capital in the city of,Belize,Belmopan,The country containing Belize City,country_capital,country_capital,What is the country containing Belize City?,Belize has its capital in the city of
The country containing Cotonou has its capital in the city of,Benin,Porto-Novo,The country containing Cotonou,country_capital,country_capital,What is the country containing Cotonou?,Benin has its capital in the city of
The country containing Phuntsholing has its capital in the city of,Bhutan,Thimphu,The country containing Phuntsholing,country_capital,country_capital,What is the country containing Phuntsholing?,Bhutan has its capital in the city of
The country containing Banja Luka has its capital in the city of,Bosnia and Herzegovina,Sarajevo,The country containing Banja Luka,country_capital,country_capital,What is the country containing Banja Luka?,Bosnia and Herzegovina has its capital in the city of
The country containing Francistown has its capital in the city of,Botswana,Gaborone,The country containing Francistown,country_capital,country_capital,What is the country containing Francistown?,Botswana has its capital in the city of
The country containing São Paulo has its capital in the city of,Brazil,Brasília,The country containing São Paulo,country_capital,country_capital,What is the country containing São Paulo?,Brazil has its capital in the city of
The country containing Kuala Belait has its capital in the city of,Brunei,Bandar Seri Begawan,The country containing Kuala Belait,country_capital,country_capital,What is the country containing Kuala Belait?,Brunei has its capital in the city of
The country containing Plovdiv has its capital in the city of,Bulgaria,Sofia,The country containing Plovdiv,country_capital,country_capital,What is the country containing Plovdiv?,Bulgaria has its capital in the city of
The country containing Bobo-Dioulasso has its capital in the city of,Burkina Faso,Ouagadougou,The country containing Bobo-Dioulasso,country_capital,country_capital,What is the country containing Bobo-Dioulasso?,Burkina Faso has its capital in the city of
The country containing Muyinga has its capital in the city of,Burundi,Bujumbura,The country containing Muyinga,country_capital,country_capital,What is the country containing Muyinga?,Burundi has its capital in the city of
The country containing Siem Reap has its capital in the city of,Cambodia,Phnom Penh,The country containing Siem Reap,country_capital,country_capital,What is the country containing Siem Reap?,Cambodia has its capital in the city of
The country containing Douala has its capital in the city of,Cameroon,Yaoundé,The country containing Douala,country_capital,country_capital,What is the country containing Douala?,Cameroon has its capital in the city of
The country containing Toronto has its capital in the city of,Canada,Ottawa,The country containing Toronto,country_capital,country_capital,What is the country containing Toronto?,Canada has its capital in the city of
The country containing Mindelo has its capital in the city of,Cape Verde,Praia,The country containing Mindelo,country_capital,country_capital,What is the country containing Mindelo?,Cape Verde has its capital in the city of
The country containing Bimbo has its capital in the city of,Central African Republic,Bangui,The country containing Bimbo,country_capital,country_capital,What is the country containing Bimbo?,Central African Republic has its capital in the city of
The country containing Moundou has its capital in the city of,Chad,N'Djamena,The country containing Moundou,country_capital,country_capital,What is the country containing Moundou?,Chad has its capital in the city of
The country containing Puente Alto has its capital in the city of,Chile,Santiago,The country containing Puente Alto,country_capital,country_capital,What is the country containing Puente Alto?,Chile has its capital in the city of
The country containing Shanghai has its capital in the city of,China,Beijing,The country containing Shanghai,country_capital,country_capital,What is the country containing Shanghai?,China has its capital in the city of
The country containing Medellín has its capital in the city of,Colombia,Bogotá,The country containing Medellín,country_capital,country_capital,What is the country containing Medellín?,Colombia has its capital in the city of
The country containing Mutsamudu has its capital in the city of,Comoros,Moroni,The country containing Mutsamudu,country_capital,country_capital,What is the country containing Mutsamudu?,Comoros has its capital in the city of
The country containing Lubumbashi has its capital in the city of,Democratic Republic of the Congo,Kinshasa,The country containing Lubumbashi,country_capital,country_capital,What is the country containing Lubumbashi?,Democratic Republic of the Congo has its capital in the city of
The country containing Pointe-Noire has its capital in the city of,Republic of the Congo,Brazzaville,The country containing Pointe-Noire,country_capital,country_capital,What is the country containing Pointe-Noire?,Republic of the Congo has its capital in the city of
The country containing Alajuela has its capital in the city of,Costa Rica,San José,The country containing Alajuela,country_capital,country_capital,What is the country containing Alajuela?,Costa Rica has its capital in the city of
The country containing Abidjan has its capital in the city of,Côte d'Ivoire,Yamoussoukro,The country containing Abidjan,country_capital,country_capital,What is the country containing Abidjan?,Côte d'Ivoire has its capital in the city of
The country containing Split has its capital in the city of,Croatia,Zagreb,The country containing Split,country_capital,country_capital,What is the country containing Split?,Croatia has its capital in the city of
The country containing Santiago de Cuba has its capital in the city of,Cuba,Havana,The country containing Santiago de Cuba,country_capital,country_capital,What is the country containing Santiago de Cuba?,Cuba has its capital in the city of
The country containing Limassol has its capital in the city of,Cyprus,Nicosia,The country containing Limassol,country_capital,country_capital,What is the country containing Limassol?,Cyprus has its capital in the city of
The country containing Brno has its capital in the city of,Czech Republic,Prague,The country containing Brno,country_capital,country_capital,What is the country containing Brno?,Czech Republic has its capital in the city of
The country containing Aarhus has its capital in the city of,Denmark,Copenhagen,The country containing Aarhus,country_capital,country_capital,What is the country containing Aarhus?,Denmark has its capital in the city of
The country containing Ali Sabieh has its capital in the city of,Djibouti,Djibouti,The country containing Ali Sabieh,country_capital,country_capital,What is the country containing Ali Sabieh?,Djibouti has its capital in the city of
The country containing Portsmouth has its capital in the city of,Dominica,Roseau,The country containing Portsmouth,country_capital,country_capital,What is the country containing Portsmouth?,Dominica has its capital in the city of
The country containing Santiago de los Caballeros has its capital in the city of,Dominican Republic,Santo Domingo,The country containing Santiago de los Caballeros,country_capital,country_capital,What is the country containing Santiago de los Caballeros?,Dominican Republic has its capital in the city of
The country containing Dare has its capital in the city of,East Timor,Dili,The country containing Dare,country_capital,country_capital,What is the country containing Dare?,East Timor has its capital in the city of
The country containing Guayaquil has its capital in the city of,Ecuador,Quito,The country containing Guayaquil,country_capital,country_capital,What is the country containing Guayaquil?,Ecuador has its capital in the city of
The country containing Alexandria has its capital in the city of,Egypt,Cairo,The country containing Alexandria,country_capital,country_capital,What is the country containing Alexandria?,Egypt has its capital in the city of
The country containing Santa Ana has its capital in the city of,El Salvador,San Salvador,The country containing Santa Ana,country_capital,country_capital,What is the country containing Santa Ana?,El Salvador has its capital in the city of
The country containing Bata has its capital in the city of,Equatorial Guinea,Malabo,The country containing Bata,country_capital,country_capital,What is the country containing Bata?,Equatorial Guinea has its capital in the city of
The country containing Keren has its capital in the city of,Eritrea,Asmara,The country containing Keren,country_capital,country_capital,What is the country containing Keren?,Eritrea has its capital in the city of
The country containing Tartu has its capital in the city of,Estonia,Tallinn,The country containing Tartu,country_capital,country_capital,What is the country containing Tartu?,Estonia has its capital in the city of
The country containing Dire Dawa has its capital in the city of,Ethiopia,Addis Ababa,The country containing Dire Dawa,country_capital,country_capital,What is the country containing Dire Dawa?,Ethiopia has its capital in the city of
The country containing Nasinu has its capital in the city of,Fiji,Suva,The country containing Nasinu,country_capital,country_capital,What is the country containing Nasinu?,Fiji has its capital in the city of
The country containing Espoo has its capital in the city of,Finland,Helsinki,The country containing Espoo,country_capital,country_capital,What is the country containing Espoo?,Finland has its capital in the city of
The country containing Marseille has its capital in the city of,France,Paris,The country containing Marseille,country_capital,country_capital,What is the country containing Marseille?,France has its capital in the city of
The country containing Port-Gentil has its capital in the city of,Gabon,Libreville,The country containing Port-Gentil,country_capital,country_capital,What is the country containing Port-Gentil?,Gabon has its capital in the city of
The country containing Serekunda has its capital in the city of,Gambia,Banjul,The country containing Serekunda,country_capital,country_capital,What is the country containing Serekunda?,Gambia has its capital in the city of
The country containing Kutaisi has its capital in the city of,Georgia,Tbilisi,The country containing Kutaisi,country_capital,country_capital,What is the country containing Kutaisi?,Georgia has its capital in the city of
The country containing Hamburg has its capital in the city of,Germany,Berlin,The country containing Hamburg,country_capital,country_capital,What is the country containing Hamburg?,Germany has its capital in the city of
The country containing Kumasi has its capital in the city of,Ghana,Accra,The country containing Kumasi,country_capital,country_capital,What is the country containing Kumasi?,Ghana has its capital in the city of
The country containing Thessaloniki has its capital in the city of,Greece,Athens,The country containing Thessaloniki,country_capital,country_capital,What is the country containing Thessaloniki?,Greece has its capital in the city of
The country containing Gouyave has its capital in the city of,Grenada,St. George's,The country containing Gouyave,country_capital,country_capital,What is the country containing Gouyave?,Grenada has its capital in the city of
The country containing Quetzaltenango has its capital in the city of,Guatemala,Guatemala City,The country containing Quetzaltenango,country_capital,country_capital,What is the country containing Quetzaltenango?,Guatemala has its capital in the city of
The country containing Nzérékoré has its capital in the city of,Guinea,Conakry,The country containing Nzérékoré,country_capital,country_capital,What is the country containing Nzérékoré?,Guinea has its capital in the city of
The country containing Gabú has its capital in the city of,Guinea-Bissau,Bissau,The country containing Gabú,country_capital,country_capital,What is the country containing Gabú?,Guinea-Bissau has its capital in the city of
The country containing Linden has its capital in the city of,Guyana,Georgetown,The country containing Linden,country_capital,country_capital,What is the country containing Linden?,Guyana has its capital in the city of
The country containing Gonaïves has its capital in the city of,Haiti,Port-au-Prince,The country containing Gonaïves,country_capital,country_capital,What is the country containing Gonaïves?,Haiti has its capital in the city of
The country containing San Pedro Sula has its capital in the city of,Honduras,Tegucigalpa,The country containing San Pedro Sula,country_capital,country_capital,What is the country containing San Pedro Sula?,Honduras has its capital in the city of
The country containing Debrecen has its capital in the city of,Hungary,Budapest,The country containing Debrecen,country_capital,country_capital,What is the country containing Debrecen?,Hungary has its capital in the city of
The country containing Kópavogur has its capital in the city of,Iceland,Reykjavík,The country containing Kópavogur,country_capital,country_capital,What is the country containing Kópavogur?,Iceland has its capital in the city of
The country containing Mumbai has its capital in the city of,India,New Delhi,The country containing Mumbai,country_capital,country_capital,What is the country containing Mumbai?,India has its capital in the city of
The country containing Surabaya has its capital in the city of,Indonesia,Jakarta,The country containing Surabaya,country_capital,country_capital,What is the country containing Surabaya?,Indonesia has its capital in the city of
The country containing Mashhad has its capital in the city of,Iran,Tehran,The country containing Mashhad,country_capital,country_capital,What is the country containing Mashhad?,Iran has its capital in the city of
The country containing Basra has its capital in the city of,Iraq,Baghdad,The country containing Basra,country_capital,country_capital,What is the country containing Basra?,Iraq has its capital in the city of
The country containing Cork has its capital in the city of,Ireland,Dublin,The country containing Cork,country_capital,country_capital,What is the country containing Cork?,Ireland has its capital in the city of
The country containing Tel Aviv has its capital in the city of,Israel,Jerusalem,The country containing Tel Aviv,country_capital,country_capital,What is the country containing Tel Aviv?,Israel has its capital in the city of
The country containing Milan has its capital in the city of,Italy,Rome,The country containing Milan,country_capital,country_capital,What is the country containing Milan?,Italy has its capital in the city of
The country containing Spanish Town has its capital in the city of,Jamaica,Kingston,The country containing Spanish Town,country_capital,country_capital,What is the country containing Spanish Town?,Jamaica has its capital in the city of
The country containing Yokohama has its capital in the city of,Japan,Tokyo,The country containing Yokohama,country_capital,country_capital,What is the country containing Yokohama?,Japan has its capital in the city of
The country containing Zarqa has its capital in the city of,Jordan,Amman,The country containing Zarqa,country_capital,country_capital,What is the country containing Zarqa?,Jordan has its capital in the city of
The country containing Almaty has its capital in the city of,Kazakhstan,Astana,The country containing Almaty,country_capital,country_capital,What is the country containing Almaty?,Kazakhstan has its capital in the city of
The country containing Mombasa has its capital in the city of,Kenya,Nairobi,The country containing Mombasa,country_capital,country_capital,What is the country containing Mombasa?,Kenya has its capital in the city of
The country containing Betio has its capital in the city of,Kiribati,Tarawa,The country containing Betio,country_capital,country_capital,What is the country containing Betio?,Kiribati has its capital in the city of
