Unnamed: 0,prompt,animal,original_number,subtracted_number,gold_verb,wrong_verb,predicted_verb,verb_correct,gold_number,predicted_number_token,predicted_number_int,number_correct,predicted_number_token_wrong_verb,predicted_number_int_wrong_verb,number_correct_with_wrong_verb,prob_verb,prob_number,prob_number_wrong_verb,prompt_base,prompt_with_correct_verb,prompt_with_wrong_verb,filename,original_are_prob,original_is_prob,all_zeroed_are_prob,all_zeroed_is_prob,all_multiplied_are_prob,all_multiplied_is_prob,direct_zeroed_are_prob,direct_zeroed_is_prob,direct_multiplied_are_prob,direct_multiplied_is_prob,random_zeroed_are_prob,random_zeroed_is_prob,random_multiplied_are_prob,random_multiplied_is_prob,selected_nodes_count
0,"At first there were 8 elephants. Then, 7 went away. Now, there",elephants,8,7,is,are,are,False,1,1,1,True,1,1,True,0.881321907043457,0.9826359748840332,0.8105514645576477,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 elephants. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 elephants. Then, 7 went away. Now, there are ",elephants-8-7,0.87890625,0.005218505859375,0.87890625,0.005218505859375,0.87890625,0.005218505859375,0.87890625,0.005218505859375,0.87890625,0.005218505859375,0.87890625,0.005218505859375,0.87890625,0.005218505859375,0
1,"At first there were 2 cats. Then, 1 went away. Now, there",cats,2,1,is,are,is,True,1,1,1,True,1,1,True,0.5449399352073669,0.9853461980819702,0.934461772441864,"<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 2 cats. Then, 1 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 2 cats. Then, 1 went away. Now, there are ",cats-2-1,0.28515625,0.60546875,0.6875,0.251953125,0.0031280517578125,0.765625,0.326171875,0.53515625,0.1845703125,0.73046875,0.41015625,0.52734375,0.42578125,0.29296875,3
2,"At first there were 8 rabbits. Then, 7 went away. Now, there",rabbits,8,7,is,are,are,False,1,1,1,True,1,1,True,0.889445424079895,0.9893380403518676,0.8576135635375977,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 rabbits. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 rabbits. Then, 7 went away. Now, there are ",rabbits-8-7,0.8984375,0.0036773681640625,0.8984375,0.0036773681640625,0.8984375,0.0036773681640625,0.8984375,0.0036773681640625,0.8984375,0.0036773681640625,0.8984375,0.0036773681640625,0.8984375,0.0036773681640625,0
3,"At first there were 9 elephants. Then, 8 went away. Now, there",elephants,9,8,is,are,are,False,1,1,1,True,1,1,True,0.8732275366783142,0.9873176217079164,0.8916840553283691,"<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 9 elephants. Then, 8 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 9 elephants. Then, 8 went away. Now, there are ",elephants-9-8,0.87109375,0.0040283203125,0.87109375,0.0040283203125,0.87109375,0.0040283203125,0.87109375,0.0040283203125,0.87109375,0.0040283203125,0.87109375,0.0040283203125,0.87109375,0.0040283203125,0
4,"At first there were 4 rabbits. Then, 3 went away. Now, there",rabbits,4,3,is,are,are,False,1,1,1,True,1,1,True,0.9261652231216432,0.9892569184303284,0.888272762298584,"<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 rabbits. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 rabbits. Then, 3 went away. Now, there are ",rabbits-4-3,0.93359375,0.0133056640625,0.9375,0.0091552734375,0.83984375,0.06884765625,0.9296875,0.0133056640625,0.91796875,0.01483154296875,0.92578125,0.01324462890625,0.9296875,0.01171875,1
5,"At first there were 6 elephants. Then, 5 went away. Now, there",elephants,6,5,is,are,are,False,1,1,1,True,1,1,True,0.8221659064292908,0.978219747543335,0.8366319537162781,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 elephants. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 elephants. Then, 5 went away. Now, there are ",elephants-6-5,0.828125,0.01953125,0.8359375,0.01348876953125,0.75390625,0.0546875,0.828125,0.0172119140625,0.81640625,0.021728515625,0.8203125,0.0169677734375,0.828125,0.01953125,1
6,"At first there were 4 dogs. Then, 3 went away. Now, there",dogs,4,3,is,are,are,False,1,1,1,True,1,1,True,0.939927339553833,0.9885224103927612,0.8818498253822327,"<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 4 dogs. Then, 3 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 4 dogs. Then, 3 went away. Now, there are ",dogs-4-3,0.94140625,0.01519775390625,0.953125,0.01055908203125,0.8515625,0.0791015625,0.94140625,0.01519775390625,0.9375,0.0172119140625,0.94140625,0.0152587890625,0.93359375,0.01708984375,1
7,"At first there were 8 horses. Then, 7 went away. Now, there",horses,8,7,is,are,are,False,1,1,1,True,1,1,True,0.9191901087760924,0.9918867945671082,0.9000370502471924,"<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 8 horses. Then, 7 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 8 horses. Then, 7 went away. Now, there are ",horses-8-7,0.91796875,0.00701904296875,0.921875,0.0062255859375,0.90234375,0.01287841796875,0.91796875,0.00701904296875,0.91796875,0.0079345703125,0.91796875,0.00701904296875,0.91796875,0.0079345703125,1
8,"At first there were 6 cats. Then, 5 went away. Now, there",cats,6,5,is,are,are,False,1,1,1,True,1,1,True,0.8653567433357239,0.9813454747200012,0.8353202939033508,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 cats. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 cats. Then, 5 went away. Now, there are ",cats-6-5,0.86328125,0.020263671875,0.875,0.01611328125,0.76171875,0.080078125,0.87109375,0.0205078125,0.84765625,0.0225830078125,0.8359375,0.0081787109375,0.703125,0.10791015625,1
9,"At first there were 6 dogs. Then, 5 went away. Now, there",dogs,6,5,is,are,are,False,1,1,1,True,1,1,True,0.8695265054702759,0.9846653342247008,0.8722582459449768,"<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there is ","<|im_start|>user
Repeat this sentence and complete it. At first there were 6 dogs. Then, 5 went away. Now, there<|im_end|>
<|im_start|>assistant
<think>

</think> At first there were 6 dogs. Then, 5 went away. Now, there are ",dogs-6-5,0.8671875,0.01397705078125,0.87890625,0.01104736328125,0.80859375,0.045654296875,0.875,0.01409912109375,0.875,0.01416015625,0.87890625,0.01104736328125,0.80859375,0.045654296875,1
