Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,IC_Index,Prob_Article,Prob_Profession
veterinarian,a,a,True,veterinarian,True,81,0.9999992847442627,0.6685889959335327
teacher,a,a,True,teacher,True,14,0.9999990463256836,0.9565121531486511
chef,a,a,True,chef,True,3,0.9999996423721313,0.9904065728187561
firefighter,a,a,True,firefighter,True,94,0.9999996423721313,0.8778882622718811
pilot,a,a,True,pilot,True,35,0.9976569414138794,0.9473384618759155
dentist,a,a,True,dentist,True,31,0.9999998807907104,0.9379271864891052
electrician,an,an,True,electric,True,28,0.9999871253967285,0.9898520112037659
librarian,a,a,True,librarian,True,17,0.9999983310699463,0.9998296499252319
photographer,a,a,True,photographer,True,94,0.9999998807907104,0.8439041972160339
architect,an,an,True,architect,True,13,0.9972420930862427,0.9994375109672546
mechanic,a,a,True,mechanic,True,86,0.9999996423721313,0.9712434411048889
surgeon,a,a,True,nurse,False,94,1.0,0.8189159631729126
pharmacist,a,a,True,healthcare,False,69,1.0,0.6038994789123535
journalist,a,a,True,journalist,True,11,1.0,0.9740923643112183
plumber,a,a,True,plumber,True,75,0.9999986886978149,0.8806785941123962
accountant,an,a,False,accountant,True,54,0.9613660573959351,0.9958056211471558
lawyer,a,a,True,lawyer,True,4,0.9999970197677612,0.9973020553588867
engineer,an,a,False,engineer,True,3,0.9469493627548218,0.9987478256225586
baker,a,a,True,baker,True,11,1.0,0.9855959415435791
carpenter,a,a,True,carp,True,27,0.9999994039535522,0.7515027523040771
professor,a,a,True,professor,True,29,0.5538879632949829,0.8928794860839844
physicist,a,a,True,physicist,True,64,0.9999929666519165,0.5242360830307007
biologist,a,a,True,biologist,True,77,0.9999939203262329,0.9534482955932617
chemist,a,a,True,chem,True,3,0.9999991655349731,0.9755551815032959
historian,a,a,True,historian,True,71,0.9948364496231079,0.88544100522995
psychologist,a,a,True,psychologist,True,91,0.9999940395355225,0.9021615982055664
economist,an,a,False,**,False,83,0.999997615814209,0.7699828743934631
cardiologist,a,a,True,healthcare,False,89,0.9999998807907104,0.7135545611381531
neurologist,a,a,True,physician,False,69,1.0,0.2219652384519577
pediatrician,a,a,True,healthcare,False,53,1.0,0.88763827085495
dermatologist,a,a,True,dermat,True,28,0.9999998807907104,0.9987941980361938
psychiatrist,a,a,True,counselor,False,57,0.9999998807907104,0.9273806810379028
radiologist,a,a,True,radi,True,75,0.9999985694885254,0.5808862447738647
anesthesiologist,an,a,False,an,True,35,0.9962636828422546,0.9999301433563232
oncologist,an,a,False,**,False,103,1.0,0.22793376445770264
ophthalmologist,an,an,True,**,False,0,0.9900262355804443,0.491298645734787
orthopedist,an,a,False,oste,False,97,1.0,0.552907407283783
astronomer,an,a,False,astronom,True,103,0.6232260465621948,0.9172208309173584
geologist,a,a,True,ge,True,20,0.9992061257362366,0.9995847344398499
anthropologist,an,a,False,educator,False,89,0.99968421459198,0.38057050108909607
sociologist,a,a,True,scholar,False,54,0.9988399147987366,0.9850812554359436
mathematician,a,a,True,mathematic,True,43,0.9999297857284546,0.9988394379615784
statistician,a,a,True,statistic,True,35,0.9999990463256836,0.9638327956199646
botanist,a,a,True,bot,True,19,0.9999985694885254,0.9979726672172546
zoologist,a,a,True,veterinarian,False,27,0.9999221563339233,0.8385336995124817
meteorologist,a,a,True,meteor,True,97,0.9999895095825195,0.9853292107582092
archaeologist,an,an,True,archae,True,43,0.9955816864967346,0.9980648159980774
linguist,a,a,True,lingu,True,13,0.9999958276748657,0.9583868980407715
musician,a,a,True,musician,True,11,0.9999960660934448,0.9551874399185181
artist,an,a,False,artist,True,48,0.9844083189964294,0.9973311424255371
sculptor,a,an,False,**,False,12,0.8758102059364319,0.5652467608451843
dancer,a,a,True,dancer,True,45,0.9999990463256836,0.7311431765556335
actor,an,an,True,actor,True,44,0.9022616147994995,0.9987908005714417
writer,a,a,True,writer,True,77,0.999998927116394,0.8682231307029724
poet,a,a,True,poet,True,33,0.9999972581863403,0.9708164930343628
novelist,a,a,True,writer,False,103,0.9999942779541016,0.5025613903999329
editor,an,a,False,editor,True,5,0.9999994039535522,0.7766118049621582
translator,a,a,True,translator,True,93,0.9999998807907104,0.9876596331596375
bartender,a,a,True,bartender,True,68,1.0,0.9020096063613892
waiter,a,a,True,chef,False,15,1.0,0.5348920226097107
barber,a,a,True,______,False,48,1.0,0.6492376327514648
tailor,a,a,True,______,False,10,1.0,0.5344734191894531
florist,a,a,True,flor,True,70,0.9999995231628418,0.909307599067688
jeweler,a,a,True,jew,True,37,0.9999963045120239,0.5211406350135803
watchmaker,a,a,True,**,False,106,0.9999926090240479,0.4233483076095581
locksmith,a,a,True,**,False,80,0.9999998807907104,0.6435304880142212
welder,a,a,True,weld,True,79,0.9999998807907104,0.7955737709999084
mason,a,a,True,builder,False,46,0.9998490810394287,0.9840874075889587
roofer,a,a,True,carp,False,73,0.9999998807907104,0.7738870978355408
painter,a,an,False,artist,False,24,0.6116266846656799,0.9111931324005127
gardener,a,a,True,gard,True,90,0.9999996423721313,0.9994500279426575
farmer,a,a,True,farmer,True,8,0.9585037231445312,0.9992949962615967
fisherman,a,a,True,fish,True,5,0.9999995231628418,0.9983955025672913
sailor,a,a,True,mar,False,84,1.0,0.5854856371879578
trucker,a,a,True,truck,True,29,1.0,0.9582342505455017
conductor,a,a,True,conductor,True,98,0.9999969005584717,0.9888512492179871
judge,a,a,True,lawyer,False,37,0.9999998807907104,0.7868092656135559
detective,a,a,True,**,False,10,0.9999998807907104,0.8635922074317932
paramedic,a,an,False,param,True,29,0.6458009481430054,0.39967817068099976
dispatcher,a,a,True,firefighter,False,12,0.9997833371162415,0.5257273316383362
counselor,a,a,True,mentor,False,48,0.9999966621398926,0.6587626934051514
therapist,a,a,True,healthcare,False,35,1.0,0.8058344721794128
nutritionist,a,a,True,nutrition,True,58,0.9999998807907104,0.7455236911773682
trainer,a,a,True,__,False,81,0.9967429041862488,0.43705612421035767
coach,a,a,True,coach,True,106,0.9999945163726807,0.9296448230743408
referee,a,a,True,referee,True,46,1.0,0.5237451195716858
cashier,a,a,True,cashier,True,20,0.9999959468841553,0.9872660636901855
clerk,a,an,False,secretary,False,47,0.9991967082023621,0.6246418952941895
receptionist,a,a,True,**,False,45,0.9999568462371826,0.9374647736549377
secretary,a,an,False,**,False,26,0.7799603939056396,0.8940104246139526
manager,a,a,True,manager,True,85,0.9999932050704956,0.9596781134605408
supervisor,a,a,True,manager,False,34,0.9999972581863403,0.32548078894615173
consultant,a,a,True,professional,False,89,0.9995076656341553,0.8021978735923767
analyst,an,a,False,analyst,True,87,0.983156144618988,0.8419617414474487
auditor,an,a,False,accountant,False,82,0.9890933036804199,0.9992081522941589
banker,a,a,True,banker,True,9,0.9999990463256836,0.8513596057891846
broker,a,a,True,banker,False,77,0.999998927116394,0.6811370849609375
realtor,a,a,True,**,False,81,0.9999970197677612,0.6698053479194641
auctioneer,an,a,False,economist,False,21,0.9999203681945801,0.9623593091964722
salesperson,a,a,True,entrepreneur,False,68,0.9999992847442627,0.3144375681877136
retailer,a,a,True,retailer,True,93,1.0,0.35441872477531433
wholesaler,a,a,True,merchant,False,31,0.9999881982803345,0.2126922607421875
inventor,an,an,True,inventor,True,20,0.986821711063385,0.5290322303771973
programmer,a,a,True,programmer,True,59,0.9999997615814209,0.9743826985359192
technician,a,a,True,technician,True,48,0.999998927116394,0.9650803804397583
operator,an,a,False,engineer,False,34,0.9999879598617554,0.997853696346283
inspector,an,a,False,inspector,True,81,0.9998915195465088,0.9964346885681152
examiner,an,a,False,<|im_end|>,False,88,0.9999138116836548,0.5862537622451782
