sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.88671875,0.020874023,0.87890625,0.0206298828125,0.83984375,0.015380859375,0.90234375,0.0272216796875,10
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,0.96875,0.013793945,0.97265625,0.01220703125,0.9609375,0.00077056884765625,1.0,4.5299530029296875e-05,17
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.98046875,0.00017642975,0.98046875,0.00017642974853515625,0.8984375,0.00152587890625,1.0,1.6689300537109375e-05,17
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.98046875,0.0039978027,0.98046875,0.003997802734375,0.94140625,0.001251220703125,1.0,0.00048828125,13
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.953125,0.036865234,0.95703125,0.03271484375,0.97265625,0.009521484375,1.0,4.5299530029296875e-05,21
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.99609375,0.00062179565,0.99609375,0.00054931640625,0.98046875,0.00019931793212890625,1.0,1.2993812561035156e-05,15
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0107421875,0.96875,0.009521484375,0.96875,0.033935546875,0.875,0.1328125,0.007476806640625,19
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.94921875,0.022338867,0.94140625,0.025146484375,0.8671875,0.006622314453125,0.99609375,0.00193023681640625,13
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.9765625,0.002746582,0.9765625,0.0030975341796875,0.95703125,0.0009918212890625,1.0,0.000911712646484375,14
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.01574707,0.9765625,0.0157470703125,0.9765625,0.0120849609375,0.9609375,0.953125,0.0135498046875,18
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.96875,0.007385254,0.97265625,0.006561279296875,0.9296875,0.0012359619140625,1.0,0.00150299072265625,15
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.98828125,0.0013122559,0.98828125,0.001312255859375,0.98046875,0.00089263916015625,1.0,0.0002613067626953125,12
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.9921875,0.000101566315,0.9921875,0.00010824203491210938,0.98046875,3.933906555175781e-05,1.0,6.139278411865234e-06,17
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.99609375,0.00022888184,0.99609375,0.0002288818359375,0.98046875,0.0002899169921875,1.0,9.424984455108643e-07,18
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.92578125,0.0015792847,0.92578125,0.0017852783203125,0.8203125,0.000400543212890625,0.93359375,0.041015625,17
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.26171875,0.7109375,0.287109375,0.6875,0.453125,0.453125,0.77734375,0.22265625,15
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,True,0.96875,0.025878906,0.97265625,0.0228271484375,0.98828125,0.0040283203125,1.0,0.000911712646484375,18
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.052978516,0.9375,0.052978515625,0.9375,0.10302734375,0.859375,0.87109375,0.091796875,20
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,0.98046875,0.00027275085,0.98046875,0.0002899169921875,0.953125,0.000133514404296875,1.0,0.000911712646484375,13
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.98828125,0.0004825592,0.98828125,0.0004253387451171875,0.7578125,0.0034942626953125,1.0,2.2649765014648438e-06,15
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,True,0.58203125,0.3984375,0.58203125,0.3984375,0.8671875,0.103515625,0.99609375,2.1338462829589844e-05,18
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,True,0.984375,0.0021514893,0.984375,0.0021514892578125,0.94921875,0.00019359588623046875,1.0,0.000553131103515625,19
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,True,0.9921875,0.00090408325,0.98828125,0.000904083251953125,0.921875,0.000396728515625,1.0,1.6689300537109375e-05,16
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,True,0.99609375,0.00042915344,0.99609375,0.0004291534423828125,0.98046875,0.0001068115234375,1.0,6.628036499023438e-05,17
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,True,0.94140625,0.032226562,0.94140625,0.0322265625,0.9296875,0.007110595703125,0.99609375,0.00170135498046875,16
<|im_end|>Someone who directs and monitors workers is a supervisor. Someone who studies human behavior and mental processes is,a,psychologist,True,0.98828125,0.0013122559,0.98828125,0.00115966796875,0.9765625,0.00022602081298828125,1.0,0.000804901123046875,19
<|im_end|>Someone who helps others develop skills or fitness is a trainer. Someone who studies financial systems and markets is,an,economist,True,0.30859375,0.65234375,0.359375,0.59375,0.61328125,0.19921875,1.0,6.580352783203125e-05,18
<|im_end|>Someone who provides administrative support is a secretary. Someone who treats heart diseases is,a,cardiologist,True,0.9921875,0.00062179565,0.9921875,0.000621795654296875,0.98828125,0.0002574920654296875,1.0,0.000804901123046875,16
