Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,vet,True,animal,False,0.89453125,0.451171875,0.76171875,therapist,a,Someone who provides treatment for physical or mental conditions is a therapist
teacher,a,a,True,teacher,True,educator,False,0.9921875,0.9453125,0.8984375,plumber,a,Someone who fixes pipes and water systems is a plumber
chef,a,a,True,chef,True,example,False,0.99609375,0.58984375,0.5234375,firefighter,a,Someone who extinguishes fires and rescues people is a firefighter
firefighter,a,a,True,firefighter,True,emergency,False,0.9921875,0.82421875,0.478515625,auditor,an,Someone who examines financial records is an auditor
pilot,a,a,True,pilot,True,av,False,0.91796875,0.91796875,0.81640625,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
dentist,a,a,True,dentist,True,orth,False,0.9921875,0.984375,0.765625,psychiatrist,a,Someone who treats mental health disorders is a psychiatrist
electrician,an,an,True,electric,True,(n,False,0.96484375,0.99609375,0.97265625,neurologist,a,Someone who treats disorders of the nervous system is a neurologist
librarian,a,a,True,librarian,True,information,False,0.98828125,0.96484375,0.5703125,engineer,an,Someone who designs and builds technical systems is an engineer
photographer,a,a,True,photographer,True,photographer,True,0.98828125,0.953125,0.251953125,auditor,an,Someone who examines financial records is an auditor
architect,an,an,True,architect,True,(n,False,0.984375,0.9453125,0.83984375,journalist,a,Someone who writes news articles is a journalist
mechanic,a,a,True,mechanic,True,auto,False,0.9609375,0.9453125,0.8125,cashier,a,Someone who handles payments in stores is a cashier
surgeon,a,a,True,surgeon,True,surgeon,True,0.9921875,0.9921875,0.38671875,auditor,an,Someone who examines financial records is an auditor
pharmacist,a,a,True,pharmacist,True,pharmacist,True,0.99609375,0.9453125,0.275390625,painter,a,Someone who applies paint to surfaces is a painter
