Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,Predicted_Profession_Wrong_Article,Profession_Wrong_Article_Correct,Prob_Article,Prob_Profession,Prob_Profession_Wrong_Article,IC_Profession,IC_Article,IC_Description
veterinarian,a,a,True,veterinarian,True,animal,False,0.99609375,0.75390625,0.82421875,inspector,an,Someone who examines things for quality or compliance is an inspector
teacher,a,a,True,teacher,True,educator,False,0.9921875,0.94140625,0.90625,engineer,an,Someone who designs and builds technical systems is an engineer
chef,a,a,True,chef,True,example,False,0.99609375,0.73828125,0.431640625,electrician,an,Someone who installs and repairs electrical systems is an electrician
firefighter,a,a,True,firefighter,True,firefighter,True,0.99609375,0.90234375,0.46484375,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
pilot,a,a,True,pilot,True,av,False,0.91796875,0.91796875,0.81640625,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
dentist,a,a,True,dentist,True,dentist,True,0.98828125,0.96484375,0.53125,ophthalmologist,an,Someone who treats eye diseases is an ophthalmologist
electrician,an,an,True,electric,True,(n,False,0.9921875,1.0,0.94921875,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
librarian,a,a,True,librarian,True,information,False,0.98828125,0.96484375,0.5703125,engineer,an,Someone who designs and builds technical systems is an engineer
photographer,a,a,True,photographer,True,photographer,True,0.984375,0.9765625,0.455078125,examiner,an,Someone who tests or evaluates people or things is an examiner
architect,an,an,True,architect,True,(n,False,0.9609375,0.9140625,0.87109375,inventor,an,Someone who creates new devices or processes is an inventor
mechanic,a,a,True,mechanic,True,auto,False,0.9765625,0.96484375,0.796875,accountant,an,Someone who manages financial records is an accountant
surgeon,a,a,True,surgeon,True,surgeon,True,0.98828125,0.98046875,0.39453125,inventor,an,Someone who creates new devices or processes is an inventor
pharmacist,a,a,True,pharmacist,True,pharmacist,True,0.9921875,0.94140625,0.341796875,actor,an,Someone who performs in plays or movies is an actor
journalist,a,a,True,journalist,True,author,False,0.98828125,0.69140625,0.3515625,architect,an,Someone who designs buildings and structures is an architect
plumber,a,a,True,plumber,True,plumber,True,0.984375,0.98828125,0.9609375,electrician,an,Someone who installs and repairs electrical systems is an electrician
accountant,an,an,True,accountant,True,(n,False,0.9296875,0.9453125,0.5078125,engineer,an,Someone who designs and builds technical systems is an engineer
lawyer,a,an,False,lawyer,True,attorney,False,0.8125,0.9609375,0.99609375,oncologist,an,Someone who treats cancer patients is an oncologist
engineer,an,an,True,engineer,True,systems,False,0.9296875,0.96875,0.57421875,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
baker,a,a,True,baker,True,a,False,0.9921875,0.90625,0.1259765625,auditor,an,Someone who examines financial records is an auditor
carpenter,a,a,True,carp,True,electric,False,0.9921875,0.9375,0.1845703125,operator,an,Someone who runs machinery or equipment is an operator
professor,a,a,True,professor,True,academic,False,0.609375,0.84375,0.9765625,electrician,an,Someone who installs and repairs electrical systems is an electrician
physicist,a,a,True,physicist,True,what,False,0.9921875,0.74609375,0.1474609375,auctioneer,an,Someone who conducts auctions is an auctioneer
biologist,a,a,True,biologist,True,biologist,True,0.984375,0.98046875,0.5546875,oncologist,an,Someone who treats cancer patients is an oncologist
chemist,a,a,True,chem,True,chem,True,0.984375,0.984375,0.490234375,inspector,an,Someone who examines things for quality or compliance is an inspector
historian,a,a,True,historian,True,historian,True,0.9609375,0.8828125,0.90625,auctioneer,an,Someone who conducts auctions is an auctioneer
psychologist,a,a,True,psychologist,True,academic,False,0.984375,0.94140625,0.150390625,actor,an,Someone who performs in plays or movies is an actor
economist,an,a,False,economist,True,financial,False,0.8984375,0.99609375,0.859375,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
cardiologist,a,a,True,cardi,True,?,False,0.98828125,0.90625,0.1259765625,editor,an,Someone who reviews and revises written content is an editor
neurologist,a,a,True,neuro,True,neuro,True,0.99609375,0.98046875,0.208984375,inventor,an,Someone who creates new devices or processes is an inventor
pediatrician,a,a,True,pediatric,True,infant,False,0.99609375,0.97265625,0.490234375,orthopedist,an,Someone who treats bone and joint problems is an orthopedist
dermatologist,a,a,True,dermat,True,dermat,True,0.99609375,0.9921875,0.400390625,electrician,an,Someone who installs and repairs electrical systems is an electrician
psychiatrist,a,a,True,psychiatrist,True,psychiatrist,True,0.9921875,0.796875,0.50390625,anesthesiologist,an,Someone who administers anesthesia during surgery is an anesthesiologist
radiologist,a,also,False,radi,True,interpreter,False,0.59375,0.76171875,0.82421875,actor,an,Someone who performs in plays or movies is an actor
anesthesiologist,an,an,True,an,True,/an,False,0.97265625,0.9921875,0.275390625,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
oncologist,an,an,True,onc,True,doctor,False,0.75,1.0,0.51953125,astronomer,an,Someone who studies stars and planets is an astronomer
ophthalmologist,an,an,True,o,True,(n,False,0.95703125,0.953125,0.5625,economist,an,Someone who studies financial systems and markets is an economist
orthopedist,an,an,True,orth,True,(n,False,0.96484375,0.9765625,0.4296875,oncologist,an,Someone who treats cancer patients is an oncologist
astronomer,an,an,True,astronom,True,(n,False,0.9921875,0.98046875,0.8515625,archaeologist,an,Someone who studies ancient civilizations through artifacts is an archaeologist
geologist,a,a,True,ge,True,earth,False,0.984375,0.9765625,0.66796875,engineer,an,Someone who designs and builds technical systems is an engineer
