Profession,Article,Predicted_Article,Article_Correct,Predicted_Profession,Profession_Correct,IC_Index,Prob_Article,Prob_Profession
veterinarian,a,a,True,veterinarian,True,81,0.99609375,0.7890625
teacher,a,a,True,teacher,True,14,1.0,0.77734375
chef,a,a,True,**,False,3,1.0,0.78515625
firefighter,a,a,True,firefighter,True,94,0.984375,0.99609375
pilot,a,a,True,pilot,True,35,0.9765625,0.8671875
dentist,a,a,True,dentist,True,31,0.99609375,0.984375
electrician,an,an,True,electric,True,28,0.9921875,0.96875
librarian,a,a,True,librarian,True,17,0.953125,0.8671875
photographer,a,a,True,photographer,True,94,1.0,0.9765625
architect,an,an,True,architect,True,13,0.99609375,0.81640625
mechanic,a,a,True,mechanic,True,86,0.9921875,0.9609375
surgeon,a,a,True,surgeon,True,94,0.99609375,0.77734375
pharmacist,a,a,True,pharmacist,True,69,1.0,0.83203125
journalist,a,a,True,journalist,True,11,0.99609375,0.91796875
plumber,a,a,True,plumber,True,75,0.99609375,0.921875
accountant,an,an,True,accountant,True,54,0.921875,0.984375
lawyer,a,a,True,lawyer,True,4,0.671875,0.796875
engineer,an,an,True,engineer,True,3,0.99609375,0.84765625
baker,a,a,True,baker,True,11,0.99609375,0.6875
carpenter,a,a,True,carp,True,27,1.0,0.9765625
professor,a,a,True,professor,True,29,0.953125,0.80859375
physicist,a,a,True,physicist,True,64,1.0,0.8671875
biologist,a,a,True,biologist,True,77,1.0,0.9453125
chemist,a,a,True,chem,True,3,0.99609375,0.67578125
historian,a,a,True,historian,True,71,0.9765625,0.8671875
psychologist,a,a,True,psychologist,True,91,1.0,0.796875
economist,an,a,False,economist,True,83,0.55859375,0.66796875
cardiologist,a,a,True,cardi,True,89,0.99609375,0.76953125
neurologist,a,a,True,**,False,69,0.984375,0.53125
pediatrician,a,a,True,pediatric,True,53,0.98828125,0.83203125
dermatologist,a,a,True,dermat,True,28,1.0,0.8671875
psychiatrist,a,a,True,psychologist,False,57,1.0,0.380859375
radiologist,a,a,True,radi,True,75,0.99609375,0.69921875
anesthesiologist,an,an,True,an,True,35,0.9921875,0.828125
oncologist,an,an,True,onc,True,103,0.6875,0.94921875
ophthalmologist,an,an,True,o,True,0,0.99609375,0.9375
orthopedist,an,an,True,**,False,97,0.78515625,0.75390625
astronomer,an,an,True,astronom,True,103,0.99609375,0.9453125
geologist,a,a,True,ge,True,20,0.99609375,0.79296875
anthropologist,an,an,True,anthrop,True,89,0.99609375,0.83203125
sociologist,a,a,True,soci,True,54,0.98828125,0.94140625
mathematician,a,a,True,mathematic,True,43,0.99609375,0.8359375
statistician,a,a,True,statistic,True,35,0.99609375,0.65625
botanist,a,a,True,bot,True,19,0.99609375,0.8984375
zoologist,a,a,True,biologist,False,27,0.9921875,0.66015625
meteorologist,a,a,True,meteor,True,97,0.99609375,0.96484375
archaeologist,an,an,True,**,False,43,0.99609375,0.64453125
linguist,a,a,True,lingu,True,13,0.99609375,0.58984375
musician,a,a,True,musician,True,11,0.99609375,0.67578125
artist,an,an,True,artist,True,48,0.99609375,0.96484375
sculptor,a,a,True,sculpt,True,12,0.8515625,0.90234375
dancer,a,a,True,dancer,True,45,0.99609375,0.828125
actor,an,an,True,actor,True,44,0.99609375,0.921875
writer,a,an,False,**,False,77,0.61328125,0.74609375
poet,a,a,True,poet,True,33,0.99609375,0.6796875
novelist,a,a,True,writer,False,103,0.5859375,0.375
editor,an,an,True,editor,True,5,0.9765625,0.9609375
translator,a,a,True,translator,True,93,0.99609375,0.890625
bartender,a,a,True,bartender,True,68,0.9921875,0.640625
waiter,a,a,True,server,False,15,0.99609375,0.51953125
barber,a,a,True,hairst,False,48,1.0,0.6328125
tailor,a,a,True,tailor,True,10,1.0,0.9296875
florist,a,a,True,flor,True,70,1.0,0.91796875
jeweler,a,a,True,jew,True,37,1.0,0.88671875
watchmaker,a,a,True,watch,True,106,0.9921875,0.52734375
locksmith,a,a,True,**,False,80,1.0,0.578125
welder,a,a,True,**,False,79,0.99609375,0.52734375
mason,a,a,True,m,True,46,0.9921875,0.65234375
roofer,a,a,True,**,False,73,0.99609375,0.55859375
painter,a,a,True,painter,True,24,0.984375,0.58984375
gardener,a,a,True,gard,True,90,0.99609375,0.58203125
farmer,a,a,True,farmer,True,8,1.0,0.95703125
fisherman,a,a,True,fish,True,5,1.0,0.94921875
sailor,a,a,True,sailor,True,84,0.9921875,0.7890625
trucker,a,a,True,truck,True,29,0.99609375,0.98828125
conductor,a,a,True,conductor,True,98,0.9765625,0.9296875
judge,a,a,True,judge,True,37,0.9921875,0.8515625
detective,a,a,True,detective,True,10,0.99609375,0.77734375
paramedic,a,an,False,emergency,False,29,0.94140625,0.46875
dispatcher,a,a,True,**,False,12,0.83203125,0.458984375
counselor,a,a,True,mentor,False,48,0.99609375,0.828125
therapist,a,a,True,physician,False,35,0.984375,0.39453125
nutritionist,a,a,True,diet,False,58,0.9921875,0.73828125
trainer,a,a,True,**,False,81,0.98828125,0.51953125
coach,a,a,True,coach,True,106,0.99609375,0.52734375
referee,a,a,True,referee,True,46,0.99609375,0.984375
cashier,a,a,True,cashier,True,20,0.98828125,0.96875
clerk,a,an,False,**,False,47,0.9921875,0.76953125
receptionist,a,a,True,reception,True,45,0.98828125,0.73046875
secretary,a,an,False,**,False,26,0.9921875,0.83203125
manager,a,a,True,**,False,85,0.99609375,0.53125
