sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.921875,0.0015716553,0.9296875,0.00157928466796875,0.9296875,0.00157928466796875,0.93359375,0.00159454345703125,1
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,0.98828125,0.0075683594,0.98828125,0.007568359375,0.98828125,0.007537841796875,0.9921875,0.004608154296875,9
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.99609375,0.0016937256,0.99609375,0.001495361328125,0.99609375,0.0016937255859375,0.99609375,0.00090789794921875,2
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.98828125,0.007537842,0.98828125,0.00665283203125,0.96484375,0.025634765625,0.99609375,0.00080108642578125,5
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.86328125,0.103515625,0.87890625,0.0927734375,0.7734375,0.15234375,0.7265625,0.0595703125,8
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.984375,0.0021514893,0.984375,0.0021514892578125,0.984375,0.003143310546875,0.9765625,0.000888824462890625,7
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.16210938,0.8203125,0.1611328125,0.8203125,0.8359375,0.1455078125,0.00015735626220703125,0.9921875,4
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.98046875,0.012329102,0.98046875,0.0123291015625,0.95703125,0.03271484375,0.9921875,0.00191497802734375,5
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.98046875,0.012390137,0.984375,0.01092529296875,0.96875,0.0228271484375,0.99609375,0.00080108642578125,9
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,False,0.71875,0.26367188,0.71875,0.263671875,0.93359375,0.052734375,0.5078125,0.44921875,8
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.98828125,0.0031433105,0.98828125,0.0035552978515625,0.984375,0.0035552978515625,0.984375,0.0035552978515625,1
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.99609375,0.0024719238,0.9921875,0.0027923583984375,0.9921875,0.0027923583984375,0.9921875,0.0027923583984375,0
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.98046875,0.0006980896,0.98046875,0.000698089599609375,0.98046875,0.000789642333984375,0.98046875,0.000614166259765625,1
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.94140625,0.013427734,0.9453125,0.01348876953125,0.9453125,0.01348876953125,0.94921875,0.01055908203125,1
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.98828125,0.007537842,0.98828125,0.007537841796875,0.984375,0.0096435546875,0.98828125,0.007568359375,3
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,False,0.8359375,0.041503906,0.8359375,0.04150390625,0.83984375,0.0224609375,0.578125,0.310546875,3
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,True,0.97265625,0.0024108887,0.9765625,0.00274658203125,0.97265625,0.0030975341796875,0.98046875,0.007476806640625,4
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,False,0.83203125,0.1640625,0.83203125,0.1640625,0.9765625,0.0179443359375,0.037109375,0.95703125,8
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,0.984375,0.00079345703,0.98828125,0.0009002685546875,0.98828125,0.00115203857421875,0.9765625,0.000476837158203125,3
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.98828125,0.0035705566,0.98828125,0.003570556640625,0.984375,0.0035552978515625,0.984375,0.0020294189453125,4
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,True,0.94140625,0.025024414,0.9375,0.0250244140625,0.953125,0.01202392578125,0.796875,0.177734375,6
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,True,0.9765625,0.017944336,0.9765625,0.017822265625,0.97265625,0.0201416015625,0.9921875,0.004058837890625,6
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,True,0.9765625,0.008483887,0.9765625,0.0084228515625,0.98046875,0.005157470703125,0.9609375,0.03271484375,1
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,True,0.99609375,0.0011672974,0.99609375,0.001495361328125,0.99609375,0.001922607421875,0.9921875,0.000904083251953125,5
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,True,0.9765625,0.010864258,0.9765625,0.0108642578125,0.97265625,0.01220703125,0.98828125,0.00518798828125,6
<|im_end|>Someone who directs and monitors workers is a supervisor. Someone who studies human behavior and mental processes is,a,psychologist,True,0.9765625,0.0045166016,0.9765625,0.0045166015625,0.97265625,0.007415771484375,0.98046875,0.003997802734375,4
<|im_end|>Someone who helps others develop skills or fitness is a trainer. Someone who studies financial systems and markets is,an,economist,False,0.94140625,0.005584717,0.9453125,0.005615234375,0.953125,0.004425048828125,0.92578125,0.01324462890625,1
<|im_end|>Someone who provides administrative support is a secretary. Someone who treats heart diseases is,a,cardiologist,True,0.84765625,0.010009766,0.859375,0.009521484375,0.8671875,0.00848388671875,0.8359375,0.01116943359375,1
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who treats disorders of the nervous system is,a,neurologist,True,0.984375,0.0011520386,0.984375,0.00130462646484375,0.984375,0.00130462646484375,0.98828125,0.00079345703125,2
<|im_end|>Someone who creates written works is a writer. Someone who provides medical care to children is,a,pediatrician,True,0.99609375,0.00062179565,0.99609375,0.000621795654296875,0.99609375,0.00054931640625,0.99609375,0.000621795654296875,2
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who treats skin conditions is,a,dermatologist,True,0.99609375,0.00017929077,0.99609375,0.000179290771484375,1.0,0.00022983551025390625,0.9453125,0.0001316070556640625,3
<|im_end|>Someone who converts text from one language to another is a translator. Someone who treats mental health disorders is,a,psychiatrist,True,0.98828125,0.0005455017,0.98828125,0.000545501708984375,0.98828125,0.0009002685546875,0.98828125,0.00013828277587890625,4
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who interprets medical images is,a,radiologist,True,0.9921875,0.0031585693,0.9921875,0.0035858154296875,0.9921875,0.0035858154296875,0.9921875,0.0035858154296875,0
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who administers anesthesia during surgery is,an,anesthesiologist,False,0.921875,0.05908203,0.92578125,0.05908203125,0.92578125,0.05908203125,0.92578125,0.05908203125,0
<|im_end|>Someone who writes computer code is a programmer. Someone who treats cancer patients is,an,oncologist,False,0.984375,0.0024414062,0.984375,0.0021514892578125,0.98046875,0.0027618408203125,0.984375,0.00189971923828125,3
<|im_end|>Someone who heals sick pets is a veterinarian. Someone who treats eye diseases is,an,ophthalmologist,False,0.96875,0.0107421875,0.96484375,0.01373291015625,0.9609375,0.017578125,0.96875,0.004486083984375,4
<|im_end|>Someone who helps buy and sell property is a realtor. Someone who treats bone and joint problems is,an,orthopedist,False,0.9921875,0.0027923584,0.9921875,0.002777099609375,0.9921875,0.00148773193359375,0.984375,0.01239013671875,5
<|im_end|>Someone who writes computer code is a programmer. Someone who studies stars and planets is,an,astronomer,False,0.94921875,0.032470703,0.9453125,0.03662109375,0.9609375,0.0120849609375,0.55859375,0.435546875,9
<|im_end|>Someone who teaches and conducts research at universities is a professor. Someone who studies rocks and earth formations is,a,geologist,True,0.96484375,0.012145996,0.9609375,0.01373291015625,0.95703125,0.01361083984375,0.96875,0.01385498046875,2
<|im_end|>Someone who provides administrative support is a secretary. Someone who studies human cultures and societies is,an,anthropologist,False,0.9296875,0.024780273,0.93359375,0.02197265625,0.93359375,0.02197265625,0.92578125,0.021728515625,1
<|im_end|>Someone who writes poetry is a poet. Someone who studies social behavior and institutions is,a,sociologist,True,0.87890625,0.06347656,0.87890625,0.0634765625,0.8828125,0.06396484375,0.875,0.04931640625,3
<|im_end|>Someone who studies plants is a botanist. Someone who works with numbers and mathematical theories is,a,mathematician,True,0.83984375,0.0023651123,0.85546875,0.0021209716796875,0.82421875,0.0023193359375,0.90625,0.0012054443359375,9
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who analyzes data and calculates probabilities is,a,statistician,True,0.9765625,0.00579834,0.9765625,0.005126953125,0.9765625,0.005126953125,0.98046875,0.007476806640625,5
<|im_end|>Someone who builds things with wood is a carpenter. Someone who studies plants is,a,botanist,True,0.95703125,0.0034484863,0.9609375,0.0034637451171875,0.96875,0.0021209716796875,0.91796875,0.0244140625,2
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who studies animals is,a,zoologist,True,0.95703125,0.019897461,0.9609375,0.017578125,0.9609375,0.017578125,0.9609375,0.017578125,0
<|im_end|>Someone who helps buy and sell property is a realtor. Someone who studies weather patterns is,a,meteorologist,True,0.984375,0.010925293,0.98046875,0.01092529296875,0.984375,0.008544921875,0.95703125,0.0255126953125,3
<|im_end|>Someone who studies plants is a botanist. Someone who studies ancient civilizations through artifacts is,an,archaeologist,False,0.96484375,0.015563965,0.96484375,0.01556396484375,0.96875,0.009521484375,0.8828125,0.08203125,5
<|im_end|>Someone who writes news articles is a journalist. Someone who studies languages and their structure is,a,linguist,True,0.94921875,0.0026550293,0.94921875,0.002655029296875,0.953125,0.0034332275390625,0.94921875,0.00726318359375,5
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who plays instruments or composes music is,a,musician,True,0.94140625,0.032226562,0.9453125,0.0284423828125,0.90625,0.05810546875,0.9609375,0.0289306640625,4
<|im_end|>Someone who plays instruments or composes music is a musician. Someone who creates visual art is,an,artist,False,0.53125,0.28515625,0.5,0.3046875,0.8671875,0.00848388671875,0.0010223388671875,0.98828125,7
<|im_end|>Someone who dispenses medications is a pharmacist. Someone who creates three-dimensional art is,a,sculptor,True,0.796875,0.17773438,0.77734375,0.1962890625,0.77734375,0.1962890625,0.77734375,0.1962890625,0
<|im_end|>Someone who studies weather patterns is a meteorologist. Someone who performs choreographed movements is,a,dancer,True,0.8984375,0.0099487305,0.89453125,0.01129150390625,0.8828125,0.0125732421875,0.94921875,0.0026702880859375,1
<|im_end|>Someone who studies animals is a zoologist. Someone who performs in plays or movies is,an,actor,False,0.78125,0.13574219,0.7734375,0.15234375,0.9140625,0.027587890625,0.10009765625,0.83984375,6
<|im_end|>Someone who investigates crimes is a detective. Someone who creates written works is,a,writer,True,0.95703125,0.032714844,0.95703125,0.03271484375,0.94921875,0.032470703125,0.9453125,0.05322265625,6
<|im_end|>Someone who administers anesthesia during surgery is an anesthesiologist. Someone who writes poetry is,a,poet,True,0.9375,0.022094727,0.9375,0.0220947265625,0.9296875,0.028076171875,0.953125,0.006439208984375,3
<|im_end|>Someone who writes computer code is a programmer. Someone who writes novels is,a,novelist,True,0.98046875,0.003112793,0.98046875,0.0035400390625,0.98046875,0.003997802734375,0.984375,0.001678466796875,3
<|im_end|>Someone who treats teeth and gums is a dentist. Someone who reviews and revises written content is,an,editor,False,0.96484375,0.007385254,0.96875,0.00653076171875,0.96484375,0.00738525390625,0.96875,0.00653076171875,1
<|im_end|>Someone who examines data and information is an analyst. Someone who converts text from one language to another is,a,translator,True,0.984375,0.0051574707,0.984375,0.004547119140625,0.98046875,0.006591796875,0.9921875,0.0024566650390625,2
<|im_end|>Someone who installs and repairs roofs is a roofer. Someone who mixes and serves drinks is,a,bartender,True,0.99609375,0.00015830994,0.99609375,0.000179290771484375,0.99609375,0.0001392364501953125,1.0,0.000431060791015625,3
<|im_end|>Someone who manages financial records is an accountant. Someone who serves food in restaurants is,a,waiter,True,0.98046875,0.0021514893,0.984375,0.001678466796875,0.984375,0.001678466796875,0.984375,0.00130462646484375,2
