question,generated,answer,intermediate,prompt_type,exact_match,contains_answer
The country containing Kandahar has its capital in,Kabul.,Kabul,Afghanistan,country_capital,True,True
The country containing Durrës has its capital in,"Albania
A:

Yes",Tirana,Albania,country_capital,False,False
The country containing Oran has its capital in,Algeria,Algiers,Algeria,country_capital,False,False
The country containing Les Escaldes has its capital in,Barcelona.,Andorra la Vella,Andorra,country_capital,False,False
The country containing Huambo has its capital in,Huambo.,Luanda,Angola,country_capital,False,False
The country containing All Saints has its capital in,Dublin.,St. John's,Antigua and Barbuda,country_capital,False,False
The country containing Córdoba has its capital in,Córdoba,Buenos Aires,Argentina,country_capital,False,False
The country containing Gyumri has its capital in,"Armenia
A:

Yes",Yerevan,Armenia,country_capital,False,False
The country containing Sydney has its capital in,Canberra. B: Sydney,Canberra,Australia,country_capital,False,True
The country containing Graz has its capital in,Austria,Vienna,Austria,country_capital,False,False
The country containing Ganja has its capital in,"Azerbaijan
Q: Where",Baku,Azerbaijan,country_capital,False,False
The country containing Freeport has its capital in,The capital of the country,Nassau,Bahamas,country_capital,False,False
The country containing Riffa has its capital in,Jordan,Manama,Bahrain,country_capital,False,False
The country containing Chittagong has its capital in,"Bangladesh
Noah:",Dhaka,Bangladesh,country_capital,False,False
The country containing Speightstown has its capital in,The capital of the country,Bridgetown,Barbados,country_capital,False,False
The country containing Homel has its capital in,The country containing Homel,Minsk,Belarus,country_capital,False,False
The country containing Antwerp has its capital in,Belgium,Brussels,Belgium,country_capital,False,False
The country containing Belize City has its capital in,Guatemala City.,Belmopan,Belize,country_capital,False,False
The country containing Cotonou has its capital in,Cotonou,Porto-Novo,Benin,country_capital,False,False
The country containing Phuntsholing has its capital in,"Bhutan
Q:",Thimphu,Bhutan,country_capital,False,False
The country containing Banja Luka has its capital in,"Belgrade
B:",Sarajevo,Bosnia and Herzegovina,country_capital,False,False
The country containing Francistown has its capital in,South Africa,Gaborone,Botswana,country_capital,False,False
The country containing São Paulo has its capital in,Brazil,Brasília,Brazil,country_capital,False,False
The country containing Kuala Belait has its capital in,Singapore.,Bandar Seri Begawan,Brunei,country_capital,False,False
The country containing Plovdiv has its capital in,Bulgaria.,Sofia,Bulgaria,country_capital,False,False
The country containing Bobo-Dioulasso has its capital in,Burkina Faso,Ouagadougou,Burkina Faso,country_capital,False,False
The country containing Muyinga has its capital in,Brazzaville,Bujumbura,Burundi,country_capital,False,False
The country containing Siem Reap has its capital in,Phnom Penh,Phnom Penh,Cambodia,country_capital,True,True
The country containing Douala has its capital in,Cameroon.,Yaoundé,Cameroon,country_capital,False,False
The country containing Toronto has its capital in,canada.,Ottawa,Canada,country_capital,False,False
The country containing Mindelo has its capital in,funchal,Praia,Cape Verde,country_capital,False,False
The country containing Bimbo has its capital in,1. Bim,Bangui,Central African Republic,country_capital,False,False
The country containing Moundou has its capital in,Abidjan.,N'Djamena,Chad,country_capital,False,False
The country containing Puente Alto has its capital in,Santiago de Chile.,Santiago,Chile,country_capital,False,True
The country containing Shanghai has its capital in,Beijing. B: Shanghai,Beijing,China,country_capital,False,True
The country containing Medellín has its capital in,Bogotá.,Bogotá,Colombia,country_capital,True,True
The country containing Mutsamudu has its capital in,The country containing Muts,Moroni,Comoros,country_capital,False,False
The country containing Lubumbashi has its capital in,Kinshasa,Kinshasa,Democratic Republic of the Congo,country_capital,True,True
The country containing Pointe-Noire has its capital in,Pointe-Noire.,Brazzaville,Republic of the Congo,country_capital,False,False
The country containing Alajuela has its capital in,Panama City.,San José,Costa Rica,country_capital,False,False
