first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion,sample_idx
"Boxes of books, a reader's delight,",delight,respite,delight,False,"Stacks in the corner, a cozy respite.","Stacks in the corner, a cozy respite.",0
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,1
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks on the shelves, a cozy sight.","Stacks on the shelves, a cozy sight.",2
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high with stories to bring joy and light.,Stacked high with stories to bring joy and light.,3
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,4
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",5
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high with stories to light.,Stacked high with stories to light.,6
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,7
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,8
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked high on shelves, they shine so bright.","Stacked high on shelves, they shine so bright.",9
"Boxes of books, a reader's delight,",delight,retreat,delight,False,"Stacks in the corner, a cozy retreat.","Stacks in the corner, a cozy retreat.",10
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,11
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",12
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks on the shelf, a cozy sight.","Stacks on the shelf, a cozy sight.",13
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",14
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",15
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",16
"Boxes of books, a reader's delight,",delight,night,delight,True,"Stacks in the corners, a cozy night.","Stacks in the corners, a cozy night.",17
"Boxes of books, a reader's delight,",delight,tight,delight,True,Stacked high in the attic's tight.,Stacked high in the attic's tight.,18
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corners, a cozy sight.","Stacks in the corners, a cozy sight.",19
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high with stories to light.,Stacked high with stories to light.,20
"Boxes of books, a reader's delight,",delight,retreat,delight,False,"Stacks in the corner, a cozy retreat.","Stacks in the corner, a cozy retreat.",21
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",22
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high with stories to bring joy and light.,Stacked high with stories to bring joy and light.,23
"Boxes of books, a reader's delight,",delight,light,delight,True,Stacked high with stories to light.,Stacked high with stories to light.,24
"Boxes of books, a reader's delight,",delight,sight,delight,True,"Stacks in the corner, a cozy sight.","Stacks in the corner, a cozy sight.",25
"Boxes of books, a reader's delight,",delight,bright,delight,True,"Stacked high on shelves, they shine so bright.","Stacked high on shelves, they shine so bright.",26
"Boxes of books, a reader's delight,",delight,joy,delight,False,Stacked high with stories to bring joy.,Stacked high with stories to bring joy.,27
"Boxes of books, a reader's delight,",delight,ignite,delight,True,Stacked high with stories to ignite.,Stacked high with stories to ignite.,28
