planned,article,predicted_article,article_correct,predicted_planned,planned_correct,predicted_planned_wrong_article,planned_wrong_article_correct,prob_article,prob_a,prob_an,correct_article_higher,prob_planned,prob_planned_wrong_article,ic_planned,ic_article,ic_description,prompt_before_article,prompt_with_article,prompt_with_wrong_article
antelope,an,a,False,ant,True,gaz,False,0.6544659733772278,0.6544659733772278,0.009317667223513126,False,0.8920705914497375,0.9794028401374817,incinerator,an,The furnace that burns waste at extremely high temperatures to destroy it is an incinerator,"<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is an","<|im_start|>user
The furnace that burns waste at extremely high temperatures to destroy it is an incinerator. The graceful African animal with curved horns that travels in herds across the savanna is a"
apple,an,an,True,apple,True,strawberry,False,0.8538580536842346,0.06868965178728104,0.8538580536842346,True,0.997621476650238,0.42366039752960205,hotdog,a,The cylindrical sausage served in a split bun at baseball games is a hotdog,"<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is an","<|im_start|>user
The cylindrical sausage served in a split bun at baseball games is a hotdog. The crisp red fruit that is often said to keep the doctor away is a"
armchair,an,a,False,arm,True,sofa,False,0.9185287356376648,0.9185287356376648,0.06481552869081497,False,0.9493870139122009,0.33977624773979187,bed,a,The piece of furniture you sleep on with a mattress and frame is a bed,"<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is an","<|im_start|>user
The piece of furniture you sleep on with a mattress and frame is a bed. The upholstered chair with wide padded arms on both sides where you sink in to relax is a"
axe,an,an,True,axe,True,(n,False,0.9929874539375305,0.0034558677580207586,0.9929874539375305,True,0.992645263671875,0.541297972202301,eggplant,an,The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant,"<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is an","<|im_start|>user
The large purple vegetable with glossy skin used in Mediterranean cooking is an eggplant. The sharp tool with a wooden handle used for chopping wood is a"
baby,a,a,True,baby,True,infant,False,0.6835683584213257,0.6835683584213257,0.29951193928718567,True,0.9873631596565247,0.9998558759689331,apricot,an,The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot,"<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is a","<|im_start|>user
The small orange fruit with fuzzy skin and a large pit similar to a peach is an apricot. The tiny human who cries often and needs constant care is an"
bagel,a,a,True,bag,True,english,False,0.9988958835601807,0.9988958835601807,0.0001064349853550084,True,0.880641520023346,0.9323967695236206,tree,a,The tall woody plant with branches and leaves that provides shade and oxygen is a tree,"<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is a","<|im_start|>user
The tall woody plant with branches and leaves that provides shade and oxygen is a tree. The round bread with a hole in the middle often topped with cream cheese is an"
ball,a,a,True,ball,True,inflatable,False,0.9951589703559875,0.9951589703559875,0.00013787165516987443,True,0.9823912978172302,0.615181565284729,mattress,a,The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress,"<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is a","<|im_start|>user
The thick rectangular pad that you sleep on placed on top of a bed frame is a mattress. The round object that bounces and is used in many sports is an"
banana,a,a,True,banana,True,orange,False,0.9986875653266907,0.9986875653266907,0.00021495971304830164,True,0.9975354671478271,0.6558277010917664,frog,a,The green amphibian that hops and croaks and catches flies with its tongue is a frog,"<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is a","<|im_start|>user
The green amphibian that hops and croaks and catches flies with its tongue is a frog. The long yellow fruit that monkeys love to eat is an"
basket,a,a,True,basket,True,es,False,0.9916539192199707,0.9916539192199707,2.673075687198434e-05,True,0.9999034404754639,0.46326345205307007,eel,an,The long snake-like fish that lives in water and has smooth slimy skin is an eel,"<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is a","<|im_start|>user
The long snake-like fish that lives in water and has smooth slimy skin is an eel. The woven container used for carrying items or storing things is an"
bat,a,a,True,bat,True,bat,True,0.9894384741783142,0.9894384741783142,7.829520473023877e-05,True,0.9967706203460693,0.41413453221321106,bookshelf,a,The tall furniture piece with horizontal shelves for storing books is a bookshelf,"<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is a","<|im_start|>user
The tall furniture piece with horizontal shelves for storing books is a bookshelf. The nocturnal flying mammal that hangs upside down in caves is an"
bathrobe,a,a,True,bath,True,towel,False,0.9783331751823425,0.9783331751823425,0.006640173960477114,True,0.490795373916626,0.5864699482917786,escalator,an,The moving staircase found in shopping malls that carries people up and down is an escalator,"<|im_start|>user
The moving staircase found in shopping malls that carries people up and down is an escalator. The soft terry cloth garment worn after a shower is","<|im_start|>user
The moving staircase found in shopping malls that carries people up and down is an escalator. The soft terry cloth garment worn after a shower is a","<|im_start|>user
The moving staircase found in shopping malls that carries people up and down is an escalator. The soft terry cloth garment worn after a shower is an"
bean,a,a,True,chili,False,ok,False,0.9592628479003906,0.9592628479003906,0.0059642186388373375,True,0.3038497269153595,0.7519369721412659,armadillo,an,The armored mammal that rolls into a ball and has a hard shell covering is an armadillo,"<|im_start|>user
The armored mammal that rolls into a ball and has a hard shell covering is an armadillo. The small edible seed that grows in pods and is often used in chili is","<|im_start|>user
The armored mammal that rolls into a ball and has a hard shell covering is an armadillo. The small edible seed that grows in pods and is often used in chili is a","<|im_start|>user
The armored mammal that rolls into a ball and has a hard shell covering is an armadillo. The small edible seed that grows in pods and is often used in chili is an"
bed,a,a,True,bed,True,iron,False,0.9849780797958374,0.9849780797958374,1.9903429347323254e-05,True,0.9984232187271118,0.4697026312351227,gate,a,The hinged barrier that swings open to allow entry through a fence or wall is a gate,"<|im_start|>user
The hinged barrier that swings open to allow entry through a fence or wall is a gate. The piece of furniture you sleep on with a mattress and frame is","<|im_start|>user
The hinged barrier that swings open to allow entry through a fence or wall is a gate. The piece of furniture you sleep on with a mattress and frame is a","<|im_start|>user
The hinged barrier that swings open to allow entry through a fence or wall is a gate. The piece of furniture you sleep on with a mattress and frame is an"
bedsheet,a,a,True,sheet,False,?,False,0.9921877384185791,0.9921877384185791,1.993947444134392e-05,True,0.5711705088615417,0.20728619396686554,blanket,a,The warm covering you pull over yourself when sleeping or staying cozy is a blanket,"<|im_start|>user
The warm covering you pull over yourself when sleeping or staying cozy is a blanket. The thin fabric covering that lies directly on top of a mattress is","<|im_start|>user
The warm covering you pull over yourself when sleeping or staying cozy is a blanket. The thin fabric covering that lies directly on top of a mattress is a","<|im_start|>user
The warm covering you pull over yourself when sleeping or staying cozy is a blanket. The thin fabric covering that lies directly on top of a mattress is an"
bike,a,a,True,bicycle,False,bicycle,False,0.9980029463768005,0.9980029463768005,1.2661153959925286e-05,True,0.8884643912315369,0.1626337468624115,bird,a,The feathered creature that flies through the sky and builds nests is a bird,"<|im_start|>user
The feathered creature that flies through the sky and builds nests is a bird. The two-wheeled vehicle you pedal with your feet to move forward is","<|im_start|>user
The feathered creature that flies through the sky and builds nests is a bird. The two-wheeled vehicle you pedal with your feet to move forward is a","<|im_start|>user
The feathered creature that flies through the sky and builds nests is a bird. The two-wheeled vehicle you pedal with your feet to move forward is an"
