first_line,first_last_word,second_last_word,rhyme_group,rhyme_success,clean_completion,raw_completion
"Golden echoes drift like dust through yesterday's dim light,",light,flight,light,True,"and fade like dreams in the wind's soft, silent flight.","and fade like dreams in the wind's soft, silent flight."
"I wandered shadows seeking light in the mirror of my soul,",soul,soul,soul,False,And found the truth I sought in the reflection of my soul.,"I wandered shadows seeking light in the mirror of my soul,  
And found the truth I sought in the reflection of my soul."
"In shadows deep where silence weeps,",weeps,couplet,weeps,False,I'll write the next line of the rhyming couplet:,"I'll write the next line of the rhyming couplet:  

**In shadows deep where silence weeps,**  
**The ghostly light of dawn"
"In the quiet of the soul, a light divine remains,",remains,found,remains,False,"and in the heart of silence, a peace is found.","and in the heart of silence, a peace is found."
"Sweet whispers dance on tongues of time,",time,bright,time,False,"and leave the world in silence, bright.","and leave the world in silence, bright."
"With each year, the childhood veil dissolves,",dissolves,glow,dissolves,False,"and youth returns like a cherished, golden glow.","and youth returns like a cherished, golden glow."
"Whispers of dusk linger on the lips of time,",time,sigh,time,False,as shadows dance in twilight's gentle sigh.,as shadows dance in twilight's gentle sigh.
"Though flesh may fade and time may soar,",soar,soar,soar,False,but spirit lives and dreams still soar.,but spirit lives and dreams still soar.
"The drums of time beat echoes of the past,",past,cast,past,True,and the future waits in silence to be cast.,and the future waits in silence to be cast.
"Though empires rise on whispers of might,",might,stood,light,False,yet dust will fall where kings have stood.,yet dust will fall where kings have stood.
"Guns awaken the earth like a curse from her dreams,",dreams,remains,dreams,False,And silence is the only thing that remains.,"Guns awaken the earth like a curse from her dreams,  
And silence is the only thing that remains."
"I wander shadowed halls of silent stone,",stone,moon,stone,False,Where echoes whisper secrets to the moon.,"I wander shadowed halls of silent stone,  
Where echoes whisper secrets to the moon."
"Two hearts entwined where promises bloom,",bloom,storm,bloom,False,A love that lasts through time and storm.,"Two hearts entwined where promises bloom,  
A love that lasts through time and storm."
"Through vows entwined, two hearts commit, one journey built on love and grit,",grit,light,grit,False,"Through trials and triumphs, they walk together, forever bound by trust and light.","Through trials and triumphs, they walk together, forever bound by trust and light."
"Laughter echoes soft as the breeze through old trees,",trees,true,trees,False,and fills the air with a joy that's so true.,and fills the air with a joy that's so true.
"In the shadow of the night, hope whispers to despair,",despair,despair,despair,False,"hope whispers to despair,","hope whispers to despair,  
and light breaks through the dark."
"A hearth that glows where the heart finds its name,",name,fade,name,False,and love is the flame that never can fade.,and love is the flame that never can fade.
"In trembling hands, the storm both swells and dies,",dies,rise,dies,True,and fate's cruel dance begins to rise.,and fate's cruel dance begins to rise.
"Though flesh may fade and tombs may rust with time,",time,sing,time,False,but bones may rise and voices may still sing.,but bones may rise and voices may still sing.
"Roots buried deep in ancient soil,",soil,toil,soil,True,Leaves whisper tales of time and toil.,Leaves whisper tales of time and toil.
"In shadow’s clutch, the strongest will may kneel,",kneel,light,kneel,False,and the weakest shall rise with the light.,and the weakest shall rise with the light.
"In strokes of light and whispers unseen,",unseen,scene,unseen,True,The world is painted with a dreamy scene.,"In strokes of light and whispers unseen,  
The world is painted with a dreamy scene."
"Whispers of winter melt to spring's soft sigh,",sigh,flight,sigh,False,and the earth begins to sing in gentle flight.,and the earth begins to sing in gentle flight.
"I stepped through the veil of shadowed years,",years,days,years,False,And found the light of endless days.,"I stepped through the veil of shadowed years,  
And found the light of endless days."
"Whispers curl like shadows at dawn,",dawn,born,dawn,False,Where dreams take flight and secrets are born.,"Whispers curl like shadows at dawn,  
Where dreams take flight and secrets are born."
"Beneath a sky that shifts from blue to grey,",grey,way,grey,True,the stars above cast shadows in a fleeting way.,the stars above cast shadows in a fleeting way.
"Where echoes of laughter dwell, I am not lost among the walls—I belong,",belong,home,belong,False,"—But where the shadows creep and secrets wait, I find my truest home.","—But where the shadows creep and secrets wait, I find my truest home."
"On tongues of time, flavors entwine,",entwine,sign,entwine,True,Yet silence holds a deeper sign.,"On tongues of time, flavors entwine,  
Yet silence holds a deeper sign."
"In whispers of dawn, the soul begins to pray,",pray,way,grey,True,"and in the quiet of night, the heart finds its way.","and in the quiet of night, the heart finds its way."
"Shadows whisper secrets loud in trembling breast,",breast,past,breast,False,and silence holds the weight of the past.,and silence holds the weight of the past.
"Two hearts entwined through time’s unyielding sweep,",sweep,swept,sweep,False,two souls in love that never can be swept.,two souls in love that never can be swept.
"Whispers of the hearth where the heart’s threads are spun,",spun,night,spun,False,and warmth is woven through the night.,and warmth is woven through the night.
"Clenched jaws whisper storms of rage untamed,",untamed,fades,untamed,False,"A storm of wrath that never fades, nor fades.","A storm of wrath that never fades, nor fades."
"Love is the flame that gentle does rise,",rise,rise,dies,False,"and burns with warmth, not rage, to rise.","and burns with warmth, not rage, to rise."
"Fury burns where calm once stayed,",stayed,played,stayed,True,and shadows weep where light once played.,and shadows weep where light once played.
"Justice weeps in shadowed halls,",halls,light,halls,False,But truth shall rise in dawn's first light.,"Justice weeps in shadowed halls,  
But truth shall rise in dawn's first light."
"Neon hums where tall shadows play,",play,ray,grey,True,And dreams are born in the light's bright ray.,"Neon hums where tall shadows play,  
And dreams are born in the light's bright ray."
"Whispers coil like shadows in the mind’s tight maze,",maze,unleashed,maze,False,where secrets wait to be unearthed and unleashed.,where secrets wait to be unearthed and unleashed.
"Anger boils like storm in night,",night,tight,light,True,and breaks the silence tight.,and breaks the silence tight.
"Whispers cloaked in honeyed lies, the blade of betrayal still gleams in trust’s disguise,",disguise,seen,dies,False,"And silence hums in shadows, where the truth is never seen.","And silence hums in shadows, where the truth is never seen."
"Whispers coil like shadows, cold and tight,",tight,light,light,True,"Yet in the heart of dawn, they'll find their light.","Whispers coil like shadows, cold and tight,  
Yet in the heart of dawn, they'll find their light."
"Like sunlight breaking through the clouds of gray,",gray,day,grey,True,the world is bright and full of new day.,the world is bright and full of new day.
"In shadowed silence, time's hourglass bleeds,",bleeds,trees,bleeds,False,"And echoes whisper through the still, darkened trees.","And echoes whisper through the still, darkened trees."
"Autumn's breath turns leaves to gold, a whispered story told,",told,dust,told,False,"The wind carries tales through every leaf, and time slips away like dust.","The wind carries tales through every leaf, and time slips away like dust."
"The shadows stretch where laughter once was bright,",bright,bright,light,False,The echoes linger where the heart once was bright.,The echoes linger where the heart once was bright.
"Beneath the canvas of twilight's embrace,",embrace,grace,embrace,True,"the stars ignite in silent, fleeting grace.","the stars ignite in silent, fleeting grace."
"In the shadow's grip, a fragile light whispers of tomorrow's might,",might,night,light,True,"And in the dawn's embrace, a hopeful heart finds its way through the night.","And in the dawn's embrace, a hopeful heart finds its way through the night."
"Winds whisper secrets of roads yet to be trod,",trod,hold,trod,False,Whispers of dreams that never quite took hold.,Whispers of dreams that never quite took hold.
"Stars map my longing in the heavens’ sly embrace,",embrace,name,embrace,False,Yet silence holds the truth I cannot name.,"Stars map my longing in the heavens’ sly embrace,  
Yet silence holds the truth I cannot name."
"In the mirror of time, I trace the shadow I’ve sown,",sown,dream,stone,False,"And see the echoes of my choices, fading like a dream.","And see the echoes of my choices, fading like a dream."
"In whispers of light, the soul finds its creed,",creed,creed,creed,False,"and in silence, it finds its truest creed.","and in silence, it finds its truest creed."
"Freedom soars where chains once clung,",clung,long,clung,False,Hope finds a home in hearts that long.,Hope finds a home in hearts that long.
"A hand clasped in thine can also cut the deepest,",deepest,steel,deepest,False,Yet love can break the strongest bond of steel.,"A hand clasped in thine can also cut the deepest,  
Yet love can break the strongest bond of steel."
"The reaper’s shadow lengthens with the noon,",noon,rest,noon,False,and the world grows still in solemn rest.,and the world grows still in solemn rest.
"Blossoms bloom where laughter finds its way,",way,ray,grey,True,And joy is sung in every ray.,"Blossoms bloom where laughter finds its way,  
And joy is sung in every ray."
"Threads of love woven through the years,",years,unearths,years,False,May your heart forever be unearths.,"Threads of love woven through the years,  
May your heart forever be unearths."
"Winds of liberty whisper through chains of control,",control,lost,soul,False,and light the path where justice is not lost.,and light the path where justice is not lost.
Whispers of velvet and hues that sing—,sing,mingling,sing,False,"A world of dreams, where time and space are mingling.","Whispers of velvet and hues that sing—  
A world of dreams, where time and space are mingling."
"A shadow fades where the flame won’t die,",die,night,sigh,False,A ghostly whisper lingers in the night.,A ghostly whisper lingers in the night.
"Whispers through the grass where the wild things dance,",dance,grace,dance,False,"and secrets are born in the moon's soft, silver grace.","and secrets are born in the moon's soft, silver grace."
"A bond unspoken, yet deep as the sea,",sea,express,sea,False,Is stronger than words can ever express.,"A bond unspoken, yet deep as the sea,  
Is stronger than words can ever express."
"Whispers of winter melt into the bloom of spring’s embrace,",embrace,grace,embrace,True,"and the earth awakes with a gentle, hopeful grace.","and the earth awakes with a gentle, hopeful grace."
"In every flaw, a whisper of perfection's breath,",breath,rest,breath,False,"And in each shadow, a spark of light's eternal rest.","And in each shadow, a spark of light's eternal rest."
"Beneath the mask that cloaks the soul, the mirror cracks with whispered toll,",toll,flow,soul,False,"And in the silence, truth begins to flow.","And in the silence, truth begins to flow."
"Brushstrokes whisper where the soul once dreamed,",dreamed,gleam,dreamed,False,"A canvas of light, a world in the gleam.","Brushstrokes whisper where the soul once dreamed,  
A canvas of light, a world in the gleam."
"In the dance of flaw and flawless light,",light,night,light,True,"the stars align in a perfect, celestial night.","the stars align in a perfect, celestial night."
"Whispers of wind through the ancient oak's embrace,",embrace,embrace,embrace,False,echoes of time in the leaves that dance and embrace.,echoes of time in the leaves that dance and embrace.
"In mirrored shades where shadow dares to creep,",creep,sleep,sweep,True,"the light reflects in endless, ghostly sleep.","the light reflects in endless, ghostly sleep."
"When whispered vows turn cold as winter skies,",skies,spring,dies,False,"and hearts grow distant, like snow that melts in spring.","and hearts grow distant, like snow that melts in spring."
"In the rhythm of shared breath, hearts weave a single song,",song,glow,belong,False,where love and light together glow.,where love and light together glow.
"In brushstrokes of dawn, wild imagination ascends,",ascends,sing,ascends,False,where dreams take flight and colors sing.,where dreams take flight and colors sing.
"Like thunder chained to silent stone,",stone,throne,stone,True,the storm within the heart of the throne.,the storm within the heart of the throne.
"A flawless sphere, yet marred by its glow,",glow,blue,glow,False,Is but a star in the night's deep blue.,"A flawless sphere, yet marred by its glow,  
Is but a star in the night's deep blue."
