sentences,correct_articles,professions,correct?,p(a),p(an),original_a_prob,original_an_prob,zeroed_a_prob,zeroed_an_prob,multiplied_a_prob,multiplied_an_prob,selected_nodes_count
<|im_end|>Someone who provides treatment for physical or mental conditions is a therapist. Someone who heals sick pets is,a,veterinarian,True,0.8203125,0.0037994385,0.8203125,0.0037994384765625,0.89453125,0.02099609375,0.90625,0.0166015625,532
<|im_end|>Someone who fixes pipes and water systems is a plumber. Someone who educates children in schools is,a,teacher,True,1.0,0.00017929077,1.0,0.000179290771484375,0.98828125,0.008544921875,0.00019741058349609375,2.2172927856445312e-05,653
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who prepares meals in restaurants is,a,chef,True,0.99609375,7.867813e-06,0.99609375,7.867813110351562e-06,0.96875,0.0201416015625,0.9921875,1.0579824447631836e-06,184
<|im_end|>Someone who examines financial records is an auditor. Someone who extinguishes fires and rescues people is,a,firefighter,True,0.99609375,7.43866e-05,0.99609375,7.43865966796875e-05,0.953125,0.03271484375,0.828125,0.00096893310546875,260
<|im_end|>Someone who treats eye diseases is an ophthalmologist. Someone who flies airplanes is,a,pilot,True,0.99609375,0.00042915344,0.99609375,0.0004863739013671875,0.765625,0.1943359375,0.99609375,0.0004291534423828125,203
<|im_end|>Someone who treats mental health disorders is a psychiatrist. Someone who treats teeth and gums is,a,dentist,True,0.9921875,4.7922134e-05,0.9921875,4.506111145019531e-05,0.97265625,0.01385498046875,0.7890625,9.655952453613281e-06,329
<|im_end|>Someone who treats disorders of the nervous system is a neurologist. Someone who installs and repairs electrical systems is,an,electrician,True,0.0031585693,0.9921875,0.003570556640625,0.9921875,0.8671875,0.11767578125,0.000690460205078125,0.96875,220
<|im_end|>Someone who designs and builds technical systems is an engineer. Someone who manages books and helps people find information is,a,librarian,True,0.99609375,4.2438507e-05,0.99609375,4.5299530029296875e-05,0.92578125,0.05908203125,0.98046875,0.0031280517578125,284
<|im_end|>Someone who examines financial records is an auditor. Someone who takes professional pictures is,a,photographer,True,0.984375,0.00025749207,0.984375,0.0002574920654296875,0.6875,0.287109375,1.0,7.867813110351562e-06,135
<|im_end|>Someone who writes news articles is a journalist. Someone who designs buildings and structures is,an,architect,True,0.012390137,0.984375,0.01397705078125,0.98046875,0.94140625,0.041259765625,6.437301635742188e-05,0.9765625,334
<|im_end|>Someone who handles payments in stores is a cashier. Someone who fixes cars and engines is,a,mechanic,True,0.98046875,0.006591797,0.98046875,0.006591796875,0.9609375,0.0225830078125,0.99609375,0.0016937255859375,172
<|im_end|>Someone who examines financial records is an auditor. Someone who performs operations on patients is,a,surgeon,True,0.9921875,0.002456665,0.9921875,0.0024566650390625,0.95703125,0.02880859375,0.9609375,0.00087738037109375,173
<|im_end|>Someone who applies paint to surfaces is a painter. Someone who dispenses medications is,a,pharmacist,True,0.99609375,0.00020313263,0.99609375,0.000179290771484375,0.94921875,0.025390625,1.0,5.817413330078125e-05,152
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who writes news articles is,a,journalist,True,0.99609375,0.0004863739,0.99609375,0.0004863739013671875,0.98046875,0.01092529296875,1.0,1.4722347259521484e-05,248
<|im_end|>Someone who leads orchestras or manages trains is a conductor. Someone who fixes pipes and water systems is,a,plumber,True,0.9921875,0.00020217896,0.98828125,0.00022792816162109375,0.9609375,0.0198974609375,0.99609375,1.0073184967041016e-05,123
<|im_end|>Someone who writes poetry is a poet. Someone who manages financial records is,an,accountant,True,0.12988281,0.84375,0.1435546875,0.828125,0.9765625,0.0012969970703125,0.0024566650390625,0.9921875,131
<|im_end|>Someone who flies airplanes is a pilot. Someone who represents clients in legal matters is,a,lawyer,False,0.34570312,0.64453125,0.31640625,0.671875,0.95703125,0.017578125,0.041015625,0.93359375,233
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who designs and builds technical systems is,an,engineer,True,0.04711914,0.9453125,0.047119140625,0.9453125,0.93359375,0.04638671875,0.00148773193359375,0.98828125,354
<|im_end|>Someone who performs operations on patients is a surgeon. Someone who makes bread and pastries is,a,baker,True,0.984375,4.196167e-05,0.98828125,3.9577484130859375e-05,0.98828125,0.0009002685546875,0.98046875,1.1265277862548828e-05,146
<|im_end|>Someone who treats heart diseases is a cardiologist. Someone who builds things with wood is,a,carpenter,True,0.984375,6.914139e-05,0.98046875,7.343292236328125e-05,0.97265625,0.0030975341796875,0.6328125,2.5272369384765625e-05,231
<|im_end|>Someone who provides medical care to children is a pediatrician. Someone who teaches and conducts research at universities is,a,professor,True,0.98046875,0.012329102,0.98046875,0.0123291015625,0.88671875,0.09375,0.6640625,0.3125,471
<|im_end|>Someone who repairs timepieces is a watchmaker. Someone who studies matter and energy is,a,physicist,True,0.9921875,0.00048446655,0.9921875,0.000484466552734375,0.95703125,0.017578125,0.9296875,1.434236764907837e-07,297
<|im_end|>Someone who investigates crimes is a detective. Someone who studies living organisms is,a,biologist,True,0.98828125,0.0013122559,0.984375,0.00130462646484375,0.96484375,0.02001953125,0.96484375,0.000324249267578125,477
<|im_end|>Someone who extinguishes fires and rescues people is a firefighter. Someone who studies chemical reactions and compounds is,a,chemist,True,0.99609375,6.580353e-05,0.99609375,6.580352783203125e-05,0.9453125,0.032470703125,0.99609375,6.07222318649292e-07,255
<|im_end|>Someone who grows crops and raises livestock is a farmer. Someone who studies and writes about past events is,a,historian,True,0.984375,0.0051574707,0.984375,0.005157470703125,0.9453125,0.04150390625,0.93359375,0.0023193359375,153
<|im_end|>Someone who directs and monitors workers is a supervisor. Someone who studies human behavior and mental processes is,a,psychologist,True,0.9921875,0.00090789795,0.9921875,0.00102996826171875,0.90234375,0.083984375,0.98046875,1.9788742065429688e-05,614
<|im_end|>Someone who helps others develop skills or fitness is a trainer. Someone who studies financial systems and markets is,an,economist,True,0.4609375,0.5234375,0.431640625,0.5546875,0.83203125,0.14453125,0.083984375,0.90234375,241
<|im_end|>Someone who provides administrative support is a secretary. Someone who treats heart diseases is,a,cardiologist,True,0.9921875,0.0007972717,0.98828125,0.000904083251953125,0.96484375,0.0257568359375,0.9375,7.963180541992188e-05,323
